osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge,width,junction,access
1210942,True,2,A44,Deansway,primary,30 mph,False,28.935,"LINESTRING (-2.2245224 52.1920854, -2.2248799 52.1919451)",,,,
595420152,False,1,,Broad Street,unclassified,,False,8.133,"LINESTRING (-2.2245224 52.1920854, -2.2245109 52.1921582)",,,,
8001663,False,,,Quay Street,unclassified,,False,92.86200000000001,"LINESTRING (-2.2245224 52.1920854, -2.2245469 52.1917254, -2.2245162 52.1915714, -2.224472 52.1914686, -2.224436 52.1913911, -2.2244129 52.1913415, -2.2243786 52.1912801, -2.2243757 52.1912639)",,,,
"[1024374784, 8121436]",False,4,A44,Deansway,primary,30 mph,True,430.26499999999993,"LINESTRING (-2.2245224 52.1920854, -2.224428 52.1920925, -2.2243045 52.1921095, -2.2242099 52.1921226, -2.224108 52.1921367, -2.2239242 52.1921423, -2.2239213 52.1921418, -2.2238488 52.1921328, -2.2237632 52.1921161, -2.2235991 52.1920597, -2.2235166 52.1920251, -2.2233608 52.191959, -2.2231697 52.1918713, -2.2231376 52.191856, -2.2229746 52.1917782, -2.2229177 52.1917511, -2.2228393 52.1917076, -2.2226817 52.1915928, -2.2225634 52.1914886, -2.2224712 52.1913868, -2.2223973 52.1912938, -2.2223773 52.1912705, -2.2222007 52.1909574, -2.2221347 52.1908553, -2.2220277 52.1907237, -2.2218916 52.1905667, -2.2217675 52.1904334, -2.2217 52.1903238, -2.2214795 52.1900491, -2.2213478 52.1898721, -2.2213377 52.18986, -2.2212641 52.1897721, -2.2210858 52.1896711, -2.2208778 52.1896044, -2.2205269 52.1895238)",,,,
23082182,True,3,A44,Bridge Street,primary,30 mph,False,67.659,"LINESTRING (-2.2248799 52.1919451, -2.2249972 52.1918753, -2.2252616 52.1917179, -2.225585 52.1915169)",,,,
"[23077066, 727314031, 727314033, 23077048, 23077053]",True,2,A44,"['Bridge Street', 'New Road', 'Worcester Bridge']",primary,30 mph,False,142.971,"LINESTRING (-2.225585 52.1915169, -2.2257371 52.1913569, -2.2257529 52.1913413, -2.2263257 52.1907982, -2.2263905 52.190728, -2.2264481 52.1906772, -2.226617 52.1905389, -2.2267815 52.1904735)",yes,,,
485296191,True,,,,primary,30 mph,False,30.43,"LINESTRING (-2.225585 52.1915169, -2.2257213 52.1914856, -2.2260201 52.1915072)",,,,
"[925535842, 149464264, 727314032, 727314034, 740312]",True,2,A44,"['Worcester Bridge', 'North Parade']",primary,30 mph,False,115.29099999999998,"LINESTRING (-2.2266713 52.1907922, -2.2265647 52.1907929, -2.2264705 52.1908091, -2.2263944 52.1908279, -2.22581 52.1913657, -2.2257937 52.1913822, -2.2257936 52.1914021, -2.2258043 52.1914153, -2.2260201 52.1915072)",yes,,,
23077049,True,,A44,New Road,primary,30 mph,False,38.497,"LINESTRING (-2.2266713 52.1907922, -2.2266282 52.190703, -2.2266237 52.1906926, -2.2266264 52.1906573, -2.2266868 52.190594, -2.2267815 52.1904735)",,,,
44072970,False,,,Quay Street,unclassified,,True,65.459,"LINESTRING (-2.2240005 52.1907224, -2.224046 52.1907788, -2.2240993 52.1908449, -2.224116 52.1908657, -2.2243757 52.1912639)",,,,
8001658,False,,,Hood Street,unclassified,,False,36.131,"LINESTRING (-2.2243757 52.1912639, -2.2244917 52.1912501, -2.2248662 52.191145)",,,,
8001663,False,,,Quay Street,unclassified,,True,92.862,"LINESTRING (-2.2243757 52.1912639, -2.2243786 52.1912801, -2.2244129 52.1913415, -2.224436 52.1913911, -2.224472 52.1914686, -2.2245162 52.1915714, -2.2245469 52.1917254, -2.2245224 52.1920854)",,,,
44072970,False,,,Quay Street,unclassified,,False,65.459,"LINESTRING (-2.2243757 52.1912639, -2.224116 52.1908657, -2.2240993 52.1908449, -2.224046 52.1907788, -2.2240005 52.1907224)",,,,
8001682,False,,B4205,The Butts,secondary,,False,36.567,"LINESTRING (-2.2258829 52.1926788, -2.2258495 52.1928303, -2.2258449 52.1928515, -2.2258376 52.1928844, -2.2259124 52.1929968)",,,,
38128210,True,3,A44,All Saints' Road,primary,30 mph,False,77.133,"LINESTRING (-2.2258829 52.1926788, -2.2254167 52.1923814, -2.2250989 52.1921786)",,,,
53536107,False,,,The Butts,unclassified,,True,48.379,"LINESTRING (-2.2261049 52.1932786, -2.2262658 52.1932154, -2.2263673 52.1931768, -2.2267025 52.1930439)",,,,
"[222678272, 8001659]",True,,B4205,"['The Butts', 'Shaw Street']",secondary,,False,225.96,"LINESTRING (-2.2261049 52.1932786, -2.2260298 52.1933216, -2.2260126 52.1933314, -2.225365 52.1936301, -2.2251665 52.1936891, -2.2251425 52.1936962, -2.2248325 52.1937882, -2.2242322 52.1939325, -2.2233299 52.1940898, -2.2232637 52.1940925, -2.2231335 52.1941195)",,,,
8001649,False,2,,Cherry Tree Walk,unclassified,30 mph,True,68.06099999999999,"LINESTRING (-2.2244068 52.1945635, -2.2242594 52.1945878, -2.2234425 52.1947224)",,,,
1106807730,False,,,Infirmary Walk,unclassified,30 mph,False,83.92699999999999,"LINESTRING (-2.2244068 52.1945635, -2.2242412 52.194295, -2.2235276 52.1941294)",,,,
1106807730,False,,,Infirmary Walk,unclassified,30 mph,True,64.063,"LINESTRING (-2.2244068 52.1945635, -2.2244378 52.1945979, -2.2245173 52.1947752, -2.2247826 52.1950057, -2.2248428 52.1950662)",,,,
376363041,True,2,A44,,primary,30 mph,False,28.314,"LINESTRING (-2.2203184 52.189305, -2.2203786 52.1893524, -2.2204623 52.1894337, -2.2205269 52.1895238)",,,,
376363043,True,1,,College Street,primary,30 mph,False,18.954,"LINESTRING (-2.2203184 52.189305, -2.2202939 52.189343, -2.2202511 52.1893806, -2.2202188 52.1893999, -2.2201339 52.1894208)",,4,,
8001630,True,1,,The Cross,unclassified,,False,6.628,"LINESTRING (-2.2211428 52.1929047, -2.2211501 52.1929275, -2.2211614 52.1929632)",,3,,
"[353630355, 239135989]",True,2,A38,The Foregate,primary,,False,62.938,"LINESTRING (-2.2214152 52.1937416, -2.2214387 52.1938175, -2.2214614 52.1938758, -2.2215614 52.1941333, -2.2215881 52.1941917, -2.2215997 52.1942172, -2.2216295 52.194292)",,,,
23734935,False,,,Sansome Place,residential,30 mph,True,63.468,"LINESTRING (-2.2192999 52.195364, -2.2201366 52.1951135)",,,,
8001564,True,,A38,City Walls Road,primary,,False,9.473,"LINESTRING (-2.2184652 52.1881875, -2.2183513 52.1882363)",,,,
1210939,True,2,A44,College Street,primary,30 mph,False,159.933,"LINESTRING (-2.2184652 52.1881875, -2.218491 52.1882077, -2.2185869 52.1882931, -2.2188451 52.1885078, -2.2191379 52.1887402, -2.2193291 52.1888715, -2.2196349 52.1890502, -2.220082 52.1892025)",,,,
"[151491882, 151491883]",True,,,"['Severn Street', 'Edgar Street']",unclassified,,False,132.181,"LINESTRING (-2.2184652 52.1881875, -2.2186321 52.1882066, -2.2189432 52.1881676, -2.2193722 52.1880664, -2.2193976 52.1880347, -2.2194074 52.1879935, -2.2193961 52.1879472, -2.2191597 52.187485)",,,,
1210938,True,2,A44,Sidbury,primary,30 mph,False,81.54299999999999,"LINESTRING (-2.2176608 52.1876462, -2.2178949 52.1877803, -2.2183007 52.1880606, -2.2183288 52.1880844, -2.2184652 52.1881875)",,,,
8001556,False,,,Padmore Street,unclassified,,True,190.698,"LINESTRING (-2.2148857 52.1956036, -2.2147051 52.1951308, -2.2142477 52.1939338)",,,,
64361520,False,,B4205,Lowesmoor Place,secondary,,True,47.157,"LINESTRING (-2.2148857 52.1956036, -2.215377 52.1955493, -2.2154336 52.195543, -2.2155687 52.1955441)",,,,
54580068,False,,B4205,Lowesmoor Terrace,secondary,,False,32.169,"LINESTRING (-2.2162075 52.1950608, -2.2161361 52.195126, -2.2159936 52.1952561, -2.2159397 52.1952989)",,,,
64361505,False,,,Lowesmoor,unclassified,,True,174.071,"LINESTRING (-2.2162075 52.1950608, -2.2162792 52.1950212, -2.2163508 52.1949815, -2.2165716 52.1948654, -2.2167614 52.1947706, -2.2169481 52.1947088, -2.2175932 52.1945623, -2.2177113 52.1945327, -2.2181705 52.1944399, -2.2184594 52.1943648)",,,,
8001556,False,,,Padmore Street,unclassified,,False,190.698,"LINESTRING (-2.2142477 52.1939338, -2.2147051 52.1951308, -2.2148857 52.1956036)",,,,
180731283,False,,B4205,Pheasant Street,secondary,,True,142.183,"LINESTRING (-2.2151184 52.1936986, -2.2151708 52.1938964, -2.2156391 52.1944357, -2.215712 52.1945159, -2.2160103 52.1948439)",,,,
