osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,junction,width,tunnel,bridge,access,service
116222392,True,2,A329,Inner Distribution Road,primary,30 mph,False,77.559,"LINESTRING (-0.9693234 51.452894, -0.9687448 51.4531988, -0.9686818 51.4532311, -0.9686373 51.4532542, -0.9684663 51.4533426)",,,,,,
"[2986301, 564812222]",True,,,St Mary's Butts,tertiary,20 mph,False,95.43199999999999,"LINESTRING (-0.9746358 51.4546948, -0.9746931 51.4547564, -0.9750925 51.4551858, -0.9751304 51.4552265, -0.9752258 51.4553502, -0.9752999 51.4554461)",,,,,,
3258284,True,,,St Mary's Butts,tertiary,20 mph,False,39.417,"LINESTRING (-0.9746358 51.4546948, -0.9743491 51.4544341, -0.9743142 51.4544024)",,,,,,
3247681,False,,,,residential,,False,69.516,"LINESTRING (-0.9750532 51.4534104, -0.9751246 51.4534613, -0.9753298 51.4537222, -0.9753571 51.453757, -0.9754202 51.4538114, -0.9754839 51.4538398, -0.9755594 51.4538557, -0.97566 51.4538563)",,,,,,
401289655,False,2,,Castle Street,tertiary,30 mph,False,155.48100000000002,"LINESTRING (-0.9750532 51.4534104, -0.9751126 51.4533532, -0.975379 51.4531781, -0.9757579 51.4529181, -0.9757925 51.4529027, -0.9759713 51.4528026, -0.9764894 51.45263, -0.9766204 51.4525868, -0.9767473 51.452545, -0.9767664 51.4525387)",,,,,,
564805904,False,2,,Castle Street,tertiary,20 mph,True,82.58800000000001,"LINESTRING (-0.9750532 51.4534104, -0.9746576 51.4535342, -0.9740921 51.453691, -0.9740307 51.453708, -0.9739731 51.453724)",,,,,,
231700781,True,2,,,primary,30 mph,False,7.14,"LINESTRING (-0.9687553 51.4598824, -0.9686525 51.459887)",roundabout,,,,,
3045488,False,,,South Street,residential,30 mph,False,102.52900000000001,"LINESTRING (-0.9679982 51.4520215, -0.9678896 51.4520401, -0.9677274 51.4520677, -0.9676474 51.4520746, -0.9673103 51.4521034, -0.9669888 51.4521326, -0.966544 51.452186)",,,,,,
231700778,True,2,,,primary,30 mph,False,12.788,"LINESTRING (-0.9683654 51.4598105, -0.9683073 51.4597587, -0.9682768 51.4597105)",roundabout,,,,,
2986484,True,,,King's Meadow Road,tertiary,30 mph,False,42.162,"LINESTRING (-0.9682768 51.4597105, -0.9680799 51.4596209, -0.9680249 51.4596086, -0.967736 51.4595452)",,,,,,
3508338,True,2,,,primary,30 mph,False,25.647,"LINESTRING (-0.9682768 51.4597105, -0.9682658 51.4596147, -0.9683046 51.4595354, -0.968353 51.4594934)",roundabout,,,,,
"[242064006, 3258536, 41710611, 41710612, 242050111]",True,"['2', '3']",A329,Vastern Road,primary,30 mph,False,163.511,"LINESTRING (-0.9683766 51.4594729, -0.968382 51.4593439, -0.9683659 51.4592174, -0.9683588 51.4591739, -0.9683569 51.4590837, -0.9684381 51.4585419, -0.9684463 51.4583743, -0.9684377 51.4583317, -0.9684136 51.4582787, -0.9682951 51.4580182)",,,,,,
231700775,True,2,,,primary,30 mph,False,29.403,"LINESTRING (-0.9683766 51.4594729, -0.9684991 51.4594207, -0.9685885 51.459404, -0.9687708 51.4594111)",roundabout,,,,,
3027892,False,,,King's Meadow Road,residential,30 mph,True,128.24,"LINESTRING (-0.9659918 51.4604696, -0.9660726 51.4603423, -0.9662381 51.4600953, -0.9663091 51.4599968, -0.9664294 51.4599262, -0.9664641 51.4598978, -0.9666335 51.4597514, -0.9669065 51.4595142, -0.9669335 51.4594897)",,,,,,
"[231700776, 231700777]",True,2,,,primary,30 mph,False,39.695,"LINESTRING (-0.9687708 51.4594111, -0.9688286 51.4594253, -0.968899 51.4594528, -0.9689914 51.4595176, -0.969046 51.4596148, -0.969042 51.4596916)",roundabout,,,,,
2972992,False,2,,King's Meadow Road,tertiary,30 mph,False,55.975,"LINESTRING (-0.967736 51.4595452, -0.9676682 51.4595455, -0.9669335 51.4594897)",,,,,,
8125923,True,2,,King's Meadow Road,tertiary,30 mph,False,43.135999999999996,"LINESTRING (-0.967736 51.4595452, -0.9680255 51.4595193, -0.968117 51.459511, -0.968353 51.4594934)",,,,,,
2972992,False,2,,King's Meadow Road,tertiary,30 mph,True,55.975,"LINESTRING (-0.9669335 51.4594897, -0.9676682 51.4595455, -0.967736 51.4595452)",,,,,,
3027892,False,,,King's Meadow Road,residential,30 mph,False,128.24,"LINESTRING (-0.9669335 51.4594897, -0.9669065 51.4595142, -0.9666335 51.4597514, -0.9664641 51.4598978, -0.9664294 51.4599262, -0.9663091 51.4599968, -0.9662381 51.4600953, -0.9660726 51.4603423, -0.9659918 51.4604696)",,,,,,
44486027,True,,A327,London Street,primary,30 mph,False,13.344,"LINESTRING (-0.9683532 51.4532709, -0.9683549 51.4531509)",,,,,,
3247682,False,,,Hosier Street,residential,20 mph,True,9.775,"LINESTRING (-0.9743142 51.4544024, -0.9744326 51.4543546)",,,,,,
