osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,width
"[141749350, 607821674, 494470255, 515558710, 4998075, 495574463]",True,2,A24,High Street,trunk,30 mph,False,225.15300000000002,"LINESTRING (-0.2701447 51.3329292, -0.2700304 51.3329373, -0.2698249 51.3329545, -0.2696985 51.3329706, -0.2695385 51.3329945, -0.269451 51.3330148, -0.2694094 51.3330282, -0.26935 51.3330472, -0.2692524 51.333078, -0.2691449 51.3331296, -0.2688834 51.333178, -0.2688349 51.333184, -0.2686635 51.3332067, -0.2685565 51.3332203, -0.2682416 51.3332181, -0.2681089 51.3332164, -0.2679814 51.3332118, -0.2679091 51.3332092, -0.2676937 51.3332191, -0.2676151 51.3332275, -0.2673483 51.3332707, -0.2672313 51.3332896, -0.26702 51.3333408)",
4998074,False,,A24,Ashley Road,trunk,30 mph,False,6.3,"LINESTRING (-0.2670494 51.3333944, -0.26702 51.3333408)",
53771999,True,2,A24,High Street,trunk,30 mph,False,217.75300000000001,"LINESTRING (-0.2670494 51.3333944, -0.2668236 51.3334772, -0.2663636 51.3336182, -0.2657695 51.3337999, -0.2649701 51.3340186, -0.264543 51.3341081, -0.2643774 51.3341615, -0.2641961 51.3341953)",
"[375047957, 700186278]",False,,,Waterloo Road,tertiary,,True,99.208,"LINESTRING (-0.2670494 51.3333944, -0.2671219 51.3335088, -0.2671404 51.3335412, -0.267268 51.3338251, -0.2673157 51.3339147, -0.2674144 51.3341018, -0.2674294 51.3341304, -0.2674857 51.3342434)",
4981231,False,,A2022,Upper High Street,primary,30 mph,False,33.311,"LINESTRING (-0.2641961 51.3341953, -0.2640401 51.3340763, -0.2638912 51.3339641)",
145292103,True,2,A24,High Street,trunk,30 mph,False,24.779,"LINESTRING (-0.2641961 51.3341953, -0.2642382 51.3340972, -0.2644068 51.3340371)",
"[145292110, 1050521981, 1050521982]",False,4,A24,East Street,trunk,30 mph,False,54.155,"LINESTRING (-0.2641961 51.3341953, -0.2641518 51.3343174, -0.2641299 51.3343877, -0.2640802 51.3345742, -0.2640494 51.3346735)",
2953569,False,3,A24,South Street,trunk,30 mph,False,8.978,"LINESTRING (-0.270412 51.3311691, -0.2704711 51.3312409)",
108518854,False,4,A24,South Street,trunk,30 mph,True,22.223,"LINESTRING (-0.270412 51.3311691, -0.2703906 51.3311154, -0.2703743 51.3310747, -0.2703264 51.3309766)",
"[1085187810, 4373917]",False,3,A24,East Street,trunk,30 mph,False,37.444,"LINESTRING (-0.2636638 51.3351071, -0.2635981 51.3351443, -0.2634231 51.3352466, -0.2632568 51.3353274)",
700403303,False,,A24,East Street,trunk,30 mph,True,32.391000000000005,"LINESTRING (-0.2636638 51.3351071, -0.2638032 51.3349982, -0.2638239 51.334982, -0.263955 51.3348796)",
4981035,False,,,Church Street,secondary,30 mph,False,112.76700000000001,"LINESTRING (-0.2638912 51.3339641, -0.2637235 51.3338506, -0.2636739 51.3338171, -0.2635403 51.3337492, -0.2634139 51.3336904, -0.2630258 51.3335199, -0.2630102 51.3335131, -0.2629403 51.3334824, -0.2628616 51.3334402, -0.2627841 51.3333957, -0.2626847 51.3333378, -0.2626526 51.3333144)",
4981231,False,,A2022,Upper High Street,primary,30 mph,True,33.311,"LINESTRING (-0.2638912 51.3339641, -0.2640401 51.3340763, -0.2641961 51.3341953)",
145292108,True,,,,primary_link,30 mph,False,36.842,"LINESTRING (-0.2638912 51.3339641, -0.2641064 51.333991, -0.2641661 51.3340002, -0.2643055 51.3340128, -0.2644068 51.3340371)",
4961224,False,,,Depot Road,unclassified,,False,100.663,"LINESTRING (-0.2626526 51.3333144, -0.2626064 51.3333441, -0.2623346 51.3335313, -0.2622576 51.3335658, -0.2621581 51.33359, -0.2618507 51.333634, -0.2618131 51.3336399, -0.2616326 51.3336684, -0.2615413 51.3336807, -0.2613999 51.3336936)",
4981035,False,,,Church Street,secondary,30 mph,False,193.223,"LINESTRING (-0.2626526 51.3333144, -0.2625702 51.3332503, -0.2624982 51.3331833, -0.2620723 51.332747, -0.2618419 51.3325285, -0.2616695 51.3323468, -0.2613712 51.3320873, -0.261175 51.3319195, -0.2611194 51.3318663)",
4981035,False,,,Church Street,secondary,30 mph,True,112.767,"LINESTRING (-0.2626526 51.3333144, -0.2626847 51.3333378, -0.2627841 51.3333957, -0.2628616 51.3334402, -0.2629403 51.3334824, -0.2630102 51.3335131, -0.2630258 51.3335199, -0.2634139 51.3336904, -0.2635403 51.3337492, -0.2636739 51.3338171, -0.2637235 51.3338506, -0.2638912 51.3339641)",
751761790,False,2,B280,West Hill,secondary,30 mph,True,24.93,"LINESTRING (-0.2729057 51.3333846, -0.2732369 51.3334709)",
"[27387516, 291750285, 27827022]",False,,B280,West Hill,secondary,30 mph,False,87.968,"LINESTRING (-0.2729057 51.3333846, -0.2724897 51.3332915, -0.2722772 51.3332443, -0.2718857 51.3331607, -0.2717102 51.333124)",
4981035,False,,,Church Street,secondary,30 mph,True,193.22299999999998,"LINESTRING (-0.2611194 51.3318663, -0.261175 51.3319195, -0.2613712 51.3320873, -0.2616695 51.3323468, -0.2618419 51.3325285, -0.2620723 51.332747, -0.2624982 51.3331833, -0.2625702 51.3332503, -0.2626526 51.3333144)",
4981149,False,,,Worple Road,residential,30 mph,False,156.087,"LINESTRING (-0.2611194 51.3318663, -0.2611709 51.3318408, -0.2612303 51.3318135, -0.2615743 51.3316587, -0.2616243 51.3316252, -0.2616747 51.3315652, -0.2618277 51.331349, -0.2619539 51.3311642, -0.2620925 51.3309727, -0.2621789 51.3307854, -0.2622054 51.3306911)",
"[4924979, 4924974]",False,,,"['Prospect Place', 'Clayton Road']","['unclassified', 'residential']",,"[False, True]",157.90200000000002,"LINESTRING (-0.2632568 51.3353274, -0.2627598 51.3349624, -0.2626896 51.334916, -0.2625284 51.3348095, -0.2625114 51.3347982, -0.2624497 51.334781, -0.2624005 51.3347828, -0.2623069 51.3347987, -0.2615994 51.3351762)",
"[1085187810, 4373917]",False,3,A24,East Street,trunk,30 mph,True,37.444,"LINESTRING (-0.2632568 51.3353274, -0.2634231 51.3352466, -0.2635981 51.3351443, -0.2636638 51.3351071)",
8041144,False,2,B284,Hook Road,secondary,30 mph,False,38.666,"LINESTRING (-0.263955 51.3348796, -0.2640669 51.335037, -0.2640964 51.3350786, -0.2641809 51.3351974)",
