osmid,name,highway,maxspeed,oneway,reversed,length,geometry,width,lanes,ref,junction,access
78856,Exeter Road,tertiary,30 mph,False,True,82.371,"LINESTRING (-3.4117972 50.6205366, -3.4117806 50.620565, -3.4117714 50.6205937, -3.4117617 50.6206419, -3.4117585 50.6207173, -3.4117678 50.6208619, -3.4117484 50.621047, -3.4117132 50.6212158, -3.4116966 50.6212715)",,,,,
88407517,Parade,tertiary,30 mph,False,True,152.578,"LINESTRING (-3.4117972 50.6205366, -3.4118748 50.6205037, -3.4119776 50.6204847, -3.4120393 50.6204898, -3.4121804 50.6205009, -3.4126778 50.6205323, -3.4130156 50.6205592, -3.4131458 50.6205654, -3.4132846 50.6205718, -3.4133839 50.6205735, -3.4134066 50.620572, -3.4134646 50.620568, -3.4135338 50.6205614, -3.4136327 50.6205509, -3.413764 50.6205334, -3.4139246 50.6205158)",,,,,
12656161,Louisa Terrace,residential,30 mph,False,False,79.84299999999999,"LINESTRING (-3.4121943 50.6158553, -3.4117643 50.616086, -3.4113411 50.6163269)",,,,,
"[1010280673, 165812388, 12276983]","['Beacon Hill', 'The Beacon']",residential,30 mph,False,True,273.85499999999996,"LINESTRING (-3.4121943 50.6158553, -3.4124211 50.6160665, -3.4126636 50.6162914, -3.4128719 50.6164831, -3.413091 50.6166854, -3.4132563 50.6168568, -3.4134426 50.6170143, -3.41366 50.6172236, -3.4137894 50.6173422, -3.4138513 50.617399, -3.4139867 50.6175464, -3.4140021 50.617583, -3.4140155 50.6176221, -3.4140184 50.6176638, -3.4140288 50.6177643, -3.414039 50.6178834, -3.4140774 50.6179642)",5.6,2,,,
12276981,Louisa Place,residential,30 mph,False,False,20.893,"LINESTRING (-3.4113411 50.6163269, -3.4110793 50.6162391)",,,,,
4763586,Beacon Place,residential,30 mph,False,False,48.341,"LINESTRING (-3.4113411 50.6163269, -3.4116503 50.6163989, -3.4119174 50.6164546, -3.4119804 50.61648)",,,,,
12656161,Louisa Terrace,residential,30 mph,False,True,79.84299999999999,"LINESTRING (-3.4113411 50.6163269, -3.4117643 50.616086, -3.4121943 50.6158553)",,,,,
4763586,Beacon Place,residential,30 mph,False,False,104.548,"LINESTRING (-3.4119804 50.61648, -3.4121279 50.6165272, -3.412263 50.6166095, -3.4124668 50.6167468, -3.4127561 50.6169632, -3.4129929 50.6171557)",,,,,
4763586,Beacon Place,residential,30 mph,False,True,48.341,"LINESTRING (-3.4119804 50.61648, -3.4119174 50.6164546, -3.4116503 50.6163989, -3.4113411 50.6163269)",,,,,
105880086,,residential,30 mph,False,True,84.562,"LINESTRING (-3.4119804 50.61648, -3.4113714 50.6168289, -3.4110525 50.6169577)",,,,,
