osmid,oneway,lanes,highway,maxspeed,junction,reversed,length,geometry,name,ref,access
159753737,True,2,primary,20 mph,roundabout,False,4.076,"LINESTRING (-4.3086881 51.8548697, -4.308671 51.8549048)",,,
161132345,True,2,primary,20 mph,roundabout,False,4.925,"LINESTRING (-4.3082785 51.8548366, -4.3082987 51.8547941)",,,
4578172,True,2,primary,20 mph,roundabout,False,13.948,"LINESTRING (-4.3086217 51.8547559, -4.3086592 51.8547835, -4.3086858 51.8548243, -4.3086881 51.8548697)",,,
161132347,True,2,primary,20 mph,roundabout,False,3.833,"LINESTRING (-4.3084148 51.8549712, -4.3083652 51.8549554)",,,
161132345,True,2,primary,20 mph,roundabout,False,16.749000000000002,"LINESTRING (-4.3082987 51.8547941, -4.3083432 51.8547574, -4.3084121 51.8547312, -4.3085 51.8547237)",,,
25707735,True,2,tertiary,20 mph,,False,27.883,"LINESTRING (-4.308671 51.8549048, -4.3086665 51.8549981, -4.3086365 51.8550858, -4.3086043 51.8551506)",Blue Street,,
161132348,True,2,primary,20 mph,roundabout,False,20.803,"LINESTRING (-4.308671 51.8549048, -4.3086189 51.8549475, -4.308552 51.8549714, -4.308468 51.8549781, -4.3084148 51.8549712)",,A4242,
161132344,True,3,primary,20 mph,,False,30.957,"LINESTRING (-4.3083652 51.8549554, -4.3082084 51.8549502, -4.3079147 51.8549519)",Coracle Way,A4242,
683578550,True,2,primary,20 mph,roundabout,False,15.162999999999998,"LINESTRING (-4.3083652 51.8549554, -4.3083244 51.8549321, -4.3082952 51.8549031, -4.3082796 51.8548705, -4.3082785 51.8548366)",,,
"[815095945, 4985987, 136228895]",False,"['2', '3']",primary,20 mph,,True,106.33800000000001,"LINESTRING (-4.3047086 51.8560772, -4.3047899 51.8560065, -4.304828 51.8559596, -4.3048093 51.8559124, -4.3047698 51.8558604, -4.3046633 51.8557887, -4.3045369 51.8557099, -4.3044372 51.8556167, -4.3044048 51.8555374, -4.3044125 51.8554464, -4.3044363 51.8553812, -4.3044838 51.8553049, -4.3045148 51.8552758, -4.3045458 51.8552467)",Castle Hill,A484,
8433730,False,,secondary,20 mph,,True,27.003,"LINESTRING (-4.3142237 51.8563889, -4.3142906 51.8564195, -4.3144024 51.8564412, -4.3144777 51.8564478, -4.3145932 51.8564581)",Morfa Lane,B4312,
25707732,False,,secondary,20 mph,,True,55.902,"LINESTRING (-4.3119208 51.8576043, -4.3122081 51.8575034, -4.3122552 51.8574868, -4.3126284 51.8573558)",Heol y Gŵyddau,B4312,
"[25707803, 156729303]",False,,tertiary,20 mph,,False,160.19099999999997,"LINESTRING (-4.3119208 51.8576043, -4.3123184 51.8578986, -4.3124908 51.8580354, -4.3125978 51.8581107, -4.312974 51.8583506, -4.3133568 51.8585925, -4.3134831 51.8586723)","['Water Street', 'Fountain Hall Terrace']",,
162622287,False,,secondary,20 mph,,False,117.998,"LINESTRING (-4.3119208 51.8576043, -4.3117898 51.8576515, -4.311685 51.8576892, -4.3111 51.8578814, -4.310429 51.8580716, -4.3103887 51.858083)",Heol y Gŵyddau,B4312,
25707733,True,,secondary,20 mph,roundabout,False,18.434,"LINESTRING (-4.3056701 51.859174, -4.3057017 51.8592022, -4.3057095 51.8592299, -4.3056997 51.8592573, -4.3056657 51.8592848, -4.3056048 51.8593004)",,,
162622283,False,,secondary,20 mph,,True,113.015,"LINESTRING (-4.3056701 51.859174, -4.3057781 51.8591129, -4.3059291 51.8590538, -4.3064756 51.8589436, -4.3071707 51.8587771)",Barn Road,B4312,
25707734,False,,secondary,20 mph,,False,153.782,"LINESTRING (-4.3056048 51.8593004, -4.3056713 51.8594677, -4.3056183 51.8596706, -4.3055101 51.8597906, -4.3045122 51.8601718, -4.3043135 51.8602456)",Francis Terrace,B4312,
346917521,True,,secondary,20 mph,roundabout,False,16.724,"LINESTRING (-4.3056048 51.8593004, -4.3055258 51.8592882, -4.3054885 51.8592626, -4.3054754 51.8592369, -4.3054848 51.8591986)",,,
29987675,False,,unclassified,20 mph,,False,17.362000000000002,"LINESTRING (-4.3054848 51.8591986, -4.3054422 51.859181, -4.3053928 51.8591598, -4.3052868 51.859102)",Little Water Street,,
346917521,True,,secondary,20 mph,roundabout,False,14.998000000000001,"LINESTRING (-4.3054848 51.8591986, -4.3055095 51.8591766, -4.3055524 51.8591599, -4.3056162 51.8591572, -4.3056701 51.859174)",,,
25707773,True,,unclassified,20 mph,,False,157.759,"LINESTRING (-4.3105319 51.8564756, -4.3106563 51.8565877, -4.3107379 51.8566746, -4.3111276 51.8569809, -4.3112596 51.8570847, -4.3117994 51.8575089, -4.3119208 51.8576043)",Water Street,,
162622289,True,,tertiary,20 mph,,False,257.816,"LINESTRING (-4.3105319 51.8564756, -4.3106831 51.8564332, -4.3109694 51.8564295, -4.3111964 51.8564323, -4.3115857 51.8564517, -4.3126807 51.8564756, -4.3127029 51.8564767, -4.3130005 51.8564908, -4.3130937 51.8564953, -4.3139717 51.8564762, -4.3140919 51.8564508, -4.3141562 51.8564325, -4.3142237 51.8563889)",Lammas Street,,
