osmid,highway,maxspeed,junction,oneway,reversed,length,geometry,name,lanes,ref,bridge,access
89535633,tertiary,20 mph,roundabout,True,False,10.866,"LINESTRING (-0.6606165 51.9177985, -0.6605854 51.9177946, -0.6605574 51.9177855, -0.6605345 51.917772, -0.6605187 51.9177551, -0.6605111 51.9177361)",,,,,
"[38934166, 578030398]",tertiary,"['20 mph', '30 mph']",,False,False,50.646,"LINESTRING (-0.6606165 51.9177985, -0.6606077 51.9179244, -0.660597 51.9179689, -0.6605757 51.9180576, -0.6605464 51.9181796, -0.6605294 51.9182503)",North Street,2,,,
71591263,primary,20 mph,,False,True,163.542,"LINESTRING (-0.6589475 51.9155133, -0.6588772 51.9156887, -0.6588243 51.9157787, -0.6587919 51.9158316, -0.6587155 51.9159361, -0.6584904 51.9162479, -0.6582213 51.9167336, -0.6581548 51.9168971)",Leston Road,,A4012,,
155662586,primary,20 mph,,False,False,45.75,"LINESTRING (-0.6589475 51.9155133, -0.6589221 51.9154409, -0.65892 51.9154133, -0.6589085 51.915329, -0.6588879 51.9152564, -0.6588771 51.9152357, -0.6588119 51.9151124)",Lake Street,,A4012,,
1182482847,tertiary,20 mph,,False,True,17.716,"LINESTRING (-0.6589475 51.9155133, -0.6591033 51.9155277, -0.6592022 51.9155396)",Lake Street,,,,
4288032,primary,20 mph,,True,False,38.346,"LINESTRING (-0.6581548 51.9168971, -0.658185 51.9169608, -0.6581934 51.91701, -0.6582158 51.9170493, -0.6582508 51.9170877, -0.6583692 51.917211)",Leston Road,,A4012,,
71591263,primary,20 mph,,False,False,163.54200000000003,"LINESTRING (-0.6581548 51.9168971, -0.6582213 51.9167336, -0.6584904 51.9162479, -0.6587155 51.9159361, -0.6587919 51.9158316, -0.6588243 51.9157787, -0.6588772 51.9156887, -0.6589475 51.9155133)",Leston Road,,A4012,,
168538655,tertiary,20 mph,,False,False,37.234,"LINESTRING (-0.6561035 51.9184981, -0.6560095 51.9184172, -0.6559823 51.9183475, -0.6559238 51.9181879)",Beaudesert,,,,
168538655,tertiary,20 mph,,False,True,84.137,"LINESTRING (-0.6561035 51.9184981, -0.6566339 51.9188614, -0.6569113 51.9190674)",Beaudesert,,,,
38881219,tertiary,20 mph,,False,False,25.992,"LINESTRING (-0.6584929 51.9205026, -0.6584177 51.9204909, -0.6583467 51.9204701, -0.6582116 51.9203608)",Saint Andrew's Street,,,,
38881219,tertiary,20 mph,,False,True,62.86699999999999,"LINESTRING (-0.6584929 51.9205026, -0.6586083 51.9204916, -0.658703 51.9204617, -0.6587811 51.9204243, -0.659215 51.9201735)",Saint Andrew's Street,,,,
38881219,tertiary,20 mph,,False,True,17.224,"LINESTRING (-0.659822 51.9197713, -0.6600707 51.9197497)",Saint Andrew's Street,,,,
38881219,tertiary,20 mph,,False,False,61.319,"LINESTRING (-0.659822 51.9197713, -0.6597422 51.919805, -0.6595008 51.9199634, -0.65933 51.9200816, -0.659215 51.9201735)",Saint Andrew's Street,,,,
119447847,tertiary,,,True,False,33.939,"LINESTRING (-0.659822 51.9197713, -0.6599756 51.9195966, -0.6600552 51.9195021)",Saint Andrew's Street,,,,
4288034,primary,20 mph,,False,True,46.86,"LINESTRING (-0.6566433 51.9128946, -0.6566339 51.9129686, -0.6567559 51.9131299, -0.656779 51.9132985)",,,A4012,,
23071170,tertiary,20 mph,,False,False,72.642,"LINESTRING (-0.6566433 51.9128946, -0.6564612 51.9127964, -0.6560155 51.9123739)",Billington Road,,,,
"[4288033, 155662586, 38429187]",primary,20 mph,,False,True,123.584,"LINESTRING (-0.656779 51.9132985, -0.656832 51.9133405, -0.6570358 51.9134335, -0.6571683 51.9135054, -0.6572533 51.9135843, -0.6574167 51.913736, -0.6576286 51.9139426, -0.6578631 51.9141725)",Lake Street,,A4012,yes,
4288034,primary,20 mph,,False,False,46.86,"LINESTRING (-0.656779 51.9132985, -0.6567559 51.9131299, -0.6566339 51.9129686, -0.6566433 51.9128946)",,,A4012,,
22653492,tertiary,30 mph,,False,True,19.05,"LINESTRING (-0.656779 51.9132985, -0.656626 51.9133367, -0.6565242 51.9133665)",Stanbridge Road,2,,,
31312243,residential,,,False,False,170.05700000000002,"LINESTRING (-0.6592022 51.9155396, -0.6595191 51.9153796, -0.6600453 51.9151381, -0.6604866 51.914861, -0.6606094 51.9148227, -0.6607761 51.9148674, -0.6611029 51.9150167, -0.6611506 51.9150373)",Duncombe Drive,,,,
1182482847,tertiary,20 mph,,False,False,17.716,"LINESTRING (-0.6592022 51.9155396, -0.6591033 51.9155277, -0.6589475 51.9155133)",Lake Street,,,,
1182482847,tertiary,20 mph,,False,True,43.504,"LINESTRING (-0.6592022 51.9155396, -0.6592752 51.9155703, -0.6593551 51.9156142, -0.6594962 51.9157261, -0.6596147 51.9158017, -0.6596409 51.9158192)",Lake Street,,,,
70593155,tertiary,,,False,True,25.102,"LINESTRING (-0.6588956 51.9171065, -0.6592323 51.917018)",Hockliffe Street,,,,
315141955,tertiary,,,True,False,38.495,"LINESTRING (-0.6588956 51.9171065, -0.658594 51.9172463, -0.6584468 51.9173144)",Hockliffe Street,,,,
22653492,tertiary,30 mph,,False,False,48.916000000000004,"LINESTRING (-0.6558751 51.9135462, -0.6560102 51.9135158, -0.6562143 51.9134688, -0.6565242 51.9133665)",Stanbridge Road,2,,,
22653492,tertiary,30 mph,,False,True,51.17,"LINESTRING (-0.6558751 51.9135462, -0.6556571 51.9135048, -0.6554782 51.9134969, -0.6551412 51.913517)",Stanbridge Road,2,,,
36992511,residential,,,False,True,26.292,"LINESTRING (-0.6558751 51.9135462, -0.6558862 51.9136182, -0.6558816 51.9137823)",Falcon Mews,,,,
"[132126424, 39116362, 22653495]","['unclassified', 'residential']",20 mph,,False,False,650.137,"LINESTRING (-0.6692658 51.9162149, -0.6692732 51.9163697, -0.6691942 51.9164876, -0.6690066 51.9166466, -0.668746 51.916783, -0.6685975 51.9169085, -0.6685033 51.9170928, -0.6683932 51.9176676, -0.66836 51.9177968, -0.6683116 51.9180416, -0.6681547 51.9182227, -0.6678356 51.9184539, -0.6677486 51.9187586, -0.6677805 51.919049, -0.6677984 51.9194716, -0.66789 51.919571, -0.6680879 51.9196434, -0.6682695 51.9196688, -0.6685559 51.9196916, -0.6687851 51.9197099, -0.6690871 51.9197413, -0.6694596 51.9198224, -0.6696711 51.919836, -0.6696539 51.9200156, -0.6696445 51.9201631, -0.6696058 51.9203078, -0.6695681 51.9203732, -0.6694722 51.9204351, -0.6693437 51.9204191, -0.6689603 51.9203899, -0.6687723 51.9203974)",Vimy Road,,,,
