osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,junction,bridge,access
68543980,False,2,A44,Ffordd Llanbadarn / Llanbadarn Road,trunk,20 mph,False,67.73400000000001,"LINESTRING (-4.0745076 52.414389, -4.0747458 52.4145935, -4.0751632 52.4148456)",,,
4370679,True,2,A487,Alexandra Road,trunk,20 mph,False,80.67200000000001,"LINESTRING (-4.0795966 52.4152109, -4.0804591 52.414879, -4.0804946 52.4148368, -4.0805174 52.4147825)",,,
107631459,False,,,Ffordd Stanley / Stanley Road,residential,20 mph,True,64.326,"LINESTRING (-4.0795966 52.4152109, -4.0795267 52.41517, -4.079394 52.4150923, -4.0792122 52.4149639, -4.0791575 52.4149191, -4.0791285 52.4148814, -4.0791121 52.4148393, -4.0790947 52.4147431)",,,
244012713,False,,,Rhes-y-Poplys / Poplar Row,residential,20 mph,True,59.119,"LINESTRING (-4.0795966 52.4152109, -4.0793426 52.4153213, -4.078956 52.4155325, -4.0789237 52.4155477)",,,
4370678,True,1,A487,Stryd Thespis / Thespian Street,trunk,20 mph,False,62.378,"LINESTRING (-4.0800504 52.4156988, -4.0798307 52.4154691, -4.0795966 52.4152109)",,,
4372117,False,2,A487,Penglais Road,trunk,20 mph,False,84.31700000000001,"LINESTRING (-4.0777117 52.41606, -4.077591 52.4160734, -4.0773857 52.4161145, -4.0772603 52.4161428, -4.0765372 52.4163056)",,,
68543980,False,2,A44,Ffordd Llanbadarn / Llanbadarn Road,trunk,20 mph,True,124.411,"LINESTRING (-4.0777117 52.41606, -4.0776511 52.4160065, -4.0776362 52.4159953, -4.0776051 52.415972, -4.0775343 52.4159288, -4.0774388 52.4158813, -4.0768883 52.4156126, -4.0765723 52.4154618, -4.076315 52.4153405)",,,
379919476,False,2,A487,Northgate Street,trunk,20 mph,True,16.326,"LINESTRING (-4.0777117 52.41606, -4.0778458 52.416054, -4.077952 52.4160562)",,,
4370700,False,,,Coedlan-y-Parc / Park Avenue,tertiary,20 mph,True,221.325,"LINESTRING (-4.0791714 52.4108191, -4.0794252 52.4109736, -4.0798064 52.4112057, -4.0798969 52.41127, -4.0804385 52.4116494, -4.0808058 52.4119051, -4.0811593 52.4121739, -4.0813359 52.4123064)",,,
56392684,False,,,,unclassified,20 mph,False,95.352,"LINESTRING (-4.0791714 52.4108191, -4.0792061 52.4107892, -4.0792215 52.4107759, -4.0796727 52.4103873, -4.0796994 52.4103643, -4.0797874 52.4103043, -4.0799033 52.4102359, -4.0800462 52.4101515)",,,
108939770,False,2,A487,Dan Dre / Mill Street,trunk,20 mph,False,17.685,"LINESTRING (-4.0849429 52.4120807, -4.0851796 52.412014)",,,
