osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,bridge,access,tunnel,width
944668314,Micklegate,tertiary,30 mph,False,True,0.564,"LINESTRING (-1.088795 53.9570695, -1.0888024 53.9570669)",,,,,,
"[944668314, 420559295]",Micklegate,tertiary,30 mph,False,False,151.01700000000002,"LINESTRING (-1.088795 53.9570695, -1.0885692 53.9571542, -1.0883894 53.957203, -1.0882354 53.9572441, -1.0880297 53.957299, -1.0877574 53.9573523, -1.0877028 53.9573608, -1.0874338 53.9573915, -1.0873096 53.9573904, -1.0872354 53.957386, -1.0870819 53.9573706, -1.0869252 53.9573539, -1.086842 53.9573429, -1.0867897 53.9573346, -1.0866132 53.9573287)",,,,,,
4434551,Nessgate,secondary,30 mph,False,True,9.282,"LINESTRING (-1.0817933 53.9574448, -1.0818361 53.9575008, -1.0818594 53.9575181)",2,B1227,,,,
"[437071177, 39611014]",Clifford Street,secondary,30 mph,False,False,40.244,"LINESTRING (-1.0817933 53.9574448, -1.0817703 53.9573837, -1.0817577 53.9573189, -1.081755 53.9572566, -1.0817508 53.9571333, -1.0817552 53.9570849)",2,B1227,,,,
4430206,Pavement,residential,,False,False,8.749,"LINESTRING (-1.0792525 53.9589725, -1.0791421 53.9590169)",,,,,,
4430206,Pavement,residential,,False,True,93.732,"LINESTRING (-1.0792525 53.9589725, -1.0793811 53.9589235, -1.0796996 53.9587872, -1.079887 53.9586538, -1.0800262 53.9585421, -1.0800672 53.9585112, -1.0801063 53.9584834, -1.0801759 53.9584311, -1.0802386 53.9583742)",,,,,,
59108408,Dundas Street,residential,,False,True,75.031,"LINESTRING (-1.0762714 53.9597672, -1.0762298 53.9597466, -1.0761561 53.9597102, -1.076065 53.9596446, -1.0755255 53.9592564)",,,,,,
"[396800553, 131929918]",The Stonebow,tertiary,,False,False,42.996,"LINESTRING (-1.0762714 53.9597672, -1.0759952 53.9600225, -1.0759193 53.9600937)",2,,,,,
"[997545377, 131929918]",The Stonebow,tertiary,,False,True,126.56,"LINESTRING (-1.0762714 53.9597672, -1.0763005 53.9597402, -1.0765987 53.9594634, -1.0767668 53.9593085, -1.0769125 53.9592111, -1.077091 53.9591273, -1.0773103 53.9590586, -1.0774954 53.9590252, -1.0776128 53.9590111)",2,,,,,
146633034,Peasholme Green,tertiary,,True,False,9.286,"LINESTRING (-1.0741977 53.9613258, -1.0740707 53.9613631)",2,,yes,,,
"[146633032, 146633037]",Jewbury,primary,30 mph,True,False,31.433,"LINESTRING (-1.0741977 53.9613258, -1.0743572 53.9613613, -1.0743752 53.9613659, -1.0744044 53.9613737, -1.0746458 53.9614277)",2,A1036,yes,,,
"[709780673, 988849602, 988849601, 4015244]","[""St. Maurice's Road"", 'Jewbury']",primary,30 mph,True,False,157.98000000000002,"LINESTRING (-1.0748876 53.9614745, -1.0753182 53.9614991, -1.0755791 53.961543, -1.0756999 53.96159, -1.0758252 53.9616557, -1.0759405 53.9617339, -1.0765262 53.9621002, -1.0767817 53.9622556)","['2', '3']",A1036,,,,
4015244,St. Maurice's Road,primary,30 mph,True,False,125.36299999999999,"LINESTRING (-1.0767817 53.9622556, -1.0768272 53.962282, -1.0774312 53.9626324, -1.0777656 53.9628264, -1.0779295 53.9629076, -1.0779799 53.9629313, -1.0780335 53.9629612, -1.0781637 53.9630359)",2,A1036,,,,
4436597,Cloisters Walk,residential,,False,False,60.311,"LINESTRING (-1.0767817 53.9622556, -1.0764376 53.962504, -1.0764139 53.9625211, -1.076674 53.9626497)",,,,,,
4015243,Lord Mayors Walk,primary,30 mph,True,False,25.742,"LINESTRING (-1.0781637 53.9630359, -1.0782695 53.9630473, -1.0783036 53.9630626, -1.078379 53.963096, -1.0784572 53.9631704)",1,A1036,,,,
