osmid,name,highway,oneway,reversed,length,lanes,maxspeed,width,geometry,ref
"[1041891226, 62128988]",Frog Lane,"['unclassified', 'living_street']",False,False,149.84400000000002,1,30 mph,2.9,"LINESTRING (-2.5049225 52.1874167, -2.5048914 52.1875459, -2.5050305 52.1876645, -2.5050984 52.1876999, -2.505175 52.1877397, -2.5053223 52.1878822, -2.5054319 52.1879798, -2.5054475 52.1879981, -2.5055599 52.1881297, -2.5056632 52.1883832, -2.5056703 52.1884679, -2.505683 52.1886199)",
122764081,Bromyard By-pass,trunk,False,False,101.128,2,40 mph,,"LINESTRING (-2.5049225 52.1874167, -2.5060507 52.1875076, -2.5063933 52.1875352)",A44
62128777,Stonehill Drive,residential,False,True,44.785000000000004,,30 mph,,"LINESTRING (-2.5089169 52.187703, -2.5089433 52.1873226, -2.5089448 52.1873006)",
"[122764081, 155319675]",Bromyard By-pass,trunk,False,False,102.53999999999999,2,"['40 mph', '30 mph']",,"LINESTRING (-2.5089169 52.187703, -2.509735 52.187718, -2.5100993 52.1877022, -2.5104171 52.1876769)",A44
122764081,Bromyard By-pass,trunk,False,True,157.771,2,40 mph,,"LINESTRING (-2.5089169 52.187703, -2.5080381 52.1876447, -2.5075234 52.1876106, -2.5073511 52.1875992, -2.5070368 52.1875783, -2.5068607 52.1875666, -2.506616 52.1875504)",A44
187771447,New Road,secondary_link,True,False,105.136,,30 mph,,"LINESTRING (-2.5118058 52.1874674, -2.5104896 52.1879602)",
155319675,Bromyard By-pass,trunk,False,True,97.534,2,30 mph,,"LINESTRING (-2.5118058 52.1874674, -2.5113096 52.1875506, -2.5110341 52.1875968, -2.5104171 52.1876769)",A44
1094282841,Bromyard By-pass,trunk,False,False,118.416,2,30 mph,,"LINESTRING (-2.5118058 52.1874674, -2.5127101 52.1873117, -2.5134603 52.1871454)",A44
9863792,,primary,True,False,56.141,,30 mph,,"LINESTRING (-2.513814 52.1870726, -2.5143625 52.186696)",
122764111,West Hill,trunk,False,False,43.066,2,30 mph,,"LINESTRING (-2.513814 52.1870726, -2.5144042 52.1869345)",A44
122764111,West Hill,trunk,False,True,25.435,2,30 mph,,"LINESTRING (-2.513814 52.1870726, -2.5134603 52.1871454)",A44
62129230,,residential,False,True,111.78800000000001,,,,"LINESTRING (-2.5171814 52.1876357, -2.5172557 52.1876781, -2.5173433 52.1876943, -2.5174601 52.1877008, -2.5175796 52.1877187, -2.5176167 52.1877578, -2.5176273 52.1878034, -2.5175397 52.1878294, -2.5172194 52.1878517, -2.516919 52.187957, -2.5167473 52.1881017)",
154730056,Old Road,secondary,False,False,183.85500000000002,,30 mph,,"LINESTRING (-2.5171814 52.1876357, -2.5170487 52.1876878, -2.5163088 52.1878899, -2.5161249 52.1879401, -2.5147117 52.1882965)",B4214
154730056,Old Road,secondary,False,True,41.325,,30 mph,,"LINESTRING (-2.5171814 52.1876357, -2.5173194 52.1875511, -2.5175406 52.1873387)",B4214
45897356,Cruxwell Street,secondary,False,True,49.218999999999994,,30 mph,,"LINESTRING (-2.5081364 52.1899084, -2.508399 52.1898043, -2.5086535 52.1897009, -2.5087402 52.1896657)",
223479344,Cruxwell Street,secondary,True,False,65.755,,30 mph,,"LINESTRING (-2.5081364 52.1899084, -2.5079411 52.1899813, -2.5073197 52.1901436, -2.5072592 52.190143)",
