osmid,oneway,highway,reversed,length,geometry,lanes,name,maxspeed,junction,bridge,ref,tunnel
5067413,True,unclassified,False,46.815,"LINESTRING (-3.3440173 51.6007051, -3.3441539 51.6006833, -3.3442844 51.6006604, -3.3443454 51.6006498, -3.3445235 51.6006202, -3.3446747 51.6006039)",,,,,,,
133881025,True,primary,False,19.403,"LINESTRING (-3.3440173 51.6007051, -3.344165 51.6007331, -3.3442832 51.6007611)",3,Sardis Road Roundabout,20 mph,circular,,,
"[133881025, 228861748, 228861749]",True,primary,False,41.081,"LINESTRING (-3.3445163 51.6008418, -3.3445751 51.6008741, -3.3447941 51.6010415, -3.3448809 51.6011316)",3,Sardis Road Roundabout,20 mph,circular,yes,,
"[138359559, 5067367]",True,primary,False,183.179,"LINESTRING (-3.3448809 51.6011316, -3.3452865 51.6014594, -3.3456358 51.6017872, -3.3457557 51.6019113, -3.3461185 51.6022685, -3.3463441 51.6025037)","['1', '2']",Rhondda Road,20 mph,,,A4058,
138359560,True,primary,False,111.865,"LINESTRING (-3.3448809 51.6011316, -3.3449102 51.6012326, -3.3448994 51.6013413, -3.3448683 51.6014379, -3.3448118 51.6015418, -3.3447295 51.6016336, -3.3444712 51.6017966, -3.3443425 51.6018846, -3.3441677 51.6019625)",2,Sardis Road Roundabout,20 mph,circular,,,
109145507,True,primary,False,84.396,"LINESTRING (-3.3441677 51.6019625, -3.3439229 51.6019618, -3.3437233 51.6019471, -3.3435537 51.601926, -3.343403 51.6018949, -3.3432437 51.6018385, -3.3430126 51.6017631)",,Sardis Road Roundabout,20 mph,circular,,,
104634613,True,primary,False,12.617,"LINESTRING (-3.3430126 51.6017631, -3.342864 51.6016971)",,Sardis Road Roundabout,20 mph,circular,,,
4886349,True,primary,False,41.95,"LINESTRING (-3.342864 51.6016971, -3.3426439 51.6016427, -3.3425695 51.601632, -3.3425054 51.6016326, -3.3424428 51.6016446, -3.3422969 51.6016918)",,Catherine Street,20 mph,,,A4223,
"[996714592, 4886346]",True,primary,False,42.074,"LINESTRING (-3.342864 51.6016971, -3.342734 51.6015922, -3.3426607 51.601513, -3.3426378 51.6014883, -3.3425505 51.6013744)",3,Sardis Road Roundabout,20 mph,circular,yes,,
104640138,True,primary,False,25.592,"LINESTRING (-3.3425505 51.6013744, -3.3425119 51.6011455)",,Sardis Road Roundabout,20 mph,circular,yes,,
42298032,True,primary,False,51.902,"LINESTRING (-3.3425119 51.6011455, -3.342386 51.6009335, -3.3423523 51.6008885, -3.3422173 51.6007167)",2,,20 mph,,,A4058,
104640155,True,primary,False,36.184,"LINESTRING (-3.3425119 51.6011455, -3.3425772 51.6010123, -3.3426074 51.6009746, -3.3426376 51.6009368, -3.3426834 51.6008964, -3.3427493 51.6008636)",3,Sardis Road Roundabout,20 mph,circular,,,
133881025,True,primary,False,89.655,"LINESTRING (-3.3427493 51.6008636, -3.3437599 51.6007112, -3.3439216 51.6007024, -3.3440173 51.6007051)",3,Sardis Road Roundabout,20 mph,circular,,,
"[15688152, 996714593]",True,primary,False,39.529,"LINESTRING (-3.3422969 51.6016918, -3.3424157 51.6015649, -3.3424816 51.6014912, -3.3425505 51.6013744)",,Catherine Street,20 mph,,yes,A4223,
"[224517149, 85407190]",False,primary,True,57.141999999999996,"LINESTRING (-3.3422969 51.6016918, -3.3422438 51.6017316, -3.3421195 51.6018379, -3.3420874 51.601879, -3.3419427 51.6021496)",,Catherine Street,20 mph,,,A4223,
42298031,False,primary,False,136.302,"LINESTRING (-3.3422173 51.6007167, -3.3421722 51.6006733, -3.3420604 51.6005711, -3.3419477 51.6004388, -3.3418647 51.6003081, -3.3417791 51.6001523, -3.3416786 51.6000077, -3.341565 51.5998911, -3.3414474 51.5997748, -3.3412881 51.5996432)",,,20 mph,,,A4058,
42298034,True,primary,False,40.792,"LINESTRING (-3.3422173 51.6007167, -3.3424061 51.6007929, -3.3424994 51.6008261, -3.3425828 51.6008449, -3.3427493 51.6008636)",2,,20 mph,,,A4058,
"[1262176709, 42298031]",False,primary,True,207.63500000000002,"LINESTRING (-3.338767 51.5988152, -3.3391318 51.5988171, -3.3394522 51.5988315, -3.339696 51.5988581, -3.3399464 51.5989153, -3.3402554 51.5990068, -3.3404958 51.5991085, -3.3407044 51.5992221, -3.341075 51.5994747, -3.3411784 51.5995553, -3.3412881 51.5996432)",,,"['20 mph', '30 mph']",,,A4058,
5067411,True,unclassified,False,29.788999999999998,"LINESTRING (-3.3446747 51.6006039, -3.3445473 51.6007102, -3.3445261 51.6007415, -3.3445104 51.6007891, -3.3445163 51.6008418)",,,,,,,
5067418,False,unclassified,False,81.175,"LINESTRING (-3.3446747 51.6006039, -3.3450087 51.6004835, -3.3453301 51.6003122, -3.3455837 51.6001486)",2,Sardis Road,,,,,
5067418,False,unclassified,False,252.38,"LINESTRING (-3.3459405 51.599685, -3.3460003 51.5994514, -3.3460398 51.599259, -3.3460946 51.5990341, -3.346183 51.5988188, -3.3463366 51.5985476, -3.3466627 51.5982224, -3.3472085 51.5978867, -3.3474549 51.5976995)",2,Sardis Road,,,,,
5067418,False,unclassified,True,57.269000000000005,"LINESTRING (-3.3459405 51.599685, -3.3458271 51.5998711, -3.3456711 51.600054, -3.3455837 51.6001486)",2,Sardis Road,,,,,
29555145,False,unclassified,True,146.22,"LINESTRING (-3.3459405 51.599685, -3.3460635 51.599726, -3.3461561 51.5997569, -3.3462591 51.5997889, -3.3463793 51.5998796, -3.3464393 51.5999702, -3.3464994 51.6000448, -3.3466196 51.6001088, -3.3471689 51.6001515, -3.3473921 51.6001675, -3.3477271 51.6001335)",,Sardis Road,,,,,
5067426,True,unclassified,False,10.298,"LINESTRING (-3.3474549 51.5976995, -3.3475239 51.5976174)",,Sardis Road,,,,,
5067418,False,unclassified,True,252.38,"LINESTRING (-3.3474549 51.5976995, -3.3472085 51.5978867, -3.3466627 51.5982224, -3.3463366 51.5985476, -3.346183 51.5988188, -3.3460946 51.5990341, -3.3460398 51.599259, -3.3460003 51.5994514, -3.3459405 51.599685)",2,Sardis Road,,,,,
5067422,True,unclassified,False,11.778,"LINESTRING (-3.3476254 51.5977007, -3.3474549 51.5976995)",,Sardis Road,,,,,
5067427,True,unclassified,False,11.996,"LINESTRING (-3.3476254 51.5977007, -3.3475729 51.5976769, -3.3475368 51.5976433, -3.3475239 51.5976174)",,Factory Lane,,roundabout,,,
5067427,True,unclassified,False,17.497,"LINESTRING (-3.3475239 51.5976174, -3.3475235 51.597577, -3.3475428 51.5975418, -3.3475828 51.59751, -3.3476365 51.597489)",,Factory Lane,,roundabout,,,
5067427,True,unclassified,False,20.740000000000002,"LINESTRING (-3.3476365 51.597489, -3.3476999 51.5974803, -3.3477842 51.5974904, -3.347838 51.597513, -3.3478839 51.5975571)",,Factory Lane,,roundabout,,,
5067433,False,unclassified,False,141.75,"LINESTRING (-3.3476365 51.597489, -3.3473739 51.5971525, -3.3472452 51.5969925, -3.3469846 51.5968349, -3.3467324 51.5967355, -3.3466329 51.5966921, -3.3465513 51.5966641, -3.3464126 51.5966086, -3.3463037 51.5965772)",,Factory Lane,,,,,
