osmid,lanes,ref,highway,maxspeed,junction,oneway,reversed,length,geometry,name,bridge
207079384,1,A721,primary,30 mph,roundabout,True,False,12.065999999999999,"LINESTRING (-3.9934149 55.7898755, -3.9934479 55.7898782, -3.9934798 55.7898854, -3.9935034 55.7898944, -3.9935234 55.7899058, -3.9935416 55.789922, -3.9935526 55.7899402)",,
"[353051523, 22989820, 22989821, 22983927]","['1', '2']",A721,primary,30 mph,,True,False,247.55499999999998,"LINESTRING (-3.9934409 55.7900374, -3.9933835 55.7900973, -3.9933167 55.7901546, -3.992952 55.7903534, -3.992929 55.7903804, -3.9929129 55.7904083, -3.9929293 55.7904456, -3.9929914 55.7905201, -3.993173 55.7907254, -3.9935117 55.7910647, -3.9936289 55.7912296, -3.9936628 55.7913676, -3.9936721 55.7914028, -3.9936937 55.7914914, -3.9937665 55.7917886, -3.9939578 55.7920296)",Muir Street,yes
207079386,1,A721,primary,30 mph,roundabout,True,False,11.376999999999999,"LINESTRING (-3.9934409 55.7900374, -3.9934046 55.7900391, -3.9933686 55.7900358, -3.9933352 55.7900275, -3.9933067 55.7900149, -3.9932846 55.7899987)",,
22927704,2,A721,primary,30 mph,,False,True,120.67600000000002,"LINESTRING (-3.994135 55.7921165, -3.9943184 55.7921661, -3.9945008 55.7922581, -3.9946169 55.7923375, -3.9948563 55.7925493, -3.9951231 55.7928372, -3.9952637 55.7929702)",Muir Street,
1148830401,1,A721,primary,30 mph,roundabout,True,False,13.862,"LINESTRING (-3.994135 55.7921165, -3.9941127 55.7921373, -3.9940924 55.7921478, -3.9940536 55.7921585, -3.9940008 55.792161, -3.993949 55.792151)",,
23291817,2,A723,primary,30 mph,,False,False,143.734,"LINESTRING (-3.9897977 55.7921091, -3.9895929 55.7921648, -3.9893933 55.7922398, -3.9892526 55.7923087, -3.9890601 55.792403, -3.9880326 55.7929291)",Merry Street,
1150965623,1,A721,primary,30 mph,roundabout,True,False,6.4799999999999995,"LINESTRING (-3.9897977 55.7921091, -3.9897938 55.7920865, -3.9898038 55.7920646, -3.9898154 55.7920534)",,
23585021,1,A721,primary,30 mph,,True,False,25.115,"LINESTRING (-3.9898154 55.7920534, -3.9898544 55.7918286)",,
23584970,1,A721,primary,30 mph,roundabout,True,False,10.755,"LINESTRING (-3.9898154 55.7920534, -3.9898442 55.7920377, -3.9898833 55.7920281, -3.9899236 55.7920269, -3.9899698 55.7920359)",,
23584985,2,A721,primary,30 mph,,False,False,152.28099999999998,"LINESTRING (-3.9900075 55.7921266, -3.9901547 55.7921845, -3.9903251 55.7922564, -3.9904918 55.7923425, -3.9907059 55.7924648, -3.9909832 55.792564, -3.9911707 55.792618, -3.9914976 55.7926833, -3.9918248 55.7927101, -3.9918453 55.7927118, -3.992114 55.7926816)",Hope Street,
