osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,lanes,access,junction,bridge
4497958,Sandgate Street,unclassified,False,False,82.53099999999999,"LINESTRING (-2.1246772 52.9849421, -2.124549 52.985239, -2.1244608 52.9853939, -2.1242413 52.9856313)",,,,,,
4497958,Sandgate Street,unclassified,False,True,84.462,"LINESTRING (-2.1246772 52.9849421, -2.1247582 52.9847682, -2.1249474 52.9844437, -2.1251115 52.9842304)",,,,,,
66015157,Lawley Street,unclassified,False,True,148.038,"LINESTRING (-2.1246772 52.9849421, -2.1245709 52.9848988, -2.1244633 52.9847852, -2.1243216 52.9846036, -2.123826 52.9843269, -2.1235818 52.9841581, -2.1233023 52.9839196)",,,,,,
4497958,Sandgate Street,unclassified,False,True,82.531,"LINESTRING (-2.1242413 52.9856313, -2.1244608 52.9853939, -2.124549 52.985239, -2.1246772 52.9849421)",,,,,,
230274418,Sutherland Road,tertiary,False,False,281.672,"LINESTRING (-2.1242413 52.9856313, -2.1245612 52.9857102, -2.125214 52.9858911, -2.1253949 52.9859366, -2.1261882 52.9861322, -2.1262232 52.9861371, -2.126401 52.9861623, -2.1267063 52.9862199, -2.1271551 52.9863046, -2.127682 52.9864054, -2.1281634 52.9865366)",,,,,,
230274418,Sutherland Road,tertiary,False,True,171.685,"LINESTRING (-2.1242413 52.9856313, -2.123867 52.9855215, -2.1235216 52.9854039, -2.1227091 52.9850511, -2.1224031 52.9849195, -2.1220964 52.984791)",,,,,,
350992135,Uttoxeter Road,primary,False,True,18.607,"LINESTRING (-2.1251115 52.9842304, -2.1248777 52.9841399)",A5007,30 mph,,,,
4497958,Sandgate Street,unclassified,False,False,84.462,"LINESTRING (-2.1251115 52.9842304, -2.1249474 52.9844437, -2.1247582 52.9847682, -2.1246772 52.9849421)",,,,,,
350992135,Uttoxeter Road,primary,False,False,50.732,"LINESTRING (-2.1251115 52.9842304, -2.1254141 52.9843528, -2.1257429 52.9844827)",A5007,30 mph,,,,
350992135,Uttoxeter Road,primary,False,False,67.244,"LINESTRING (-2.1268807 52.984927, -2.1277317 52.9852483)",A5007,30 mph,,,,
350992135,Uttoxeter Road,primary,False,True,47.647,"LINESTRING (-2.1268807 52.984927, -2.1262791 52.984698)",A5007,30 mph,,,,
4541826,Barker Street,unclassified,False,False,249.537,"LINESTRING (-2.1268807 52.984927, -2.1264184 52.9853185, -2.1263929 52.9853516, -2.1264113 52.9853823, -2.127639 52.9857704, -2.1283503 52.9860171, -2.128873 52.9862034)",,,,,,
350992135,Uttoxeter Road,primary,False,False,51.669,"LINESTRING (-2.1290611 52.9858263, -2.1296823 52.9861021)",A5007,30 mph,,,,
4541827,Barlow Street,unclassified,False,False,44.962,"LINESTRING (-2.1290611 52.9858263, -2.1289544 52.9859078, -2.1289214 52.9859682, -2.128873 52.9862034)",,,,,,
350992135,Uttoxeter Road,primary,False,True,77.94,"LINESTRING (-2.1290611 52.9858263, -2.1288614 52.9857332, -2.1281262 52.9854086)",A5007,30 mph,,,,
350992135,Uttoxeter Road,primary,False,True,41.829,"LINESTRING (-2.1302419 52.986367, -2.1297495 52.9861354)",A5007,30 mph,,,,
350992135,Uttoxeter Road,primary,False,False,141.20600000000002,"LINESTRING (-2.1302419 52.986367, -2.1307832 52.9866338, -2.1309302 52.9867063, -2.1317776 52.9870949, -2.1319071 52.9871457)",A5007,30 mph,,,,
4541826,Barker Street,unclassified,False,True,249.537,"LINESTRING (-2.128873 52.9862034, -2.1283503 52.9860171, -2.127639 52.9857704, -2.1264113 52.9853823, -2.1263929 52.9853516, -2.1264184 52.9853185, -2.1268807 52.984927)",,,,,,
4541827,Barlow Street,unclassified,False,False,54.459,"LINESTRING (-2.128873 52.9862034, -2.1287136 52.9864041, -2.1284698 52.9866275)",,,,,,
4541827,Barlow Street,unclassified,False,True,44.962,"LINESTRING (-2.128873 52.9862034, -2.1289214 52.9859682, -2.1289544 52.9859078, -2.1290611 52.9858263)",,,,,,
230274418,Sutherland Road,tertiary,False,True,22.866,"LINESTRING (-2.1284698 52.9866275, -2.1281634 52.9865366)",,,,,,
4541827,Barlow Street,unclassified,False,True,54.459,"LINESTRING (-2.1284698 52.9866275, -2.1287136 52.9864041, -2.128873 52.9862034)",,,,,,
230274418,Sutherland Road,tertiary,False,False,41.777,"LINESTRING (-2.1284698 52.9866275, -2.1286921 52.9867012, -2.1289968 52.9868279)",,,,,,
230274418,Sutherland Road,tertiary,False,False,3.891,"LINESTRING (-2.1294238 52.9870015, -2.1294715 52.9870215)",,,,,,
230274418,Sutherland Road,tertiary,False,True,34.491,"LINESTRING (-2.1294238 52.9870015, -2.1289968 52.9868279)",,,,,,
4541828,Landon Street,unclassified,True,False,89.37100000000001,"LINESTRING (-2.1294238 52.9870015, -2.1299111 52.9866006, -2.1302419 52.986367)",,,,,,
"[4541829, 4541830]","['Meirhay Road', 'Sutherland Road']",tertiary,False,"[False, True]",266.75,"LINESTRING (-2.1219078 52.9830666, -2.1213582 52.9834735, -2.1206845 52.9840212, -2.1206641 52.9840753, -2.1206995 52.9841565, -2.1211957 52.9843784, -2.121592 52.9845574, -2.1217326 52.9846224, -2.1220964 52.984791)",,,2,,,
350992135,Uttoxeter Road,primary,False,False,129.962,"LINESTRING (-2.1219078 52.9830666, -2.1219675 52.9830862, -2.1221868 52.9831613, -2.1226658 52.9833342, -2.1235811 52.9836591)",A5007,30 mph,,,,
229971176,Lightwood Road,primary,False,False,70.83699999999999,"LINESTRING (-2.132611 52.9839641, -2.1326507 52.9839876, -2.1326916 52.9840087, -2.1327293 52.9840255, -2.1329469 52.9841217, -2.133028 52.9841536, -2.133506 52.9842981)",A5005,30 mph,,,,
229971185,Lightwood Road,primary,True,False,44.331,"LINESTRING (-2.132611 52.9839641, -2.1323871 52.9838911, -2.1322449 52.9838508, -2.1320093 52.9837997)",A5005,30 mph,,,,
