osmid,highway,maxspeed,oneway,reversed,length,lanes,ref,name,geometry,bridge
72727545,residential,30 mph,False,True,82.857,,,,"LINESTRING (-3.7006313 55.8284334, -3.7010283 55.8291444)",
90611026,secondary,30 mph,False,False,117.602,2,B7015,Sheephouse Hill,"LINESTRING (-3.7006313 55.8284334, -3.7015041 55.8282751, -3.7020261 55.8282104, -3.7024012 55.8281893, -3.7024552 55.8281863)",
72727485,residential,20 mph,False,False,154.917,,,Burnside Crescent,"LINESTRING (-3.7047941 55.8279452, -3.7047931 55.8279748, -3.7047834 55.8282526, -3.7046439 55.8286503, -3.704601 55.8290322, -3.7046497 55.8292606, -3.7047375 55.829307)",
258796801,secondary,20 mph,False,False,29.721000000000004,2,B7015,Sheephouse Hill,"LINESTRING (-3.7047941 55.8279452, -3.7049956 55.827896, -3.7051087 55.8278765, -3.705246 55.8278697)",
"[258796801, 90611026]",secondary,"['20 mph', '30 mph']",False,True,105.215,2,B7015,Sheephouse Hill,"LINESTRING (-3.7047941 55.8279452, -3.7046157 55.8279893, -3.7037079 55.8282134, -3.703461 55.8282435, -3.703217 55.8282586)",
72727230,residential,30 mph,False,False,9.106,,,Blackfaulds Drive,"LINESTRING (-3.705246 55.8278697, -3.7052662 55.8277886)",
72727450,unclassified,20 mph,False,False,95.422,2,,,"LINESTRING (-3.705246 55.8278697, -3.7052125 55.8280565, -3.705061 55.8285697, -3.7050865 55.8286202, -3.7052116 55.8286881)",
258796801,secondary,20 mph,False,False,60.516000000000005,2,B7015,Sheephouse Hill,"LINESTRING (-3.705246 55.8278697, -3.7053554 55.8278805, -3.7054761 55.8279025, -3.7057353 55.8279933, -3.7060893 55.8281259)",
258796801,secondary,20 mph,False,True,29.721000000000004,2,B7015,Sheephouse Hill,"LINESTRING (-3.705246 55.8278697, -3.7051087 55.8278765, -3.7049956 55.827896, -3.7047941 55.8279452)",
22962478,secondary,20 mph,False,False,97.79899999999999,2,B7010,Main Street,"LINESTRING (-3.7060893 55.8281259, -3.7064681 55.8279324, -3.7068715 55.8277238, -3.7070605 55.8276314, -3.7072587 55.8275413)",
258796801,secondary,20 mph,False,True,60.51599999999999,2,B7015,Sheephouse Hill,"LINESTRING (-3.7060893 55.8281259, -3.7057353 55.8279933, -3.7054761 55.8279025, -3.7053554 55.8278805, -3.705246 55.8278697)",
293776507,secondary,20 mph,False,True,83.158,2,B7010,Lanrigg Road,"LINESTRING (-3.7060893 55.8281259, -3.7059419 55.828224, -3.7059091 55.8282459, -3.7056586 55.8283973, -3.7052116 55.8286881)",
22962478,secondary,20 mph,False,False,131.887,2,B7010,Main Street,"LINESTRING (-3.7072587 55.8275413, -3.7074281 55.8274756, -3.707645 55.8274088, -3.7081532 55.8273205, -3.7088407 55.8272458, -3.7092583 55.8271979)",
22962478,secondary,20 mph,False,True,97.79899999999999,2,B7010,Main Street,"LINESTRING (-3.7072587 55.8275413, -3.7070605 55.8276314, -3.7068715 55.8277238, -3.7064681 55.8279324, -3.7060893 55.8281259)",
72726597,residential,30 mph,False,False,140.27,2,,Bridge Street,"LINESTRING (-3.7072587 55.8275413, -3.7066668 55.8268127, -3.7065 55.8266074, -3.7062454 55.826421)",
22962478,secondary,20 mph,False,True,131.887,2,B7010,Main Street,"LINESTRING (-3.7092583 55.8271979, -3.7088407 55.8272458, -3.7081532 55.8273205, -3.707645 55.8274088, -3.7074281 55.8274756, -3.7072587 55.8275413)",
22962480,tertiary,30 mph,False,False,72.59,2,,Harthill Road,"LINESTRING (-3.7092583 55.8271979, -3.7097009 55.8273832, -3.7101906 55.8275877)",
258796808,secondary,30 mph,False,False,80.394,2,B7010,Main Street,"LINESTRING (-3.7092583 55.8271979, -3.7094612 55.8271016, -3.7096328 55.8269991, -3.7100405 55.8266315)",
