osmid,name,highway,maxspeed,oneway,reversed,length,geometry,junction,access
28534937,Squire Street,residential,30 mph,False,False,51.365,"LINESTRING (0.6165853 51.6430633, 0.6165366 51.6430758, 0.6165004 51.6431012, 0.616492 51.6431455, 0.6165166 51.6432261, 0.6165971 51.6434901)",,
28534745,Ferrers Road,tertiary,40 mph,False,True,84.73400000000001,"LINESTRING (0.6198467 51.643095, 0.6200691 51.643211, 0.6203422 51.6433583, 0.6207641 51.6436013)",,
49664181,Ferrers Road,tertiary,40 mph,False,False,201.47899999999998,"LINESTRING (0.6198467 51.643095, 0.6194897 51.6429177, 0.6190942 51.6427329, 0.6185789 51.6425023, 0.6181177 51.6423195, 0.617834 51.642214, 0.6174152 51.6421049)",,
"[695918345, 49664182]",Merchant Street,residential,30 mph,False,True,141.381,"LINESTRING (0.6198467 51.643095, 0.6196701 51.6432214, 0.6195266 51.64334, 0.6194696 51.6434158, 0.6194361 51.6435165, 0.6194267 51.6436172, 0.6194358 51.6437159, 0.6194461 51.643769, 0.6194599 51.6438402, 0.6194919 51.6440049, 0.6195722 51.644279)",,
694157484,Ferrers Road,tertiary,40 mph,True,False,7.021,"LINESTRING (0.622396 51.6449975, 0.6224267 51.6449373)",roundabout,
28534735,Ferrers Road,tertiary,40 mph,True,False,31.503,"LINESTRING (0.6222168 51.6447997, 0.6219996 51.6445505)",,
28534724,Ferrers Road,tertiary,40 mph,True,False,15.057,"LINESTRING (0.6222168 51.6447997, 0.6221454 51.6448078, 0.6220827 51.6448306, 0.6220362 51.6448655)",roundabout,
694157481,Ferrers Road,tertiary,40 mph,True,False,9.441,"LINESTRING (0.6220362 51.6448655, 0.6220101 51.6449167, 0.6220112 51.6449479)",roundabout,
28534737,Brickfields Road,residential,30 mph,True,False,21.118,"LINESTRING (0.6220112 51.6449479, 0.6217423 51.6450386)",,
694157480,Ferrers Road,tertiary,40 mph,True,False,10.044,"LINESTRING (0.6220112 51.6449479, 0.6220339 51.6449906, 0.6220804 51.6450256)",roundabout,
694157479,Ferrers Road,tertiary,40 mph,True,False,12.735,"LINESTRING (0.6220804 51.6450256, 0.6221425 51.6450503, 0.6222137 51.6450591, 0.6222518 51.6450574)",roundabout,
694157446,Ferrers Road,tertiary,40 mph,True,False,26.713,"LINESTRING (0.6222518 51.6450574, 0.6224914 51.6452461)",,
694157478,Ferrers Road,tertiary,40 mph,True,False,12.241,"LINESTRING (0.6222518 51.6450574, 0.6223203 51.6450425, 0.622396 51.6449975)",roundabout,
28534730,Ferrers Road,tertiary,40 mph,True,False,28.416,"LINESTRING (0.6224914 51.6452461, 0.6224329 51.6450936, 0.622396 51.6449975)",,
28534734,Creekview Road,residential,30 mph,True,False,21.130000000000003,"LINESTRING (0.6224267 51.6449373, 0.6225334 51.6448924, 0.6226802 51.6448307)",,
694157483,Ferrers Road,tertiary,40 mph,True,False,14.059000000000001,"LINESTRING (0.6224267 51.6449373, 0.6224093 51.644877, 0.6223441 51.6448259)",roundabout,
50760332,Creekview Road,residential,30 mph,True,False,23.197,"LINESTRING (0.6226802 51.6448307, 0.6223441 51.6448259)",,
694157482,Ferrers Road,tertiary,40 mph,True,False,9.379000000000001,"LINESTRING (0.6223441 51.6448259, 0.6222795 51.6448054, 0.6222168 51.6447997)",roundabout,
50760327,Ferrers Road,tertiary,40 mph,True,False,35.117,"LINESTRING (0.6219996 51.6445505, 0.6220362 51.6448655)",,
28534745,Ferrers Road,tertiary,40 mph,False,False,136.434,"LINESTRING (0.6219996 51.6445505, 0.6217588 51.6442896, 0.6215054 51.6440774, 0.62116 51.6438443, 0.6208279 51.6436405, 0.6207641 51.6436013)",,
50760331,Brickfields Road,residential,30 mph,True,False,23.374,"LINESTRING (0.6217423 51.6450386, 0.6220804 51.6450256)",,
"[697527512, 28534835]",Brickfields Road,residential,30 mph,False,False,170.339,"LINESTRING (0.6217423 51.6450386, 0.6215812 51.6450652, 0.6213116 51.6450877, 0.6210685 51.6451022, 0.6209656 51.6451056, 0.6208704 51.6450968, 0.6207899 51.6450804, 0.6207094 51.6450498, 0.6206323 51.6450049, 0.6205834 51.6449572, 0.6205462 51.644899, 0.6205311 51.6448264, 0.6205315 51.6447022, 0.6205304 51.6446686, 0.6205257 51.6445322, 0.6205177 51.6444714, 0.6204895 51.644414, 0.6204399 51.6443666, 0.6203775 51.6443235, 0.6202662 51.6442729)",,
49664181,Ferrers Road,tertiary,40 mph,False,True,83.951,"LINESTRING (0.6162182 51.6419834, 0.6168016 51.6420185, 0.6171159 51.64205, 0.6174152 51.6421049)",,
50266064,Ferrers Road,tertiary,40 mph,True,False,35.602999999999994,"LINESTRING (0.6162182 51.6419834, 0.6159672 51.6419385, 0.6157257 51.6418882)",,
28534769,Inchbonnie Road,residential,30 mph,False,False,88.289,"LINESTRING (0.6154662 51.6415763, 0.6152287 51.6407961)",,
50761133,Inchbonnie Road,residential,30 mph,True,False,32.681,"LINESTRING (0.6154662 51.6415763, 0.6154505 51.6417784, 0.6154372 51.6418696)",,
28534773,Ferrers Road,tertiary,40 mph,False,True,10.431,"LINESTRING (0.6118604 51.6418858, 0.6117107 51.6418728)",,
49664290,Ferrers Road,tertiary,40 mph,False,False,196.08,"LINESTRING (0.6118604 51.6418858, 0.6133141 51.6419968, 0.6140032 51.6420259, 0.6143452 51.6420309, 0.6146888 51.6420194)",,
"[28534922, 80403799]",Hullbridge Road,residential,30 mph,False,True,43.81,"LINESTRING (0.6118604 51.6418858, 0.6118136 51.6419293, 0.6117676 51.6419875, 0.6117386 51.6420379, 0.6117269 51.6420907, 0.6117173 51.6421349, 0.6116924 51.6422594)",,no
49664290,Ferrers Road,tertiary,40 mph,False,True,196.07999999999998,"LINESTRING (0.6146888 51.6420194, 0.6143452 51.6420309, 0.6140032 51.6420259, 0.6133141 51.6419968, 0.6118604 51.6418858)",,
50266065,Ferrers Road,tertiary,40 mph,True,False,48.373999999999995,"LINESTRING (0.6146888 51.6420194, 0.6149956 51.6420185, 0.6151662 51.642026, 0.6153852 51.6420527)",,
694157470,Ferrers Road,tertiary,40 mph,True,False,4.721,"LINESTRING (0.6157257 51.6418882, 0.6156725 51.6418615)",roundabout,
28534823,Inchbonnie Road,residential,30 mph,True,False,34.884,"LINESTRING (0.6156725 51.6418615, 0.6155889 51.6417758, 0.6154662 51.6415763)",,
694157469,Ferrers Road,tertiary,40 mph,True,False,17.129,"LINESTRING (0.6156725 51.6418615, 0.6156019 51.6418457, 0.6155505 51.641844, 0.6154775 51.6418552, 0.6154372 51.6418696)",roundabout,
694157468,Ferrers Road,tertiary,40 mph,True,False,4.889,"LINESTRING (0.6154372 51.6418696, 0.6153876 51.641901)",roundabout,
28534827,Ferrers Road,tertiary,40 mph,True,False,50.08,"LINESTRING (0.6153876 51.641901, 0.6151093 51.6419615, 0.6149238 51.6419904, 0.6146888 51.6420194)",,
