osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,maxspeed
22950952,True,Dartmouth Road,unclassified,False,72.709,"LINESTRING (-3.5677311 50.4349304, -3.567721 50.4350202, -3.567854 50.4355078, -3.5678962 50.4355713)",,,
146578565,True,Dartmouth Road,primary,False,22.978,"LINESTRING (-3.5677311 50.4349304, -3.567803 50.4349513, -3.5678857 50.4349599, -3.5680471 50.4349548)",2,A3022,30 mph
20911881,True,Totnes Road,primary,False,21.051,"LINESTRING (-3.568292 50.4348934, -3.5681853 50.4350701)",1,,30 mph
705266594,False,Totnes Road,primary,True,54.289,"LINESTRING (-3.568292 50.4348934, -3.568533 50.4344947, -3.5685695 50.4344383)",2,A3022,30 mph
20911871,False,Esplanade Road,secondary,False,127.356,"LINESTRING (-3.5602215 50.435223, -3.5602012 50.4349109, -3.5601952 50.4348147, -3.5601836 50.4346983, -3.5601707 50.4345707, -3.5601608 50.4344608, -3.5601584 50.434435, -3.5601519 50.4343713, -3.5601293 50.4340888, -3.5601274 50.4340793)",2,B3201,30 mph
20911871,False,Esplanade Road,secondary,True,82.51799999999999,"LINESTRING (-3.5602215 50.435223, -3.5602435 50.4353819, -3.5602641 50.4355781, -3.5602822 50.4357643, -3.5602899 50.4358136, -3.5602927 50.4358511, -3.5603138 50.4359626)",2,B3201,30 mph
"[1185364289, 1099731001]",False,Torbay Road,secondary,False,30.894,"LINESTRING (-3.5602215 50.435223, -3.5604194 50.4352257, -3.5606576 50.4352289)",2,B3201,30 mph
20911879,True,Hyde Road,primary_link,False,18.619,"LINESTRING (-3.5676415 50.4376829, -3.5673823 50.4376549)",1,A3022,30 mph
22663478,True,Torquay Road,primary,False,11.803,"LINESTRING (-3.5676415 50.4376829, -3.5676262 50.4377886)",,,30 mph
23293781,False,Church Street,unclassified,True,138.416,"LINESTRING (-3.5676415 50.4376829, -3.5678614 50.4376226, -3.5681011 50.4375546, -3.5682066 50.4375212, -3.568683 50.4373872, -3.569274 50.4371923, -3.5694004 50.4371427)",,,
