osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,junction,bridge,access,est_width
4939401,Ynys Street,tertiary,20 mph,False,False,24.765,"LINESTRING (-3.7784672 51.5963663, -3.7783311 51.596383, -3.7782261 51.5964126, -3.7781377 51.5964472)",,,,,,
34201317,Forge Road,tertiary,30 mph,False,True,79.187,"LINESTRING (-3.7784672 51.5963663, -3.7786238 51.5963557, -3.7796069 51.5962894)",,,,,,
34699038,Pentyla Baglan Road,primary,,True,False,19.833,"LINESTRING (-3.7858605 51.5981738, -3.7858542 51.5982591, -3.7858716 51.5983157, -3.7858807 51.5983506)",1,A48,,,,
678467989,Heilbronn Way,primary,,True,False,39.760000000000005,"LINESTRING (-3.7858605 51.5981738, -3.7857613 51.5982385, -3.7856323 51.5982781, -3.7854892 51.5982877, -3.7853495 51.5982661)",2,A48,roundabout,,,
12303500,Heilbronn Way,primary,,True,False,18.713,"LINESTRING (-3.7853495 51.5982661, -3.7852716 51.5982377, -3.7852055 51.5981995, -3.7851545 51.5981532)",2,A48,roundabout,,,
12303500,Heilbronn Way,primary,,True,False,48.429,"LINESTRING (-3.7851082 51.5980049, -3.7851357 51.5979369, -3.7851919 51.5978761, -3.7852727 51.597827, -3.7853793 51.5977917, -3.7854978 51.5977772, -3.785618 51.5977847)",2,A48,roundabout,,,
"[13640932, 13640943, 794484592, 794484593, 13640919]",Heilbronn Way,primary,,True,False,331.807,"LINESTRING (-3.785618 51.5977847, -3.7858427 51.5977801, -3.7859306 51.5977757, -3.7860156 51.5977633, -3.7861694 51.5977375, -3.786322 51.5976982, -3.7865212 51.5976254, -3.7866384 51.5975697, -3.7868311 51.5974553, -3.7871349 51.5972013, -3.7874367 51.5969544, -3.7876293 51.5968048, -3.7877621 51.5966444, -3.7878317 51.5965175, -3.787867 51.5964063, -3.7878712 51.5962516, -3.7878364 51.5961037, -3.7877766 51.5959836, -3.7876582 51.5958442, -3.7876027 51.5957877, -3.7874965 51.5957292, -3.7874029 51.5956967, -3.7872838 51.5956699)",2,A48,,yes,,
678467988,Heilbronn Way,primary,,True,False,37.49600000000001,"LINESTRING (-3.785618 51.5977847, -3.7857423 51.5978185, -3.7858422 51.5978756, -3.7859068 51.5979498, -3.785929 51.5980329)",2,A48,roundabout,,,
"[603088005, 603088006, 603088010, 28152211, 603088020, 12478847]",Heilbronn Way,primary,,True,False,478.465,"LINESTRING (-3.786795 51.5954029, -3.7867062 51.595311, -3.7866064 51.5952477, -3.7864601 51.5952077, -3.785631 51.5950236, -3.7848391 51.594845, -3.7842488 51.5947074, -3.7839431 51.5946245, -3.7836838 51.5945212, -3.7835207 51.5944327, -3.7833469 51.5943203, -3.7820132 51.5932309, -3.7818917 51.5931317, -3.7815858 51.5928819, -3.7815315 51.5928454)",2,A48,,yes,,
678493961,Heilbronn Way,primary,,True,False,27.5,"LINESTRING (-3.786795 51.5954029, -3.7868293 51.5952943, -3.7869012 51.5952276, -3.7869691 51.5951902)",2,A48,roundabout,,,
12478617,Heilbronn Way,primary,,True,False,7.403,"LINESTRING (-3.7869691 51.5951902, -3.7870651 51.5951606)",2,A48,roundabout,,,
12478617,Heilbronn Way,primary,,True,False,26.962000000000003,"LINESTRING (-3.787527 51.5951792, -3.7876289 51.5952478, -3.7876766 51.5953074, -3.7876823 51.5953899)",2,A48,roundabout,,,
13715059,Water Street,tertiary,,True,False,24.160999999999998,"LINESTRING (-3.787527 51.5951792, -3.7876542 51.5951687, -3.7878052 51.59513, -3.7878543 51.5951107)",,,,,no,
12478617,Heilbronn Way,primary,,True,False,12.894,"LINESTRING (-3.7876823 51.5953899, -3.7876473 51.5955038)",2,A48,roundabout,,,
"[13436300, 13436310]",Heilbronn Way,primary,,True,False,293.585,"LINESTRING (-3.7876473 51.5955038, -3.787639 51.5956108, -3.7876685 51.5956887, -3.7876803 51.5957197, -3.7877338 51.5957795, -3.7878043 51.5958583, -3.7878855 51.595949, -3.7879904 51.596133, -3.7880106 51.596299, -3.7879999 51.5964313, -3.7878964 51.596666, -3.7877336 51.5968455, -3.7875663 51.5969863, -3.7872113 51.5972738, -3.7869112 51.5975209, -3.7867094 51.5976528, -3.786616 51.5976974, -3.7864569 51.597753)",2,A48,,yes,,
678493968,Heilbronn Way,primary,,True,False,32.730000000000004,"LINESTRING (-3.7876473 51.5955038, -3.7875763 51.5955735, -3.7874886 51.595619, -3.7874047 51.5956574, -3.7872838 51.5956699)",2,A48,roundabout,,,
12478880,Talbot Road,primary,,False,True,68.982,"LINESTRING (-3.7785291 51.5908983, -3.7786847 51.591018, -3.7791959 51.5913597)",2,A48,,,,
12496367,Heol Glan yr Harbwr / Harbourside Road,secondary,,True,False,3.433,"LINESTRING (-3.7857976 51.592337, -3.7858318 51.5923594)",2,,roundabout,,,
12496367,Heol Glan yr Harbwr / Harbourside Road,secondary,,True,False,37.398999999999994,"LINESTRING (-3.78589 51.5926376, -3.7858638 51.5926671, -3.7858317 51.5926941, -3.7857942 51.5927184, -3.785752 51.5927395, -3.7857058 51.592757, -3.7856563 51.5927707, -3.7856044 51.5927802, -3.785551 51.5927856, -3.7854969 51.5927866, -3.785443 51.5927833)",2,,roundabout,,,
"[27663690, 27663691, 12496612]","['Heol Glan y Harbwr / Harbourside Road', 'Heol Glan yr Harbwr / Harbourside Road']",secondary,,True,False,303.723,"LINESTRING (-3.78589 51.5926376, -3.7858835 51.5926802, -3.7858826 51.5927077, -3.7858828 51.5927283, -3.785885 51.5927576, -3.7858917 51.5927921, -3.7858972 51.59281, -3.7859084 51.5928321, -3.7859248 51.5928578, -3.7859408 51.5928797, -3.7859747 51.5929176, -3.7860179 51.5929643, -3.7862356 51.5932047, -3.7863508 51.5933315, -3.7864172 51.5934105, -3.7864836 51.5934964, -3.7865676 51.5936079, -3.786627 51.5936955, -3.7867024 51.5938088, -3.7867712 51.5939319, -3.7868563 51.5940891, -3.7869362 51.594238, -3.7872901 51.5949433, -3.7873565 51.5950822, -3.7874653 51.5951596)",2,,,yes,,
12303500,Heilbronn Way,primary,,True,False,16.989,"LINESTRING (-3.7851545 51.5981532, -3.7851133 51.5980813, -3.7851082 51.5980049)",2,A48,roundabout,,,
13640481,Heilbronn Way,secondary,,True,False,35.766999999999996,"LINESTRING (-3.7851545 51.5981532, -3.785016 51.598135, -3.784898 51.5981393, -3.7846416 51.5981575)",1,B4286,,,,
37133136,Heilbronn Way,secondary,,True,False,36.72,"LINESTRING (-3.7846416 51.5981575, -3.7848818 51.5980867, -3.7850294 51.5980492, -3.7851082 51.5980049)",1,B4286,,,,
37133137,Heilbronn Way,secondary,,False,False,96.27399999999999,"LINESTRING (-3.7846416 51.5981575, -3.7844427 51.5981866, -3.7842395 51.5982024, -3.7840291 51.5982068, -3.783801 51.5981991, -3.7835847 51.5981806, -3.7832698 51.5981249)",2,B4286,,,,
37133137,Heilbronn Way,secondary,,False,True,96.274,"LINESTRING (-3.7832698 51.5981249, -3.7835847 51.5981806, -3.783801 51.5981991, -3.7840291 51.5982068, -3.7842395 51.5982024, -3.7844427 51.5981866, -3.7846416 51.5981575)",2,B4286,,,,
37133138,Heilbronn Way,secondary,,True,False,43.649,"LINESTRING (-3.7832698 51.5981249, -3.7831076 51.5981137, -3.7826958 51.5979746)",1,B4286,,,,
13640513,Heilbronn Way,secondary,,True,False,27.054,"LINESTRING (-3.7820122 51.5977814, -3.7819397 51.5977999, -3.7818616 51.5978035, -3.7817855 51.5977918, -3.781719 51.5977661, -3.7816686 51.5977289)",,B4286,roundabout,,,
13640513,Heilbronn Way,secondary,,True,False,20.256999999999998,"LINESTRING (-3.7816544 51.5975859, -3.7816937 51.5975475, -3.7817493 51.5975178, -3.7818164 51.5974994, -3.7818892 51.5974939)",,B4286,roundabout,,,
34699724,Prior Street,tertiary,,True,False,27.540999999999997,"LINESTRING (-3.7816544 51.5975859, -3.7816921 51.5974783, -3.7817115 51.5973907, -3.7817366 51.5973441)",,,,,,
13640513,Heilbronn Way,secondary,,True,False,17.434,"LINESTRING (-3.7821321 51.5976502, -3.7821172 51.5977016, -3.7820757 51.5977471, -3.7820122 51.5977814)",,B4286,roundabout,,,
"[25768756, 34528582, 34528583]",Heilbronn Way,secondary,,True,False,95.665,"LINESTRING (-3.7821321 51.5976502, -3.782191 51.5977068, -3.7822438 51.5977446, -3.7823071 51.5977694, -3.7824241 51.5978135, -3.7826338 51.5978897, -3.7827025 51.5979164, -3.7828827 51.597975, -3.7830922 51.5980467, -3.7832698 51.5981249)",1,B4286,,yes,,
13764774,Tanygroes Street,tertiary,20 mph,False,False,82.993,"LINESTRING (-3.7755899 51.5925496, -3.7761861 51.5926377, -3.7767631 51.5927099)",,,,,,
13764774,Tanygroes Street,tertiary,20 mph,False,True,82.993,"LINESTRING (-3.7767631 51.5927099, -3.7761861 51.5926377, -3.7755899 51.5925496)",,,,,,
13764799,Beverley Street,tertiary,20 mph,False,False,82.517,"LINESTRING (-3.7767631 51.5927099, -3.7769863 51.5924272, -3.777321 51.592054)",,,,,,
34132604,Broad Street,residential,20 mph,False,True,71.357,"LINESTRING (-3.7761502 51.5919026, -3.7766191 51.5913308)",,,,,,
34132174,Grange Street,residential,20 mph,False,False,82.616,"LINESTRING (-3.7761502 51.5919026, -3.7767382 51.5919818, -3.777321 51.592054)",,,,,,
33556542,,unclassified,20 mph,False,False,85.076,"LINESTRING (-3.7779473 51.592827, -3.7780072 51.5928577, -3.7779945 51.5931892, -3.7779828 51.5933315, -3.7779737 51.5933766, -3.7778468 51.5935575)",,,,,,
33557379,Tanygroes Street,tertiary,20 mph,True,False,82.84299999999999,"LINESTRING (-3.7779473 51.592827, -3.7773459 51.5927618, -3.7767631 51.5927099)",,,,,,
33557371,Oakwood Road,unclassified,20 mph,False,False,26.576999999999998,"LINESTRING (-3.7801712 51.5915167, -3.78021 51.5915483, -3.7802592 51.5915884, -3.7802738 51.5916046, -3.7802811 51.5916203, -3.7802836 51.5916303, -3.7802872 51.5916479, -3.7802962 51.5917338)",,,,,,
13640513,Heilbronn Way,secondary,,True,False,26.684,"LINESTRING (-3.7818892 51.5974939, -3.7819419 51.5974983, -3.7819919 51.5975096, -3.7820515 51.5975348, -3.782097 51.5975696, -3.7821234 51.5976084, -3.7821321 51.5976502)",,B4286,roundabout,,,
34699725,Prior Street,tertiary,20 mph,False,True,59.675,"LINESTRING (-3.7813853 51.5968538, -3.7817366 51.5973441)",,,,,,
34133926,Edward Street,residential,20 mph,False,True,63.789,"LINESTRING (-3.7813853 51.5968538, -3.7809685 51.5969714, -3.7805502 51.5970986)",2,,,,,
34699725,Prior Street,tertiary,20 mph,False,False,37.755,"LINESTRING (-3.7813853 51.5968538, -3.7812149 51.5966132, -3.7811652 51.596543)",,,,,,
34201317,Forge Road,tertiary,30 mph,False,True,19.774,"LINESTRING (-3.7796069 51.5962894, -3.7798916 51.5962708)",,,,,,
34161406,Bath Street,residential,20 mph,False,False,110.374,"LINESTRING (-3.7796069 51.5962894, -3.7796167 51.5963326, -3.779663 51.5965881, -3.779695 51.5967037, -3.7797207 51.5967511, -3.779839 51.5969065, -3.7799092 51.5970019, -3.7800911 51.5972224)",,,,,,
34201317,Forge Road,tertiary,30 mph,False,False,79.187,"LINESTRING (-3.7796069 51.5962894, -3.7786238 51.5963557, -3.7784672 51.5963663)",,,,,,
"[37133138, 34528581, 592398062]",Heilbronn Way,secondary,,True,False,52.469,"LINESTRING (-3.7826958 51.5979746, -3.7825975 51.5979387, -3.7823796 51.5978655, -3.782203 51.5978048, -3.7821167 51.5977864, -3.7820122 51.5977814)",1,B4286,,yes,,
"[1257609427, 24830053, 1230081334]",Cwmavon Road,secondary,"['20 mph', '30 mph']",False,False,149.958,"LINESTRING (-3.7826958 51.5979746, -3.7827081 51.5980305, -3.7826613 51.5980844, -3.7825395 51.5982246, -3.7824468 51.5983195, -3.7823463 51.5983964, -3.7819606 51.5986351, -3.781783 51.5987523, -3.7816953 51.598811, -3.7813862 51.599018)",2,B4286,,,,
27625126,Stryd Eryr / Eagle Street,tertiary,20 mph,True,False,50.553,"LINESTRING (-3.7791959 51.5913597, -3.7788258 51.5917519)",1,,,,,
12478880,Talbot Road,primary,,False,False,68.982,"LINESTRING (-3.7791959 51.5913597, -3.7786847 51.591018, -3.7785291 51.5908983)",2,A48,,,,
12478880,Talbot Road,primary,,False,True,72.661,"LINESTRING (-3.7791959 51.5913597, -3.7797213 51.5917248, -3.7797674 51.5917493, -3.7797979 51.5917627, -3.7798266 51.5917722, -3.779861 51.5917797, -3.7798918 51.5917836, -3.779927 51.5917843, -3.7799567 51.5917822)",2,A48,,,,
34493129,Margaret Street,residential,20 mph,False,False,48.501999999999995,"LINESTRING (-3.7754638 51.5983514, -3.7754817 51.5983852, -3.7754886 51.5984578, -3.775467 51.5987854)",2,,,,,
34493182,Reginald Street,residential,20 mph,False,False,166.376,"LINESTRING (-3.7754638 51.5983514, -3.7756733 51.5982478, -3.7757956 51.5982079, -3.7759552 51.5982019, -3.7773517 51.5982324, -3.7777954 51.5982577)",2,,,,,
27625131,Avan Street,residential,20 mph,False,True,52.209,"LINESTRING (-3.779453 51.5992625, -3.77993 51.5989302, -3.7799645 51.5989187)",2,,,,,
34493276,Cross Street,residential,20 mph,False,False,128.32999999999998,"LINESTRING (-3.779453 51.5992625, -3.7794001 51.5992329, -3.7790614 51.5990572, -3.7788144 51.5989667, -3.778514 51.5988741, -3.7783104 51.5988259, -3.7778056 51.5988095)",,,,,,
34493701,Avan Street,residential,20 mph,True,False,44.776,"LINESTRING (-3.779453 51.5992625, -3.779093 51.5995203, -3.779037 51.5995709)",2,,,,,
524771305,,primary,,True,False,14.523,"LINESTRING (-3.7815315 51.5928454, -3.7814904 51.5928399, -3.7814542 51.5928266, -3.7814267 51.5928069, -3.7814105 51.5927828, -3.7814075 51.5927567)",,,roundabout,,,
28152213,Station Road,unclassified,20 mph,False,False,102.84400000000001,"LINESTRING (-3.7806148 51.5928546, -3.7806025 51.5928969, -3.7806135 51.5929689, -3.7812949 51.593659)",,,,,,
28152213,Station Road,unclassified,20 mph,False,True,61.217000000000006,"LINESTRING (-3.7806148 51.5928546, -3.7806441 51.5928153, -3.7807135 51.5927686, -3.7807991 51.5927378, -3.7809798 51.5927216, -3.7811323 51.5927327, -3.7813218 51.5927568, -3.7814075 51.5927567)",,,,,,
"[34161452, 524771310]",Grove Place,residential,30 mph,False,"[False, True]",97.471,"LINESTRING (-3.7806148 51.5928546, -3.7805119 51.5928542, -3.7804625 51.592854, -3.7803824 51.5928714, -3.7800869 51.5929913, -3.7799148 51.5930659, -3.7794975 51.5932269, -3.7793999 51.5932701)",2,,,,,
34126316,Manor Street,residential,20 mph,False,True,16.272,"LINESTRING (-3.7778468 51.5935575, -3.7780723 51.5935998)",2,,,,,
33556542,,unclassified,20 mph,False,True,85.07600000000001,"LINESTRING (-3.7778468 51.5935575, -3.7779737 51.5933766, -3.7779828 51.5933315, -3.7779945 51.5931892, -3.7780072 51.5928577, -3.7779473 51.592827)",,,,,,
4939401,Ynys Street,tertiary,20 mph,False,True,76.141,"LINESTRING (-3.7772529 51.5968556, -3.7781377 51.5964472)",,,,,,
33775611,Danybryn Road,tertiary,20 mph,False,False,70.449,"LINESTRING (-3.7772529 51.5968556, -3.7772212 51.5968301, -3.7769128 51.5965821, -3.7766307 51.5963536)",,,,,,
"[34133920, 34133926]","['Glyndwr Street', 'Edward Street']",residential,20 mph,False,False,217.29200000000003,"LINESTRING (-3.7772529 51.5968556, -3.7772872 51.5968831, -3.7775962 51.5971304, -3.7782746 51.5976786, -3.7783551 51.5976908, -3.7783985 51.5976937, -3.7784735 51.59768, -3.7788281 51.5975777, -3.7791192 51.5974941, -3.7796242 51.597349)",2,,,,,
33775611,Danybryn Road,tertiary,20 mph,False,False,72.72,"LINESTRING (-3.7766307 51.5963536, -3.7764251 51.5961797, -3.7763147 51.5960903, -3.7763013 51.5960779, -3.7759952 51.5958323)",,,,,,
33775611,Danybryn Road,tertiary,20 mph,False,True,70.449,"LINESTRING (-3.7766307 51.5963536, -3.7769128 51.5965821, -3.7772212 51.5968301, -3.7772529 51.5968556)",,,,,,
33775613,King Street,residential,20 mph,False,True,81.76400000000001,"LINESTRING (-3.7766307 51.5963536, -3.7766801 51.5963299, -3.7775675 51.5959041)",2,,,,,
