osmid,oneway,name,highway,reversed,length,ref,maxspeed,geometry,lanes,bridge
171463201,True,Aldred Street,residential,False,84.185,,,"LINESTRING (-2.1630003 53.5086334, -2.1638492 53.5091976)",,
1101840349,False,Oldham Road,trunk,True,56.792,A62,30 mph,"LINESTRING (-2.1630003 53.5086334, -2.1636589 53.5083056)",,
27662780,False,Old Road,residential,False,23.799,,,"LINESTRING (-2.1630003 53.5086334, -2.1630259 53.5087711, -2.1629977 53.5088447)",,
1101840348,False,Oldham Road,trunk,False,34.468,A62,30 mph,"LINESTRING (-2.1630003 53.5086334, -2.1628499 53.5087005, -2.1625795 53.5088163)",,
"[359253854, 63383519]",False,"['Woodhall Street', 'Old Road']",residential,True,106.322,,,"LINESTRING (-2.1584426 53.5116552, -2.1584963 53.510947, -2.1589117 53.5109362)",,
63383535,False,Lord Lane,tertiary,False,84.21000000000001,,,"LINESTRING (-2.1568532 53.5085823, -2.1566993 53.5084458, -2.1565566 53.5082476, -2.1563068 53.5079007)",,
"[1066668739, 179049295]",False,Ashton Road West,tertiary,True,84.374,,,"LINESTRING (-2.1568532 53.5085823, -2.1571087 53.5084514, -2.1574364 53.5082854, -2.1575084 53.5082552, -2.1578365 53.5081176, -2.1578517 53.5081112)",2,
1066668740,False,Ashton Road West,tertiary,False,159.827,,,"LINESTRING (-2.1568532 53.5085823, -2.1560456 53.5089693, -2.1556055 53.5091803, -2.1554096 53.5092837, -2.1549963 53.5095018)",,
63383535,False,Lord Lane,tertiary,True,3.88,,,"LINESTRING (-2.1553613 53.5065806, -2.1553843 53.5066127)",,
63383549,False,Burgess Drive,residential,False,116.322,,,"LINESTRING (-2.1553613 53.5065806, -2.1565973 53.5058363)",,
63383535,False,Lord Lane,tertiary,False,66.821,,,"LINESTRING (-2.1553613 53.5065806, -2.1552669 53.5064488, -2.1550845 53.5060596, -2.155091 53.5060061)",,
63383535,False,Lord Lane,tertiary,False,71.543,,,"LINESTRING (-2.1553527 53.5053449, -2.1559157 53.5047955)",,
63383535,False,Lord Lane,tertiary,True,76.267,,,"LINESTRING (-2.1553527 53.5053449, -2.1551274 53.5057086, -2.155091 53.5060061)",,
63707400,False,Cemetery Road,residential,False,57.275999999999996,,,"LINESTRING (-2.1553527 53.5053449, -2.1547951 53.5052014, -2.1545424 53.505169)",,
63383535,False,Lord Lane,tertiary,True,71.543,,,"LINESTRING (-2.1559157 53.5047955, -2.1553527 53.5053449)",,
63383545,False,Dunkerley Avenue,residential,False,96.636,,,"LINESTRING (-2.1559157 53.5047955, -2.1571914 53.5052193)",,
63383535,False,Lord Lane,tertiary,False,44.643,,,"LINESTRING (-2.1559157 53.5047955, -2.1560394 53.5046749, -2.1563795 53.5045112)",,
1066671511,False,Ashton Road West,tertiary,True,19.494,,,"LINESTRING (-2.1613593 53.507183, -2.1616398 53.5072369)",,
99058067,False,Clive Road,tertiary,True,148.80599999999998,,,"LINESTRING (-2.1613593 53.507183, -2.1613188 53.5070483, -2.1607284 53.5061587, -2.1605793 53.5059303)",2,
179049295,False,Ashton Road West,tertiary,False,65.343,,,"LINESTRING (-2.1613593 53.507183, -2.1610524 53.5071762, -2.1608601 53.5071673, -2.1606396 53.5071746, -2.1603738 53.5071913)",,
63383545,False,Dunkerley Avenue,residential,True,96.636,,,"LINESTRING (-2.1571914 53.5052193, -2.1559157 53.5047955)",,
63383549,False,Burgess Drive,residential,True,79.061,,,"LINESTRING (-2.1571914 53.5052193, -2.1565973 53.5058363)",,
63383545,False,Dunkerley Avenue,residential,False,113.21799999999999,,,"LINESTRING (-2.1571914 53.5052193, -2.1576272 53.5053641, -2.1583011 53.5059638)",,
63383545,False,Dunkerley Avenue,residential,True,48.204,,,"LINESTRING (-2.1598024 53.5072997, -2.1593973 53.5069393)",,
179049295,False,Ashton Road West,tertiary,False,17.181,,,"LINESTRING (-2.1598024 53.5072997, -2.1595746 53.507374)",,
179049295,False,Ashton Road West,tertiary,True,39.714,,,"LINESTRING (-2.1598024 53.5072997, -2.1599661 53.5072608, -2.160302 53.507201, -2.1603738 53.5071913)",,
63383549,False,Burgess Drive,residential,False,79.061,,,"LINESTRING (-2.1565973 53.5058363, -2.1571914 53.5052193)",,
63383549,False,Burgess Drive,residential,True,116.322,,,"LINESTRING (-2.1565973 53.5058363, -2.1553613 53.5065806)",,
63707385,False,Wrigley Crescent,residential,True,48.398,,,"LINESTRING (-2.1565973 53.5058363, -2.155986 53.505597)",,
1101840350,False,Old Road,residential,True,28.37,,,"LINESTRING (-2.1614025 53.510683, -2.1616648 53.5104811)",,
359253854,False,Old Road,residential,False,14.959,,,"LINESTRING (-2.1613267 53.510702, -2.1611066 53.5107331)",,
