osmid,lanes,ref,name,highway,maxspeed,access,oneway,reversed,length,geometry,bridge,junction
"[1195017265, 4898990]",3,A55,Llanfawr Road,trunk,20 mph,yes,False,False,100.231,"LINESTRING (-4.6298795 53.3064352, -4.6299784 53.3065353, -4.6300012 53.3065644, -4.6301088 53.3066975, -4.6302208 53.3068536, -4.6302675 53.3069281, -4.6303019 53.3070027, -4.630329 53.3070786, -4.6303438 53.3071546, -4.6303461 53.3072129, -4.6303379 53.3072465, -4.6303231 53.3072773)",,
"[26579096, 26579097, 4898986, 1195017263]",3,A55,London Road,trunk,20 mph,yes,False,True,130.295,"LINESTRING (-4.6298795 53.3064352, -4.6300574 53.3063756, -4.6301361 53.3063662, -4.630247 53.3063625, -4.6302999 53.3063608, -4.6305845 53.3063478, -4.6309878 53.306325, -4.6314652 53.306298, -4.6314913 53.3062965, -4.6315368 53.3062932, -4.6316257 53.3062867, -4.6317285 53.3062736, -4.6318008 53.3062597)",yes,
"[420696633, 260627037]",,,Llanfawr Road,residential,,,False,True,43.644999999999996,"LINESTRING (-4.6300414 53.3073866, -4.6300188 53.3073665, -4.6299997 53.3073497, -4.6299631 53.307327, -4.6299097 53.3073058, -4.6298278 53.3072838, -4.6297086 53.3072737, -4.6296889 53.3072732, -4.6294535 53.3072674)",,
1195022426,2,,,trunk,20 mph,yes,True,False,3.533,"LINESTRING (-4.6300414 53.3073866, -4.630067 53.3073822, -4.6300933 53.3073801)",,roundabout
952600737,2,A55,Llanfawr Road,trunk,20 mph,yes,True,False,19.391,"LINESTRING (-4.6300933 53.3073801, -4.6301626 53.3073616, -4.6302178 53.307342, -4.6302596 53.3073223, -4.6303231 53.3072773)",,
1195022376,2,,,trunk,20 mph,yes,True,False,17.564,"LINESTRING (-4.6300933 53.3073801, -4.6301456 53.3073828, -4.6301709 53.3073876, -4.6301947 53.3073944, -4.630224 53.307407, -4.6302485 53.3074226, -4.6302665 53.3074398, -4.6302832 53.3074699)",,roundabout
26579086,,,Turkey Shore Road,residential,,,False,False,288.61400000000003,"LINESTRING (-4.6294535 53.3072674, -4.6294339 53.3072985, -4.629403 53.3073171, -4.6293512 53.3073343, -4.6292474 53.3073604, -4.6286727 53.3074739, -4.6285222 53.3075167, -4.6284247 53.3075514, -4.6283296 53.3076028, -4.6281157 53.3078002, -4.6280329 53.3078918, -4.6277191 53.3082386, -4.627563 53.3084701, -4.6273336 53.30865, -4.6269258 53.3088481, -4.626575 53.3090689)",,
"[23441280, 26579091, 26579094]",,,"['Richmond Hill', 'Ffordd Llanfawr', 'Llanfawr Road']",residential,,,False,True,121.606,"LINESTRING (-4.6294535 53.3072674, -4.6292332 53.3072485, -4.6291156 53.307207, -4.6290107 53.3072321, -4.6288957 53.3072447, -4.6287631 53.3072509, -4.6284438 53.3072478, -4.6282611 53.3072363, -4.6280933 53.3072098, -4.6279363 53.3071672, -4.6277271 53.3070758)",,
"[420696633, 260627037]",,,Llanfawr Road,residential,,,False,False,43.645,"LINESTRING (-4.6294535 53.3072674, -4.6296889 53.3072732, -4.6297086 53.3072737, -4.6298278 53.3072838, -4.6299097 53.3073058, -4.6299631 53.307327, -4.6299997 53.3073497, -4.6300188 53.3073665, -4.6300414 53.3073866)",,
119397493,2,,Seiriol Street,residential,30 mph,,False,False,75.221,"LINESTRING (-4.6392993 53.3106299, -4.6391464 53.3102415, -4.63904 53.3099714)",,
122657349,2,,South Stack Road,tertiary,30 mph,,False,False,134.119,"LINESTRING (-4.6392993 53.3106299, -4.638602 53.3107384, -4.6377324 53.3108737, -4.6373471 53.310937)",,
60213481,,,Thomas Street,tertiary,30 mph,,False,False,7.161,"LINESTRING (-4.6369529 53.3110822, -4.6368588 53.3110508)",,
60213480,,,,tertiary,,,False,True,213.65,"LINESTRING (-4.6369529 53.3110822, -4.6375958 53.3113975, -4.6376504 53.3114243, -4.6380492 53.3116118, -4.6383563 53.3117699, -4.6386124 53.3119292, -4.6387701 53.3120388, -4.6388612 53.3121008, -4.6389049 53.3122085, -4.6389676 53.3124272, -4.6389835 53.3124826)",,
122657349,2,,South Stack Road,tertiary,30 mph,,False,True,31.346000000000004,"LINESTRING (-4.6369529 53.3110822, -4.6370276 53.3110282, -4.6372103 53.31097, -4.6373471 53.310937)",,
92875316,2,,Seabourne Road,residential,30 mph,,False,True,112.421,"LINESTRING (-4.6405356 53.3137383, -4.6396598 53.3146034)",,
23611661,2,,Porth-y-Felin Road,tertiary,30 mph,,False,False,74.36,"LINESTRING (-4.6405356 53.3137383, -4.6402633 53.3135324, -4.6401274 53.3134297, -4.6398998 53.3131902)",,
23611661,2,,Porth-y-Felin Road,tertiary,30 mph,,False,True,74.36,"LINESTRING (-4.6398998 53.3131902, -4.6401274 53.3134297, -4.6402633 53.3135324, -4.6405356 53.3137383)",,
60213480,,,,tertiary,,,False,False,51.543,"LINESTRING (-4.6398998 53.3131902, -4.6396339 53.3129876, -4.6393811 53.3128474)",,
