osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed,ref,bridge,junction
122081342,True,Regal Pass,unclassified,False,50.120999999999995,"LINESTRING (-7.6371274 54.3441061, -7.6372596 54.3438529, -7.6373543 54.3436752)",,,,,
"[78474080, 122081345, 604613266, 122631961]",True,"['Townhall Street', 'High Street']",unclassified,False,230.10400000000004,"LINESTRING (-7.6371274 54.3441061, -7.6377289 54.3442193, -7.6377912 54.3442322, -7.6380633 54.3443078, -7.6382446 54.3443816, -7.6382795 54.3443966, -7.6384525 54.3444727, -7.6385812 54.3445433, -7.6388387 54.3447697, -7.6389048 54.3448278, -7.6390273 54.344941, -7.6391905 54.3451005, -7.6394012 54.3452866, -7.6396012 54.3454723)",1,30 mph,,,
226571768,True,Paget Square,unclassified,False,61.459,"LINESTRING (-7.6396012 54.3454723, -7.6402333 54.3452117, -7.6402882 54.345167, -7.6403098 54.3451223)",,30 mph,,,
"[250580394, 680767276, 680767277, 122080185, 122631962]",True,"['Church Street', 'High Street']",unclassified,False,160.74099999999999,"LINESTRING (-7.6396012 54.3454723, -7.6397053 54.3455632, -7.6398281 54.3456624, -7.6398949 54.3457163, -7.6399582 54.3457558, -7.6400687 54.3458331, -7.6403319 54.345963, -7.6405368 54.3460542, -7.6407303 54.3461294, -7.6409583 54.3462074, -7.6411665 54.3462838, -7.6412207 54.3463037, -7.6413057 54.3463602, -7.6413341 54.3464136, -7.641351 54.3464524)",1,30 mph,,,
8308107,True,Darling Street,unclassified,False,114.521,"LINESTRING (-7.6439003 54.3471237, -7.6434842 54.347042, -7.6430486 54.3469497, -7.6427108 54.3468433, -7.6423018 54.3466964)",1,30 mph,,,
30033090,True,Castle Street,trunk,False,35.373,"LINESTRING (-7.6439003 54.3471237, -7.6439752 54.3469762, -7.644007 54.3469122, -7.6440548 54.3468186)",2,30 mph,A46,,
1094234123,False,Queen Street,primary,True,54.001999999999995,"LINESTRING (-7.6439003 54.3471237, -7.6438308 54.3472554, -7.6437329 54.3474917, -7.6436912 54.3475936)",2,30 mph,A32,,
19622930,True,Henry Street,trunk,False,23.188999999999997,"LINESTRING (-7.6460184 54.3469873, -7.645958 54.3470827, -7.6458984 54.3471766, -7.6458935 54.3471827)",2,30 mph,A46,,
"[116051185, 116051186, 845858405]",False,Wellington Road,trunk,True,113.172,"LINESTRING (-7.6460184 54.3469873, -7.6458251 54.346937, -7.6457924 54.3469288, -7.6457807 54.3469256, -7.6457296 54.3469132, -7.6449229 54.346715, -7.6444944 54.3466175, -7.6444058 54.3465973)",3,30 mph,A4,yes,
19629772,False,Water Street,unclassified,False,50.111999999999995,"LINESTRING (-7.6374393 54.3452577, -7.6375358 54.3452526, -7.637687 54.3452353, -7.6378654 54.3452201, -7.6380984 54.3451719, -7.6381721 54.3451373)",,30 mph,,,
