osmid,oneway,lanes,ref,highway,maxspeed,junction,reversed,length,geometry,name,bridge,tunnel,access,width
1099488542,True,2,A28,trunk,30 mph,roundabout,False,8.326,"LINESTRING (1.0839591 51.2767707, 1.0839006 51.2767628, 1.0838408 51.2767643)",,,,,
1175996326,True,2,A28,trunk,30 mph,roundabout,False,11.599,"LINESTRING (1.0840994 51.2769734, 1.0841194 51.2769228, 1.0841106 51.2768709)",,,,,
4079439,True,2,A28,trunk,30 mph,roundabout,False,11.089,"LINESTRING (1.0871303 51.2844661, 1.0872051 51.2844834, 1.0872848 51.284484)",,,,,
4412471,True,1,,unclassified,30 mph,,False,23.082,"LINESTRING (1.0871667 51.2842016, 1.0868637 51.2841169)",Northgate,,,,
1132058367,True,2,A28,trunk,30 mph,roundabout,False,15.606,"LINESTRING (1.0871667 51.2842016, 1.0871015 51.2842246, 1.0870513 51.2842592, 1.087021 51.284302)",,,,,
4452669,False,2,B2248,secondary,20 mph,,False,65.676,"LINESTRING (1.0788328 51.2839742, 1.0786729 51.2840937, 1.0786163 51.2841622, 1.0785327 51.2843611, 1.0784737 51.2845086)",Station Road West,,,,
4452682,False,2,,tertiary,20 mph,,False,26.740000000000002,"LINESTRING (1.0788328 51.2839742, 1.0786372 51.2838806, 1.0785353 51.2838222)",North Lane,,,,
4452682,False,2,,tertiary,20 mph,,True,3.66,"LINESTRING (1.0784956 51.2838006, 1.0785353 51.2838222)",North Lane,,,,
4228252,False,2,,tertiary,20 mph,,False,140.22199999999998,"LINESTRING (1.0784956 51.2838006, 1.0780396 51.2834975, 1.0778609 51.283375, 1.0777881 51.2833258, 1.0775861 51.2832069, 1.0775463 51.2831763, 1.0774144 51.2830749, 1.0772324 51.2828706, 1.0771988 51.2828433)",North Lane,,,,
"[632410520, 4419535, 1061359825, 1061359826, 592364948, 32898711, 32898712]",False,2,,unclassified,20 mph,,True,139.15400000000002,"LINESTRING (1.0784956 51.2838006, 1.0785801 51.2837347, 1.0786012 51.2836954, 1.0786323 51.2836375, 1.0786478 51.2835556, 1.0786517 51.2835353, 1.0786488 51.2834411, 1.0786653 51.2832995, 1.0787303 51.2831484, 1.0788208 51.2830531, 1.078996 51.2829402, 1.0790222 51.2829073, 1.0790969 51.2828276, 1.0791177 51.2828054, 1.0791326 51.2827687, 1.0791414 51.2826609)",The Causeway,yes,,,
