osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge,ref,junction
39984356,Park Road,residential,30 mph,False,False,72.398,"LINESTRING (-3.7190485 56.016529, -3.7189887 56.0165716, -3.7189378 56.0166219, -3.7188962 56.0166938, -3.7188335 56.016845, -3.7187088 56.0171454)",,,,
"[39984353, 39984357]",Dalratho Road,residential,30 mph,False,"[False, True]",47.959,"LINESTRING (-3.7190485 56.016529, -3.7188248 56.0164255, -3.718714 56.016367, -3.7185801 56.0163223, -3.7184161 56.0162918)",2,,,
"[39984355, 39984358, 39984359]",Dalratho Road,residential,30 mph,False,True,28.258000000000003,"LINESTRING (-3.7190485 56.016529, -3.7191371 56.0165699, -3.7193143 56.0166589, -3.7194071 56.0166819)",,yes,,
97048337,Bo'ness Road,primary,30 mph,False,True,173.967,"LINESTRING (-3.7180316 56.0187756, -3.7153931 56.0182532)",2,,A904,
"[34530218, 4886523, 34530219]",Bo'ness Road,primary,30 mph,False,False,28.193,"LINESTRING (-3.7180316 56.0187756, -3.7181095 56.0187919, -3.7182893 56.0188268, -3.7183618 56.0188408, -3.7184599 56.0188591)",2,yes,A904,
39984356,Park Road,residential,30 mph,False,True,104.078,"LINESTRING (-3.7180316 56.0187756, -3.7180601 56.0187059, -3.7184107 56.0178639)",,,,
40523685,Grangeburn Road,residential,30 mph,True,False,22.733,"LINESTRING (-3.7180316 56.0187756, -3.718003 56.018829, -3.7179339 56.0189726)",,,,
5364743,Abbots Road,secondary,30 mph,False,True,127.363,"LINESTRING (-3.7184599 56.0188591, -3.718502 56.0187248, -3.7186922 56.0182516, -3.7189139 56.0177424)",2,,B9132,
34530218,Bo'ness Road,primary,30 mph,False,False,99.30700000000002,"LINESTRING (-3.7184599 56.0188591, -3.7186576 56.018898, -3.7194958 56.0190632, -3.7196719 56.0190979, -3.7199669 56.019156)",,,A904,
"[34530218, 34530219, 4886523]",Bo'ness Road,primary,30 mph,False,True,28.192999999999998,"LINESTRING (-3.7184599 56.0188591, -3.7183618 56.0188408, -3.7182893 56.0188268, -3.7181095 56.0187919, -3.7180316 56.0187756)",2,yes,A904,
396566286,South Shore Road,unclassified,30 mph,False,False,118.195,"LINESTRING (-3.7184599 56.0188591, -3.7183925 56.0189492, -3.7179221 56.019878)",,,,
33055802,Station Road,primary,30 mph,False,False,107.99999999999999,"LINESTRING (-3.7226068 56.0198263, -3.7229998 56.020055, -3.7232798 56.0202034, -3.7234565 56.0202784, -3.7236763 56.020343, -3.7237973 56.0203729, -3.7239702 56.0204048)",2,,A904,
33055802,Station Road,primary,30 mph,False,True,28.263,"LINESTRING (-3.7226068 56.0198263, -3.7224626 56.0197513, -3.722266 56.0196581)",2,,A904,
33229877,Union Road,tertiary,30 mph,False,False,28.966,"LINESTRING (-3.7226068 56.0198263, -3.7226774 56.0197759, -3.7227659 56.0197238, -3.7228374 56.0196992, -3.7229282 56.0196947, -3.7229754 56.0196993)",,,,
5364747,Dock Road,unclassified,30 mph,False,False,110.29,"LINESTRING (-3.7239702 56.0204048, -3.7238368 56.0204607, -3.7232341 56.0207131, -3.7229077 56.0208047, -3.7226642 56.0208163, -3.722419 56.0208176)",,,,
33055802,Station Road,primary,30 mph,False,True,108.00000000000001,"LINESTRING (-3.7239702 56.0204048, -3.7237973 56.0203729, -3.7236763 56.020343, -3.7234565 56.0202784, -3.7232798 56.0202034, -3.7229998 56.020055, -3.7226068 56.0198263)",2,,A904,
"[507044066, 34530220, 34530221, 507044082, 39934039, 298834778]",Station Road,primary,30 mph,False,False,158.595,"LINESTRING (-3.7239702 56.0204048, -3.7242797 56.0204301, -3.7243612 56.0204342, -3.72456 56.020436, -3.7245815 56.0204354, -3.7247193 56.020432, -3.7250442 56.0204151, -3.7254873 56.0203903, -3.7258073 56.02037, -3.7261924 56.0203503, -3.7265105 56.0203608)",2,yes,A904,
33235755,Station Road,primary,30 mph,True,False,47.16,"LINESTRING (-3.7265105 56.0203608, -3.7268414 56.0203631, -3.7270018 56.0203585, -3.7271284 56.0203327, -3.7272352 56.0202888)",,,A904,
"[507044066, 34530220, 34530221, 507044082, 39934039, 298834778]",Station Road,primary,30 mph,False,True,158.595,"LINESTRING (-3.7265105 56.0203608, -3.7261924 56.0203503, -3.7258073 56.02037, -3.7254873 56.0203903, -3.7250442 56.0204151, -3.7247193 56.020432, -3.7245815 56.0204354, -3.72456 56.020436, -3.7243612 56.0204342, -3.7242797 56.0204301, -3.7239702 56.0204048)",2,yes,A904,
4886524,Timber Basin Roundabout,primary,30 mph,True,False,12.252,"LINESTRING (-3.7272352 56.0202888, -3.7273297 56.0201921)",,,,roundabout
4886524,Timber Basin Roundabout,primary,30 mph,True,False,23.195,"LINESTRING (-3.7277918 56.0199953, -3.7279258 56.0199929, -3.7280439 56.0200085, -3.7281484 56.0200389)",,,,roundabout
33235765,Earl's Road,primary,30 mph,True,False,32.423,"LINESTRING (-3.7277918 56.0199953, -3.7279111 56.0199271, -3.7280037 56.0198601, -3.7281071 56.0197647)",,,A904,
4886524,Timber Basin Roundabout,primary,30 mph,True,False,33.31,"LINESTRING (-3.7283279 56.0202164, -3.7283215 56.0202895, -3.7282397 56.0204537, -3.7282088 56.0205069)",,,,roundabout
4886526,McCafferty Way,unclassified,30 mph,False,False,199.177,"LINESTRING (-3.7283279 56.0202164, -3.7288431 56.0202261, -3.7300593 56.0197954, -3.7293014 56.0193589, -3.729189 56.0192942)",,,,
