osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,maxspeed,junction
"[1070413733, 748947053, 748947054, 1070048276, 1070085721, 29435386, 29435387, 29435388]",True,"['Tan-y-Fynwent', 'Garth Road', 'Ffordd Gwynedd']",tertiary,False,385.00899999999996,"LINESTRING (-4.1282208 53.2279765, -4.128142 53.2279179, -4.1278666 53.2277177, -4.127848 53.227706, -4.1276661 53.2275832, -4.1275983 53.2274999, -4.1275325 53.2273968, -4.1274008 53.2272272, -4.1272982 53.2271533, -4.1271834 53.2271155, -4.1269999 53.2270896, -4.1268326 53.2270947, -4.1267612 53.2271099, -4.1265455 53.2271876, -4.1259561 53.2274623, -4.1258345 53.2275146, -4.1257451 53.2275754, -4.1257279 53.2276101, -4.1257292 53.2276669, -4.125813 53.2278066, -4.1258807 53.2278831, -4.125902 53.2279026, -4.1260336 53.2280234, -4.1260554 53.2280434, -4.1261353 53.2281167, -4.1261653 53.2281442, -4.1262248 53.228229, -4.1262494 53.2282596, -4.1263184 53.2283696, -4.1264157 53.2285249, -4.126448 53.2285764, -4.1265488 53.2286342, -4.1265785 53.2286513, -4.1267772 53.228732)",,,,
47483681,False,Ffordd Deiniol,primary,True,127.637,"LINESTRING (-4.1282208 53.2279765, -4.1279408 53.228123, -4.1276115 53.2282954, -4.1267772 53.228732)",2,A5,20 mph,
47483680,False,Ffordd Deiniol,primary,False,171.26399999999998,"LINESTRING (-4.1282208 53.2279765, -4.1284029 53.227875, -4.1284528 53.2278463, -4.1285865 53.2277543, -4.128839 53.2275577, -4.1290789 53.2273867, -4.1297595 53.2269015, -4.1297958 53.2268756, -4.1298911 53.226807)",2,A5,20 mph,
"[19677034, 134703357]",False,Ffordd Deiniol,primary,False,112.957,"LINESTRING (-4.1322024 53.2249104, -4.1325093 53.224788, -4.1325821 53.2247473, -4.1327897 53.2246187, -4.1334469 53.224225)","['2', '3']",A5,20 mph,
748947055,True,,primary,False,26.197999999999997,"LINESTRING (-4.1322024 53.2249104, -4.1322296 53.2249454, -4.1322342 53.2249889, -4.1322147 53.2250257, -4.1321792 53.2250541, -4.1321258 53.2250757, -4.1320596 53.2250852)",2,,20 mph,roundabout
29435379,False,Stryd Y Deon,unclassified,True,112.541,"LINESTRING (-4.1256451 53.2301539, -4.1254495 53.2301005, -4.1253053 53.2300562, -4.1252178 53.2299952, -4.1251612 53.2299643, -4.1249748 53.2298321, -4.1249382 53.2297987, -4.1248998 53.2297703, -4.1244637 53.2294533)",,,,
"[525961731, 1151285379]",False,Garth Road,primary,False,138.229,"LINESTRING (-4.1256451 53.2301539, -4.1260354 53.2295529, -4.1262227 53.229265, -4.1264365 53.2290055)",2,A5,20 mph,
"[525961731, 19677036]",False,Garth Road,primary,True,208.36199999999997,"LINESTRING (-4.1256451 53.2301539, -4.125566 53.2302655, -4.1254318 53.2304587, -4.1253968 53.2305192, -4.125298 53.2306538, -4.1252771 53.2306838, -4.1250849 53.2310405, -4.1249672 53.2312502, -4.1248157 53.23152, -4.1246816 53.2317161, -4.1244827 53.2318858)",2,A5,20 mph,
"[1256620013, 23264606]",False,Lôn Cariadon,unclassified,True,312.585,"LINESTRING (-4.1264365 53.2290055, -4.1264941 53.2290781, -4.1265142 53.2291313, -4.126579 53.2296047, -4.126655 53.2301746, -4.126665 53.2303427, -4.1266646 53.2304283, -4.1266248 53.230529, -4.1265217 53.2307133, -4.1263235 53.2310887, -4.1262178 53.2312883, -4.1260433 53.2316479, -4.1260161 53.2317469)",2,,,
42891529,False,Ffordd Y Ffynnon,residential,False,104.41299999999998,"LINESTRING (-4.1264365 53.2290055, -4.1262694 53.2289145, -4.1261275 53.228915, -4.1259279 53.2289236, -4.1257363 53.2289609, -4.125582 53.2289191, -4.125498 53.228908, -4.1254181 53.2288784, -4.1253515 53.2288465, -4.125286 53.228812, -4.1252502 53.2287791, -4.1252458 53.2287429, -4.1253203 53.2286642)",,,,
"[97947290, 28132174]",False,Ffordd Deiniol,primary,False,38.558,"LINESTRING (-4.1264365 53.2290055, -4.1265318 53.2288782, -4.1267772 53.228732)",2,A5,20 mph,
"[525961731, 1151285379]",False,Garth Road,primary,True,138.22899999999998,"LINESTRING (-4.1264365 53.2290055, -4.1262227 53.229265, -4.1260354 53.2295529, -4.1256451 53.2301539)",2,A5,20 mph,
