osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,width,tunnel
738887884,2,A917,Anstruther Road,primary,30 mph,False,True,49.427,"LINESTRING (-2.6318817 56.256713, -2.6320036 56.2566546, -2.6321003 56.2566159, -2.6325561 56.2564768)",,,
"[763241257, 33719135]",2,A917,Anstruther Road,primary,30 mph,False,False,146.293,"LINESTRING (-2.6318817 56.256713, -2.6316598 56.2568294, -2.631401 56.2570005, -2.6311207 56.2571922, -2.6306589 56.2574903, -2.6302941 56.257687)",,,
360184228,2,A917,Westgate,primary,30 mph,False,True,9.419,"LINESTRING (-2.6284145 56.2588321, -2.628496 56.2587605)",,,
131302570,1,,Shoregate,residential,20 mph,False,True,81.55399999999999,"LINESTRING (-2.6284145 56.2588321, -2.627949 56.2586372, -2.6278237 56.2585822, -2.6277463 56.2585482, -2.627471 56.2584274, -2.6273704 56.2583832)",,,
360184234,2,A917,High Street,primary,30 mph,False,False,76.536,"LINESTRING (-2.6284145 56.2588321, -2.6283748 56.2588713, -2.6281498 56.2590908, -2.6278079 56.2594323)",,,
"[77207792, 33719133, 515018390, 738887887]",2,A917,St Andrews Road,primary,"['60 mph', '30 mph']",False,True,321.52500000000003,"LINESTRING (-2.6341487 56.2647056, -2.6335703 56.2640963, -2.6328525 56.2633402, -2.6326122 56.2631666, -2.6324657 56.2630656, -2.6317364 56.2625893, -2.6314063 56.2623672, -2.6312887 56.2623111)",,,
360184231,,,Marketgate,tertiary,20 mph,False,True,20.741,"LINESTRING (-2.6266618 56.2606938, -2.6265213 56.2607391, -2.6263714 56.2607875)",,,
360184234,2,A917,High Street,primary,30 mph,False,True,65.221,"LINESTRING (-2.6266618 56.2606938, -2.6266498 56.260675, -2.6266492 56.2606521, -2.6267315 56.2605415, -2.6267736 56.2604849, -2.6268424 56.2604043, -2.6269169 56.2603259, -2.6269721 56.2602723, -2.6270823 56.2601654)",,,
738887886,2,A917,St Andrews Road,primary,30 mph,False,False,101.27499999999999,"LINESTRING (-2.6266618 56.2606938, -2.6266922 56.2607211, -2.6267677 56.2607511, -2.6273506 56.2609354, -2.6276207 56.2610208, -2.6280619 56.2611603)",,,
738887885,2,A917,St Andrews Road,primary,30 mph,False,True,9.524,"LINESTRING (-2.6281962 56.2612024, -2.6280619 56.2611603)",,,
675483017,,,Bowling Green Place,residential,20 mph,True,False,108.03699999999999,"LINESTRING (-2.6281962 56.2612024, -2.6284997 56.2609395, -2.6285934 56.2608524, -2.6286245 56.2608235, -2.6288256 56.2606365, -2.6291179 56.2603767)",,,
"[33719133, 738887885]",2,A917,St Andrews Road,primary,30 mph,False,False,169.245,"LINESTRING (-2.6281962 56.2612024, -2.6292752 56.261648, -2.6294283 56.2617112, -2.6295623 56.2617615, -2.6300492 56.2619371, -2.6301835 56.2619794, -2.6304517 56.262064)",,,
33719133,2,A917,St Andrews Road,primary,30 mph,False,False,58.549,"LINESTRING (-2.6304517 56.262064, -2.6307637 56.2621507, -2.6312887 56.2623111)",,,
"[738887885, 33719133]",2,A917,St Andrews Road,primary,30 mph,False,True,169.245,"LINESTRING (-2.6304517 56.262064, -2.6301835 56.2619794, -2.6300492 56.2619371, -2.6295623 56.2617615, -2.6294283 56.2617112, -2.6292752 56.261648, -2.6281962 56.2612024)",,,
"[306286353, 306286355, 77208521]",,,Bow Butts,residential,20 mph,False,True,72.854,"LINESTRING (-2.6304517 56.262064, -2.6302564 56.2622841, -2.6302281 56.2623181, -2.6300497 56.2625057, -2.6298684 56.2626303)",yes,,
77207519,,,Lamont Terrace,residential,20 mph,False,True,150.89600000000002,"LINESTRING (-2.6319382 56.258533, -2.6319176 56.2584903, -2.6318413 56.25846, -2.6317598 56.2584394, -2.630985 56.2582627, -2.6305342 56.2581871, -2.6305031 56.2581805, -2.630177 56.2581114, -2.629952 56.2580418, -2.6298362 56.2579815, -2.6297889 56.2579505)",,3.5,
77207554,,,Felkington Avenue,residential,20 mph,False,False,78.742,"LINESTRING (-2.6319382 56.258533, -2.6320442 56.2585013, -2.6325828 56.2583368, -2.633087 56.2582296)",,,
77207906,,,Kirkmay Road,residential,20 mph,False,True,64.884,"LINESTRING (-2.6319382 56.258533, -2.6319042 56.2585838, -2.6316927 56.258756, -2.631526 56.258865, -2.6314251 56.2589739, -2.6313885 56.2590254)",,,
219114295,,,Balcomie Road,tertiary,20 mph,False,True,87.443,"LINESTRING (-2.6229823 56.2630804, -2.6228217 56.263257, -2.6223438 56.2637823)",,,
360184231,,,Marketgate,tertiary,20 mph,False,False,114.04700000000001,"LINESTRING (-2.6229823 56.2630804, -2.6230553 56.2630298, -2.6236858 56.2627066, -2.6238567 56.262613, -2.6242322 56.2623307)",,,
