osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,width,access
34049748,2,A482,North Road,primary,20 mph,False,False,16.479,"LINESTRING (-4.0767678 52.1152791, -4.0768221 52.1154235)",,,
34049674,2,A482,College Street,primary,20 mph,False,False,294.739,"LINESTRING (-4.0767678 52.1152791, -4.0767673 52.1152124, -4.0767762 52.1151703, -4.0767915 52.1151288, -4.0768283 52.1150499, -4.0768977 52.1149474, -4.0771805 52.114563, -4.0778675 52.113738, -4.0781181 52.1134322, -4.0781959 52.1133536, -4.078321 52.113234, -4.0785291 52.1130243, -4.0785604 52.1129808, -4.078577 52.1129581, -4.078603 52.1128972)",,,
34254875,,,Bryn Road,tertiary,20 mph,False,False,24.652,"LINESTRING (-4.0767678 52.1152791, -4.076911 52.1152896, -4.077022 52.1152953, -4.0771267 52.1152877)",,,
"[172054346, 55127924, 250299493, 172054350]",,,Station Terrace,residential,20 mph,False,"[False, True]",392.68199999999996,"LINESTRING (-4.0767678 52.1152791, -4.0766583 52.1152698, -4.0765916 52.1152697, -4.0765558 52.1152747, -4.0764136 52.1152948, -4.0758888 52.115364, -4.0753942 52.1154276, -4.0753227 52.1154382, -4.0750719 52.1154752, -4.0743768 52.1155497, -4.074256 52.1155606, -4.0740774 52.1155744, -4.0738714 52.1155876, -4.0737406 52.1156005, -4.0736808 52.115616, -4.0736297 52.1156283, -4.0735773 52.1156491, -4.0735157 52.1156832, -4.073451 52.1157324, -4.0734079 52.1157778, -4.0733678 52.1158213, -4.0733339 52.1158837, -4.0733185 52.1159348, -4.0733155 52.1159953, -4.0733492 52.1163442, -4.0733524 52.1164135, -4.0733524 52.1164627, -4.0733432 52.1165213, -4.0733278 52.1165932, -4.0732952 52.1166606, -4.0732415 52.116754, -4.0732015 52.1168146, -4.0731763 52.1168663, -4.0731552 52.1169394, -4.073146 52.1170094, -4.0731475 52.1171096)",yes,,
"[4845160, 104118080]",2,A482,"['Bridge Street', 'Harford Square']",primary,20 mph,False,False,73.136,"LINESTRING (-4.078603 52.1128972, -4.0785044 52.1128666, -4.0783307 52.1128395, -4.0782692 52.1128295, -4.0781066 52.1128014, -4.07803 52.1127832, -4.0779597 52.1127593, -4.0778776 52.1127238, -4.077785 52.112677, -4.0777335 52.1126478, -4.0776636 52.1126075)",,,
34049674,2,A482,College Street,primary,20 mph,False,True,294.739,"LINESTRING (-4.078603 52.1128972, -4.078577 52.1129581, -4.0785604 52.1129808, -4.0785291 52.1130243, -4.078321 52.113234, -4.0781959 52.1133536, -4.0781181 52.1134322, -4.0778675 52.113738, -4.0771805 52.114563, -4.0768977 52.1149474, -4.0768283 52.1150499, -4.0767915 52.1151288, -4.0767762 52.1151703, -4.0767673 52.1152124, -4.0767678 52.1152791)",,,
750588724,2,A475,High Street,primary,20 mph,False,True,64.461,"LINESTRING (-4.078603 52.1128972, -4.0786666 52.1128986, -4.0788205 52.1129003, -4.078977 52.1129081, -4.0792448 52.1129192, -4.0795448 52.1129342)",,,
33476406,,,Drovers Road,residential,20 mph,True,False,98.514,"LINESTRING (-4.0776636 52.1126075, -4.0782706 52.1123004, -4.0787982 52.1120608)",,,
104118080,2,A482,Bridge Street,primary,20 mph,False,False,271.899,"LINESTRING (-4.0776636 52.1126075, -4.0774403 52.1124581, -4.0773032 52.112337, -4.0771386 52.1121625, -4.0768689 52.1118234, -4.0764987 52.1113612, -4.0763874 52.1112146, -4.076052 52.1107891, -4.0758703 52.1106014, -4.0757371 52.1104781)",,,
"[104118080, 4845160]",2,A482,"['Bridge Street', 'Harford Square']",primary,20 mph,False,True,73.13600000000001,"LINESTRING (-4.0776636 52.1126075, -4.0777335 52.1126478, -4.077785 52.112677, -4.0778776 52.1127238, -4.0779597 52.1127593, -4.07803 52.1127832, -4.0781066 52.1128014, -4.0782692 52.1128295, -4.0783307 52.1128395, -4.0785044 52.1128666, -4.078603 52.1128972)",,,
