osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,junction,bridge,name,tunnel
19100592,True,2,A472,primary,20 mph,False,62.556999999999995,"LINESTRING (-3.2312138 51.6385224, -3.2312788 51.6384366, -3.2313521 51.6383695, -3.2314147 51.6383222, -3.2316461 51.6381878, -3.2317062 51.6381459, -3.2317771 51.638088)",,,,
136756091,False,4,A472,primary,30 mph,False,57.79600000000001,"LINESTRING (-3.2312138 51.6385224, -3.2311669 51.6385715, -3.2311238 51.6386202, -3.231062 51.6386906, -3.2309969 51.6387721, -3.2309085 51.6388887, -3.2308373 51.6389863)",,,,
19100588,True,2,,primary,20 mph,False,6.859,"LINESTRING (-3.2317771 51.638088, -3.2318151 51.638031)",roundabout,,,
19100588,True,2,,primary,20 mph,False,5.74,"LINESTRING (-3.2323296 51.6379359, -3.2323687 51.6379501, -3.2323996 51.6379637)",roundabout,,,
19100588,True,2,,primary,20 mph,False,28.459,"LINESTRING (-3.2323996 51.6379637, -3.2324729 51.6380135, -3.2325193 51.6380694, -3.2325409 51.6381308, -3.2325363 51.6381935)",roundabout,,,
210616257,True,,A472,primary,20 mph,False,41.765,"LINESTRING (-3.2323996 51.6379637, -3.2325088 51.6379927, -3.2326075 51.6380162, -3.2326206 51.6380188, -3.2327039 51.6380356, -3.2329702 51.638088)",,,,
"[1155891492, 67092750, 67869551]",False,2,A472,primary,20 mph,False,132.001,"LINESTRING (-3.2329702 51.638088, -3.2331423 51.6380927, -3.2333126 51.6380941, -3.2334812 51.6380945, -3.2336232 51.6380917, -3.2338258 51.6380824, -3.2342955 51.6380577, -3.2347971 51.6380195, -3.2348766 51.6380168)",,yes,,
210616233,True,,A472,primary,20 mph,False,32.321999999999996,"LINESTRING (-3.2329702 51.638088, -3.232754 51.638125, -3.232636 51.6381617, -3.2325363 51.6381935)",,,,
45070429,True,1,A472,primary,20 mph,False,2.645,"LINESTRING (-3.2352868 51.6380164, -3.2353196 51.6380041)",roundabout,,,
45070429,True,1,A472,primary,20 mph,False,23.479,"LINESTRING (-3.2357523 51.6383354, -3.2356665 51.6383815, -3.2355616 51.6384081, -3.2354484 51.6384125)",roundabout,,,
210616262,True,,,primary,20 mph,False,38.656,"LINESTRING (-3.2357523 51.6383354, -3.2357511 51.638454, -3.2357532 51.638502, -3.2357681 51.6385625, -3.2358314 51.6386757)",,,,
"[42957330, 67869541, 67869546]",False,,,residential,,False,216.9,"LINESTRING (-3.2411739 51.6420935, -3.2411309 51.6422463, -3.2409757 51.6427984, -3.2406699 51.643986, -3.2406617 51.644018)",,yes,Station Road,
250006744,False,2,A472,primary,20 mph,False,284.394,"LINESTRING (-3.2411739 51.6420935, -3.2415499 51.6423677, -3.242038 51.6427005, -3.2424172 51.6429539, -3.2426723 51.6430759, -3.2428655 51.6431225, -3.2433912 51.6432207, -3.2434623 51.6432274, -3.2436487 51.6432449, -3.2439746 51.6432557, -3.244385 51.643214, -3.2445566 51.643185)",,,,
