osmid,lanes,highway,oneway,reversed,length,name,geometry,junction,ref,bridge
150769811,2,tertiary,False,True,130.503,,"LINESTRING (103.4416783 4.5040809, 103.4419498 4.5052229)",,,
150637449,2,unclassified,True,False,487.55,Persiaran Guntong,"LINESTRING (103.4423677 4.5039528, 103.4424108 4.5041844, 103.442589 4.5047357, 103.4426777 4.50525, 103.4427467 4.5057507, 103.4427676 4.5058182, 103.4430372 4.5061722, 103.4442892 4.50777)",,,
150637460,,tertiary,False,True,5.556,Jalan Ilmu,"LINESTRING (103.4419948 4.5052009, 103.4419498 4.5052229)",,,
150769721,,tertiary,True,False,27.13,,"LINESTRING (103.4419948 4.5052009, 103.4420356 4.5052067, 103.4420971 4.5052126, 103.4421554 4.5052399, 103.4422047 4.5052993)",,,
150637442,,tertiary,False,False,148.43,,"LINESTRING (103.4394039 4.5075399, 103.4384526 4.5066005)",,,
150637460,,tertiary,False,True,18.504,Jalan Ilmu,"LINESTRING (103.4394039 4.5075399, 103.4392862 4.5076579)",,,
150637460,,tertiary,False,False,266.524,Jalan Ilmu,"LINESTRING (103.4394039 4.5075399, 103.4395832 4.5073847, 103.4397999 4.5071728, 103.4406218 4.506369, 103.4407701 4.506207, 103.4409224 4.5060405, 103.4411083 4.5058509)",,,
150637460,,tertiary,False,False,3.298,Jalan Ilmu,"LINESTRING (103.4392646 4.5076783, 103.4392862 4.5076579)",,,
150769760,,residential,False,False,108.995,,"LINESTRING (103.4392646 4.5076783, 103.4385468 4.5083482)",,,
150637460,,tertiary,False,True,130.706,Jalan Ilmu,"LINESTRING (103.4392646 4.5076783, 103.4391895 4.5077944, 103.4390527 4.5080372, 103.4390438 4.50806, 103.4389695 4.5082515, 103.4388823 4.5085386, 103.4388492 4.5087653)",,,
150637432,,unclassified,True,False,11.676,,"LINESTRING (103.4443758 4.5077165, 103.4443255 4.5077319, 103.4442892 4.50777)",roundabout,,
808023060,2,unclassified,True,False,235.786,Persiaran Guntong,"LINESTRING (103.4443758 4.5077165, 103.4431454 4.5061125, 103.4430837 4.5060321)",,,
150637432,,unclassified,True,False,4.148,,"LINESTRING (103.4442892 4.50777, 103.4442774 4.5078054)",roundabout,,
150637432,,unclassified,True,False,13.604,,"LINESTRING (103.4443287 4.5079094, 103.4443573 4.5079205, 103.4443879 4.5079227, 103.4444178 4.5079158, 103.4444444 4.5079006)",roundabout,,
150637432,,unclassified,True,False,9.443000000000001,,"LINESTRING (103.4444444 4.5079006, 103.4444716 4.5078679, 103.4444833 4.5078271)",roundabout,,
