osmid,lanes,name,highway,oneway,reversed,length,maxspeed,geometry,ref,bridge,tunnel
6117631,2,Doctor Pilapil Street,residential,False,True,40.097,,"LINESTRING (121.0743294 14.5644727, 121.0747018 14.5644618)",,,
894596178,2,Doctor Pilapil Street,residential,False,False,3.305,,"LINESTRING (121.0743294 14.5644727, 121.0742987 14.5644733)",,,
185988348,2,Doctor Pilapil Street,tertiary,False,False,98.365,40,"LINESTRING (121.0765457 14.564511, 121.0766429 14.5645608, 121.0773835 14.5648637)",,,
818420599,2,Dr. Sixto Antonio Avenue,secondary,True,False,15.302,50,"LINESTRING (121.0765457 14.564511, 121.0765338 14.5645697, 121.0765044 14.5646421)",142,,
6117631,2,Doctor Pilapil Street,residential,False,False,120.08099999999999,,"LINESTRING (121.0758144 14.5645185, 121.0751025 14.5644542, 121.0747018 14.5644618)",,,
10414738,2,Doctor Pilapil Street,tertiary,True,False,78.71,40,"LINESTRING (121.0758144 14.5645185, 121.0764943 14.5645126, 121.0765457 14.564511)",,,
18754951,2,A. Mabini Street,secondary,True,False,141.65699999999998,50,"LINESTRING (121.0758144 14.5645185, 121.0757989 14.56436, 121.0759824 14.5632595)",142,,
6117618,,F. Blumentrit Street,residential,False,True,87.084,,"LINESTRING (121.0742668 14.5629691, 121.0750673 14.5630834)",,,
1066283520,2,Industria Extension,residential,True,False,40.169000000000004,,"LINESTRING (121.0742668 14.5629691, 121.0742768 14.5627108, 121.07429 14.5626948, 121.0743576 14.5626449)",,,
4940330,4,Ramon Jabson Street,secondary,False,True,61.425000000000004,50,"LINESTRING (121.0765218 14.5602461, 121.0766049 14.5606584, 121.0766211 14.5607378, 121.0766205 14.5607892)",142,,
"[818420605, 6117630]","['2', '4']",P. Burgos,secondary,True,False,61.92100000000001,40,"LINESTRING (121.0765218 14.5602461, 121.0763629 14.5602901, 121.0763258 14.5603004, 121.0761584 14.5603468, 121.0761098 14.5603602, 121.0760662 14.5603722, 121.0759686 14.5603991)",,,
755544956,2,,residential,False,False,25.362,,"LINESTRING (121.0759686 14.5603991, 121.0760308 14.5606191)",,,
10414584,2,P. Burgos,secondary,True,False,126.479,40,"LINESTRING (121.0759686 14.5603991, 121.0759053 14.5603324, 121.0756765 14.5600896, 121.0752731 14.559857, 121.0750526 14.5597915, 121.0750128 14.5597789)",,,
818420601,,Doctor Alcalde Jose,residential,False,True,16.136,,"LINESTRING (121.0765268 14.5613956, 121.0766765 14.5613875)",,,
"[10414546, 818420595]",2,A. Mabini Street,secondary,True,False,60.202,50,"LINESTRING (121.0765268 14.5613956, 121.0765352 14.5611805, 121.0765424 14.5610844, 121.0765767 14.5609333, 121.0766161 14.5608686)",142,,
897111898,,Doctor Alcalde Jose,residential,False,False,38.284000000000006,,"LINESTRING (121.0765268 14.5613956, 121.0764822 14.5613993, 121.0764282 14.5614036, 121.0763876 14.5614068, 121.0761723 14.5614241)",,,
10414627,2,Lopez Jaena Street,residential,False,False,48.77,,"LINESTRING (121.0741192 14.56165, 121.0740761 14.5616003, 121.0740345 14.5615126, 121.0740047 14.5613429, 121.0740091 14.5612379)",,,
926423962,2,Industria Extension,residential,False,True,113.574,,"LINESTRING (121.0741192 14.56165, 121.0741502 14.5617605, 121.0743576 14.5626449)",,,
1066283521,,F. Blumentrit Street,residential,False,False,100.413,,"LINESTRING (121.0759824 14.5632595, 121.0750673 14.5630834)",,,
18754951,2,A. Mabini Street,secondary,True,False,217.119,50,"LINESTRING (121.0759824 14.5632595, 121.0760442 14.5627621, 121.0760745 14.5625524, 121.076241 14.5620574, 121.0764553 14.5616146, 121.0764921 14.56153, 121.0765268 14.5613956)",142,,
936386834,2,Ramon Jabson Street,secondary,False,True,15.545,50,"LINESTRING (121.0758194 14.5572546, 121.0757957 14.5571167)",142,,
588373255,2,Ramon Jabson Street,secondary,True,False,76.058,50,"LINESTRING (121.0758194 14.5572546, 121.0758307 14.5573013, 121.0758391 14.557336, 121.0759448 14.5577729, 121.0759584 14.5578292, 121.0759805 14.5579206)",142,,
91905500,2,Ramon Jabson Street,secondary,False,False,8.251,50,"LINESTRING (121.0757852 14.5570432, 121.0757957 14.5571167)",142,,
1042877427,,Kalayaan Street,residential,False,True,7.441,,"LINESTRING (121.0739822 14.5563685, 121.0739575 14.556306)",,,
10414562,1,E. Santos Avenue,tertiary,True,False,47.29,40,"LINESTRING (121.0739822 14.5563685, 121.0739513 14.5563612, 121.0735553 14.5562678)",,,
238269978,,Kalayaan Street,residential,False,False,116.079,,"LINESTRING (121.0739822 14.5563685, 121.0742298 14.556921, 121.0742277 14.5569434, 121.0742061 14.5569553, 121.0738215 14.5570878)",,,
91905507,2,Lopez Jaena Street,tertiary,False,False,48.08,40,"LINESTRING (121.0732234 14.5589886, 121.0732018 14.5589554, 121.0731204 14.558836, 121.0730337 14.5586722, 121.0730026 14.5586134)",,,
1112806259,2,Dr. Garcia Street,secondary,True,False,12.937,40,"LINESTRING (121.0732234 14.5589886, 121.0732752 14.5589453, 121.0733136 14.5589117)",,,
"[1112806260, 818420615]",2,Lopez Jaena Street,secondary,True,False,55.893,40,"LINESTRING (121.0735737 14.5595247, 121.0734147 14.5592774, 121.0732969 14.5590994)",,,
755544956,2,,residential,False,True,29.017,,"LINESTRING (121.0761098 14.5608686, 121.0760308 14.5606191)",,,
"[770247666, 118123590]",2,Commercio Street,residential,False,False,133.673,,"LINESTRING (121.0743576 14.5626449, 121.0747955 14.5626046, 121.0750203 14.5625842, 121.0750735 14.5625775, 121.0750673 14.5630834)",,,
