osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,junction,access
183362255,A514,Osmaston Road,primary,False,False,20.153,"LINESTRING (-1.4656336 52.9098803, -1.4657451 52.9100486)",,,,
254664885,A514,Osmaston Road,primary,False,False,3.484,"LINESTRING (-1.4666001 52.9108356, -1.4666352 52.9108587)",,,,
183362255,A514,Osmaston Road,primary,False,True,25.103,"LINESTRING (-1.4666001 52.9108356, -1.4664798 52.9107681, -1.4663297 52.9106795)",,,,
"[28105353, 1060159161, 514464517]",A5250,Burton Road,primary,True,False,38.401999999999994,"LINESTRING (-1.478961 52.9172177, -1.4788264 52.9173305, -1.4787716 52.9173633, -1.4787228 52.917402, -1.4786881 52.9174282, -1.4786642 52.9174695, -1.4786589 52.9175033)",3,30 mph,,
33103947,A5194,London Road,primary,False,False,63.37,"LINESTRING (-1.4669883 52.9148955, -1.4663544 52.9144728)",2,30 mph,,
35343522,,Regent Street,unclassified,False,True,43.939,"LINESTRING (-1.4669883 52.9148955, -1.4670562 52.9148549, -1.4674053 52.9146748, -1.4673583 52.9146214)",,30 mph,,
54937987,A5194,London Road,primary,False,True,41.545,"LINESTRING (-1.4669883 52.9148955, -1.4671997 52.9150391, -1.4673976 52.915176)",2,30 mph,,
154535274,B6000,Midland Road,secondary,False,False,112.223,"LINESTRING (-1.4669883 52.9148955, -1.4668532 52.9149636, -1.4666779 52.9150256, -1.4663275 52.9151418, -1.4655417 52.9153995)",2,30 mph,,
"[154535272, 959782690]",A601,Bradshaw Way,primary,True,False,140.495,"LINESTRING (-1.4716844 52.9174879, -1.4718062 52.9174602, -1.4719306 52.9174069, -1.4719697 52.9173816, -1.4722195 52.9172251, -1.4724596 52.917099, -1.4725461 52.9170638, -1.473203 52.9168348, -1.4732747 52.9168109, -1.473392 52.9167749)",3,30 mph,,
183551224,A601,Royal Lancers Island,primary,True,False,24.988999999999997,"LINESTRING (-1.4716844 52.9174879, -1.4717411 52.9174958, -1.4717946 52.9175096, -1.4718708 52.9175455, -1.4718855 52.917553, -1.47192 52.9175813, -1.4719586 52.917625)",2,30 mph,circular,
140117418,A601,Royal Lancers Island,primary,True,False,29.310000000000002,"LINESTRING (-1.4716374 52.917882, -1.4715829 52.9178791, -1.47153 52.9178708, -1.4714801 52.9178572, -1.4714347 52.9178389, -1.4713941 52.9178124, -1.4713619 52.91779, -1.4713366 52.9177608, -1.4713196 52.9177294)",2,30 mph,circular,
50579359,A601,Royal Lancers Island,primary,True,False,12.873999999999999,"LINESTRING (-1.4713196 52.9177294, -1.4713111 52.9176912, -1.4713151 52.9176526, -1.4713313 52.9176153)",3,30 mph,circular,
184169663,A601,Royal Lancers Island,primary,True,False,12.233,"LINESTRING (-1.4715055 52.9175032, -1.4715931 52.917488, -1.4716844 52.9174879)",3,30 mph,circular,
5639140,,Canal Street,unclassified,False,False,72.314,"LINESTRING (-1.4671195 52.9165301, -1.466846 52.9168513, -1.4666125 52.917104)",,30 mph,,
5639140,,Canal Street,unclassified,False,True,121.554,"LINESTRING (-1.4671195 52.9165301, -1.46755 52.916022, -1.4678686 52.9156459, -1.4679708 52.9155668)",,30 mph,,
33097773,,Carrington Street,unclassified,True,False,86.588,"LINESTRING (-1.4671195 52.9165301, -1.467648 52.916834, -1.4680514 52.9170692)",,30 mph,,
154535275,,Carrington Street,unclassified,False,False,98.361,"LINESTRING (-1.4671195 52.9165301, -1.4665196 52.9161944, -1.4664562 52.91616, -1.4663747 52.9161078, -1.4662985 52.9160525, -1.4661113 52.9158922)",,30 mph,,
