osmid,oneway,name,highway,reversed,length,geometry,lanes,bridge,maxspeed,width,ref,junction
146241666,True,Market Street,unclassified,False,67.683,"LINESTRING (-2.4528398 50.6084512, -2.4537984 50.6084717)",,,,,,
146179222,True,East Street,unclassified,False,99.882,"LINESTRING (-2.4528398 50.6084512, -2.4528451 50.6088106, -2.4528581 50.6090135, -2.4528591 50.609028, -2.452784 50.6091233, -2.4524798 50.6091884, -2.4524634 50.6091919)",,,,,,
146171957,False,The Esplanade,tertiary,True,80.537,"LINESTRING (-2.4524634 50.6091919, -2.4526369 50.6093588, -2.4528179 50.6098704)",2,,,,,
146179225,True,The Esplanade,tertiary,False,130.56,"LINESTRING (-2.4524634 50.6091919, -2.451985 50.6089431, -2.4517673 50.6088349, -2.4515145 50.6087385, -2.4512927 50.6086603, -2.4509046 50.6085836)",,,,,,
146229423,False,St Thomas Street,unclassified,False,19.006,"LINESTRING (-2.4552813 50.6078436, -2.4553342 50.6078182, -2.4553624 50.6077878, -2.4553945 50.6076965)",2,,,,,
146229427,False,St Edmund Street,unclassified,False,52.813,"LINESTRING (-2.4552813 50.6078436, -2.4552388 50.6078529, -2.4551953 50.6078475, -2.4545574 50.6077422)",2,,,,,
"[146229423, 146229425, 1189369266, 33046343]",False,"['St Thomas Street', 'North Quay', 'Town Bridge']",unclassified,True,81.422,"LINESTRING (-2.455555 50.606975, -2.4555283 50.6070058, -2.4555083 50.6070391, -2.4555029 50.6070646, -2.4554386 50.6074054, -2.4554178 50.6075201, -2.4554143 50.6075391, -2.4553945 50.6076965)",2,movable,,,,
146069592,False,North Quay,unclassified,False,174.957,"LINESTRING (-2.455555 50.606975, -2.455595 50.6069551, -2.4556485 50.6069403, -2.4558009 50.6069278, -2.4559445 50.6069192, -2.4562372 50.6069213, -2.4565442 50.6069283, -2.4570066 50.606932, -2.4575368 50.6069418, -2.4580155 50.606958)",2,,,,,
146338431,False,Trinity Road,unclassified,False,162.507,"LINESTRING (-2.455555 50.606975, -2.4554672 50.6069585, -2.4553302 50.6069436, -2.4550946 50.6069115, -2.4539683 50.6066994, -2.4533588 50.6065447)",,,10 mph,5.75,,
146069597,False,James Street,residential,True,80.254,"LINESTRING (-2.4601344 50.6057727, -2.4590343 50.6059556)",,,,,,
349921960,False,Rodwell Road,trunk,False,63.447,"LINESTRING (-2.4601344 50.6057727, -2.4600405 50.6054073, -2.4600215 50.6053079, -2.4600025 50.6052084)",2,,30 mph,,A354,
349921960,False,Rodwell Road,trunk,True,42.856,"LINESTRING (-2.4601344 50.6057727, -2.4601434 50.6058021, -2.4602191 50.6061543)",2,,30 mph,,A354,
146069597,False,James Street,residential,False,80.254,"LINESTRING (-2.4590343 50.6059556, -2.4601344 50.6057727)",,,,,,
94821464,False,Prospect Place,residential,True,2.056,"LINESTRING (-2.4557638 50.6058972, -2.4557396 50.6058869)",,,,,,
146069608,False,Trinity Terrace,residential,False,119.30599999999998,"LINESTRING (-2.4557638 50.6058972, -2.4559396 50.6063877, -2.4559334 50.6064552, -2.4556276 50.6064892, -2.4551502 50.6065266)",,,,,,
146069613,False,Franchise Street,residential,False,11.294,"LINESTRING (-2.4557638 50.6058972, -2.4558435 50.6059109, -2.4559209 50.6059088)",,,,,,
146069613,False,Franchise Street,residential,False,16.829,"LINESTRING (-2.4563868 50.6058399, -2.4566159 50.6057979)",,,,,,
146069613,False,Franchise Street,residential,True,33.759,"LINESTRING (-2.4563868 50.6058399, -2.4559209 50.6059088)",,,,,,
