osmid,oneway,ref,name,highway,maxspeed,reversed,length,bridge,lanes,geometry
"[159243046, 159240686, 1053943346, 1053943347, 606514876]",True,N9,Kanan Road,primary,"['35 mph', '40 mph']",False,150.666,yes,"['4', '3', '2']","LINESTRING (-118.7612777 34.145398, -118.7612057 34.1457688, -118.761094 34.1463003, -118.7610623 34.1464305, -118.761041 34.1465179, -118.7609892 34.1467316)"
607788488,True,,Kanan Road,secondary,40 mph,False,27.021,,3,"LINESTRING (-118.7609892 34.1467316, -118.7609402 34.1469712)"
70651894,True,,,motorway_link,,False,283.84900000000005,,1,"LINESTRING (-118.7609892 34.1467316, -118.7608259 34.1467995, -118.7606575 34.146795, -118.7605105 34.1467772, -118.7603873 34.1467318, -118.7602768 34.146636, -118.7602409 34.1465247, -118.7602584 34.1464126, -118.7603358 34.1462978, -118.7604376 34.1462399, -118.760551 34.1462112, -118.7608411 34.1462188, -118.7616707 34.1463035, -118.7621566 34.1462778)"
13348596,False,,Strawberry Hill Drive,residential,,True,107.24900000000001,,,"LINESTRING (-118.7704908 34.1487104, -118.7704926 34.1481279, -118.770506 34.1480357, -118.7706086 34.1477593)"
301799454,False,,Roadside Drive,tertiary,,False,9.488,,,"LINESTRING (-118.7670047 34.1444156, -118.7670332 34.1443336)"
"[301799454, 70651895]",False,,Roadside Drive,"['tertiary', 'residential']",,True,446.44200000000006,,,"LINESTRING (-118.7670047 34.1444156, -118.7669701 34.1445107, -118.7668317 34.144892, -118.766708 34.1451841, -118.7662211 34.1462636, -118.7661982 34.1463246, -118.7659913 34.1463036, -118.7656167 34.1462527, -118.7652286 34.1462048, -118.7649622 34.1461726, -118.7647117 34.1461264, -118.7645179 34.1460887, -118.7642997 34.1460424, -118.7639536 34.1459718, -118.7638443 34.1459316)"
694439143,False,,Agoura Road,secondary,35 mph,True,11.942,,,"LINESTRING (-118.7616844 34.1435066, -118.7618138 34.1434986)"
"[1155694081, 694439142]",True,N9,Kanan Road,primary,35 mph,False,185.517,,,"LINESTRING (-118.7616844 34.1435066, -118.7616364 34.1436697, -118.7615551 34.1440239, -118.7615151 34.1442521, -118.7614858 34.144418, -118.7614753 34.1444696, -118.7614402 34.1446293, -118.7614177 34.1447339, -118.7613526 34.1450331, -118.7613257 34.1451478)"
26509839,False,,Canwood Street,primary,,False,11.597,,,"LINESTRING (-118.7609402 34.1469712, -118.7610659 34.1469786)"
186220953,False,,Roadside Drive,primary,,True,12.626,,,"LINESTRING (-118.7613257 34.1451478, -118.7614627 34.1451539)"
606514876,True,N9,Kanan Road,primary,35 mph,False,28.17,,,"LINESTRING (-118.7613257 34.1451478, -118.7612777 34.145398)"
"[301799454, 70651895]",False,,Roadside Drive,"['residential', 'tertiary']",,False,446.442,,,"LINESTRING (-118.7638443 34.1459316, -118.7639536 34.1459718, -118.7642997 34.1460424, -118.7645179 34.1460887, -118.7647117 34.1461264, -118.7649622 34.1461726, -118.7652286 34.1462048, -118.7656167 34.1462527, -118.7659913 34.1463036, -118.7661982 34.1463246, -118.7662211 34.1462636, -118.766708 34.1451841, -118.7668317 34.144892, -118.7669701 34.1445107, -118.7670047 34.1444156)"
