osmid,name,highway,oneway,reversed,length,maxspeed,geometry,ref,lanes
16724740,North Street,residential,False,False,43.137,,"LINESTRING (-79.8152518 35.7057595, -79.815229 35.706147)",,
16726690,Sunset Avenue,secondary,False,False,98.932,35 mph,"LINESTRING (-79.8152518 35.7057595, -79.814161 35.7056757)",,
16726690,Sunset Avenue,secondary,False,True,154.308,35 mph,"LINESTRING (-79.8152518 35.7057595, -79.8155142 35.705785, -79.8156516 35.7058027, -79.8156993 35.7058093, -79.8165188 35.705823, -79.816956 35.7058365)",,
16724740,North Street,residential,False,True,43.137,,"LINESTRING (-79.815229 35.706147, -79.8152518 35.7057595)",,
16724740,North Street,residential,False,False,201.517,,"LINESTRING (-79.815229 35.706147, -79.8151427 35.7073041, -79.8151305 35.7074676, -79.815097 35.7079561)",,
16731674,Trade Street,residential,False,False,102.76,,"LINESTRING (-79.815229 35.706147, -79.8146896 35.7061089, -79.8145817 35.7061013, -79.8140952 35.706067)",,
16724740,North Street,residential,False,True,201.517,,"LINESTRING (-79.815097 35.7079561, -79.8151305 35.7074676, -79.8151427 35.7073041, -79.815229 35.706147)",,
492478878,West Salisbury Street,primary,False,False,121.92599999999999,20 mph,"LINESTRING (-79.815097 35.7079561, -79.8147934 35.7079168, -79.8147759 35.7079145, -79.8137635 35.7077833)",NC 42,
492478878,West Salisbury Street,primary,False,True,154.831,20 mph,"LINESTRING (-79.815097 35.7079561, -79.8156053 35.7080206, -79.816153 35.7080901, -79.8161991 35.7080951, -79.8163668 35.7081132, -79.8164614 35.7081276, -79.816791 35.7081718)",NC 42,
16737123,Davis Street,residential,False,True,141.78300000000002,,"LINESTRING (-79.818868 35.707163, -79.8188692 35.706786, -79.8188694 35.7067285, -79.8188698 35.7065863, -79.8188506 35.7058881)",,
492482879,Hoover Street,residential,False,False,180.22000000000003,,"LINESTRING (-79.818868 35.707163, -79.8184786 35.707149, -79.8182803 35.7071418, -79.8179731 35.7071307, -79.8177032 35.707121, -79.8175945 35.707117, -79.816874 35.707091)",,
16732547,North Church Street,tertiary,False,False,120.432,20 mph,"LINESTRING (-79.816874 35.707091, -79.8168693 35.7072247, -79.8168701 35.7072396, -79.81687 35.7072415, -79.816854 35.7074302, -79.816791 35.7081718)",,
16732547,North Church Street,tertiary,False,True,139.69,20 mph,"LINESTRING (-79.816874 35.707091, -79.8168954 35.7067639, -79.816956 35.7058365)",,
492482879,Hoover Street,residential,False,True,180.21999999999997,,"LINESTRING (-79.816874 35.707091, -79.8175945 35.707117, -79.8177032 35.707121, -79.8179731 35.7071307, -79.8182803 35.7071418, -79.8184786 35.707149, -79.818868 35.707163)",,
16726690,Sunset Avenue,secondary,False,True,98.932,35 mph,"LINESTRING (-79.814161 35.7056757, -79.8152518 35.7057595)",,
"[879809610, 879809611, 879809612]",South Fayetteville Street,primary,False,True,71.895,20 mph,"LINESTRING (-79.814161 35.7056757, -79.8141929 35.7054015, -79.8142162 35.7052009, -79.8142359 35.705032)",US 220 BUS,"['4', '5']"
"[879809613, 879809614]",South Fayetteville Street,primary,False,False,43.914,20 mph,"LINESTRING (-79.814161 35.7056757, -79.814111 35.7059728, -79.8140952 35.706067)",US 220 BUS,4
