osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,access,width,tunnel
657654911,A502,Heath Street,primary,20 mph,False,False,11.069,"LINESTRING (-0.1784571 51.5595316, -0.1784299 51.5594335)",,,,
"[23281567, 4276799]",,"['Hampstead Square', 'Elm Row']",residential,20 mph,True,False,198.747,"LINESTRING (-0.1784571 51.5595316, -0.1776953 51.5596288, -0.1774444 51.5596606, -0.1774111 51.5596553, -0.1773709 51.5596312, -0.1773805 51.5595864, -0.1774467 51.5595241, -0.1774759 51.5594966, -0.1775172 51.5594238, -0.1775194 51.5593925, -0.1775243 51.5593245, -0.1775039 51.5592464, -0.1774977 51.5591661, -0.1775065 51.559146, -0.1775323 51.5591234, -0.1776083 51.5591096, -0.1777783 51.5590968, -0.1784124 51.5590657)",,,,
657654911,A502,Heath Street,primary,20 mph,False,True,87.52799999999999,"LINESTRING (-0.1784571 51.5595316, -0.1786037 51.5598521, -0.178862 51.5602767)",,,,
657654911,A502,Heath Street,primary,20 mph,False,False,5.317,"LINESTRING (-0.1785815 51.5587254, -0.1785927 51.5587091, -0.1786116 51.5586814)",,,,
657654911,A502,Heath Street,primary,20 mph,False,True,39.681,"LINESTRING (-0.1785815 51.5587254, -0.178545 51.5587983, -0.1784793 51.5589022, -0.1784477 51.5589696, -0.1784226 51.5590285, -0.1784124 51.5590657)",,,,
754767528,,New End,residential,20 mph,True,False,164.24,"LINESTRING (-0.1785815 51.5587254, -0.1784868 51.558733, -0.177758 51.5587361, -0.1776374 51.5587355, -0.177607 51.5587365, -0.1773125 51.5587279, -0.1769991 51.5587203, -0.1766556 51.5586923, -0.1764055 51.5586632, -0.1762222 51.5586297)",,,,
8370285,,The Mount,residential,20 mph,False,False,77.14,"LINESTRING (-0.1785221 51.5578291, -0.1785768 51.5578381, -0.1786277 51.5578588, -0.1786942 51.5579294, -0.1787367 51.5579814, -0.1787813 51.5580792, -0.1787991 51.5581428, -0.1788172 51.5582189, -0.1788279 51.5583379, -0.178811 51.5584557)",,,,
200082625,A502,Heath Street,primary,20 mph,False,False,68.88900000000001,"LINESTRING (-0.1785221 51.5578291, -0.1784994 51.5577941, -0.1784626 51.5577288, -0.178455 51.5577213, -0.1784179 51.5576665, -0.1783299 51.5575211, -0.1782978 51.5574444, -0.1782704 51.5573328, -0.1782665 51.5572951, -0.1782664 51.5572361)",,,,
657654911,A502,Heath Street,primary,20 mph,False,True,96.04899999999999,"LINESTRING (-0.1785221 51.5578291, -0.1785982 51.5579868, -0.1786171 51.5580331, -0.1786383 51.5581156, -0.1786564 51.5582634, -0.1786582 51.5583662, -0.1786506 51.5584663, -0.1786339 51.5585897, -0.1786116 51.5586814)",,,,
5043295,A502,Hampstead High Street,primary,20 mph,False,True,12.467,"LINESTRING (-0.1761867 51.5556328, -0.1760114 51.5556065)",2,,,
4255581,,Gayton Road,residential,20 mph,False,False,165.542,"LINESTRING (-0.1761867 51.5556328, -0.1758607 51.5561009, -0.1751312 51.5569681)",,,,
5043295,A502,Hampstead High Street,primary,20 mph,False,False,49.719,"LINESTRING (-0.1761867 51.5556328, -0.1763683 51.555669, -0.1768285 51.5558305)",2,,,
46102058,A502,Rosslyn Hill,primary,20 mph,False,False,55.025999999999996,"LINESTRING (-0.1719546 51.5545074, -0.1722155 51.5546184, -0.1723855 51.5546986, -0.172485 51.5547409, -0.1724996 51.5547471, -0.1726086 51.554789)",2,,,
157000735,,Thurlow Road,residential,20 mph,False,False,84.478,"LINESTRING (-0.1719546 51.5545074, -0.1720429 51.5544484, -0.1721392 51.5543733, -0.1722814 51.5542529, -0.1723353 51.554203, -0.1723795 51.554164, -0.1725462 51.5540445, -0.1726339 51.5539707, -0.1727042 51.5539086)",,,,
29390683,,Holly Bush Vale,residential,20 mph,False,False,69.95100000000001,"LINESTRING (-0.1786719 51.5562895, -0.1787545 51.5563009, -0.1788418 51.5563601, -0.179022 51.5565933, -0.179061 51.5566261, -0.1791251 51.5566799, -0.1792622 51.55673, -0.1792849 51.5567026)",,,,
67602209,B511,Heath Street,secondary,20 mph,False,False,42.287,"LINESTRING (-0.1786719 51.5562895, -0.1786695 51.5562987, -0.1786442 51.5564138, -0.1786344 51.5564481, -0.1786213 51.5564868, -0.1785429 51.5566605)",2,,,
67602209,B511,Heath Street,secondary,20 mph,False,True,43.442,"LINESTRING (-0.1786719 51.5562895, -0.178714 51.5560589, -0.1787132 51.5559003)",2,,,
18769862,,Frognal Lane,tertiary,20 mph,False,True,32.592,"LINESTRING (-0.1840306 51.5541339, -0.1844846 51.554055)",,,,
4350150,,Chesterford Gardens,residential,20 mph,False,True,260.242,"LINESTRING (-0.1840306 51.5541339, -0.1840702 51.5542048, -0.1842319 51.5544945, -0.1843886 51.5547966, -0.1845986 51.5551472, -0.184679 51.5552354, -0.1847775 51.5553235, -0.1850138 51.5554432, -0.1852808 51.5555904, -0.1853841 51.5556765, -0.1854581 51.5557528, -0.185492 51.5558326, -0.1855214 51.5559326, -0.1854895 51.5560213, -0.1854028 51.5561883)",,,,
18769862,,Frognal Lane,tertiary,20 mph,False,False,102.40699999999998,"LINESTRING (-0.1840306 51.5541339, -0.1837842 51.5542123, -0.1834523 51.5543043, -0.1831591 51.5543875, -0.1830726 51.5544089, -0.1826703 51.5544953)",,,,
