osmid,name,highway,oneway,reversed,length,geometry,ref,tunnel,lanes
11565172,Rock Ridge Road,residential,False,False,198.329,"LINESTRING (-74.141458 41.084286, -74.140813 41.084443, -74.140622 41.084472, -74.139661 41.084531, -74.139135 41.084577)",,,
439883730,Franklin Turnpike,primary,False,False,213.461,"LINESTRING (-74.141458 41.084286, -74.141589 41.084626, -74.141854 41.085313, -74.142152 41.086133)",CR 507,,
11565172,Rock Ridge Road,residential,False,True,198.329,"LINESTRING (-74.139135 41.084577, -74.139661 41.084531, -74.140622 41.084472, -74.140813 41.084443, -74.141458 41.084286)",,,
11589124,Oweno Road,residential,False,False,137.219,"LINESTRING (-74.139135 41.084577, -74.139186 41.084926, -74.139215 41.085211, -74.139231 41.085431, -74.139215 41.085494, -74.139181 41.085548, -74.139126 41.085598, -74.139081 41.085624, -74.138961 41.085662, -74.138901 41.085675)",,,
"[11565276, 11579309]","['Gardner Street', 'Wanamaker Avenue']",residential,False,False,456.57500000000005,"LINESTRING (-74.142152 41.086133, -74.143364 41.08589, -74.143578 41.085857, -74.143629 41.086045, -74.144038 41.08716, -74.144634 41.088745)",,,
439883730,Franklin Turnpike,primary,False,False,314.245,"LINESTRING (-74.142152 41.086133, -74.1423113 41.0865721, -74.142494 41.087076, -74.143174 41.088852)",CR 507,,
439883730,Franklin Turnpike,primary,False,True,213.461,"LINESTRING (-74.142152 41.086133, -74.141854 41.085313, -74.141589 41.084626, -74.141458 41.084286)",CR 507,,
11566724,Oweno Place,residential,False,False,164.842,"LINESTRING (-74.138901 41.085675, -74.138791 41.08569, -74.138399 41.085716, -74.138302 41.085703, -74.138218 41.085674, -74.13815 41.085634, -74.138096 41.085583, -74.138056 41.08552, -74.138039 41.085462, -74.138012 41.085311, -74.137983 41.084976, -74.137957 41.084904, -74.137916 41.084843, -74.1378633 41.0847889)",,,
11589123,Oweno Road,residential,False,False,358.06,"LINESTRING (-74.138901 41.085675, -74.138995 41.085989, -74.139179 41.086456, -74.139207 41.086576, -74.139228 41.086835, -74.139277 41.087032, -74.139331 41.087193, -74.1396581 41.0880686, -74.139929 41.088794)",,,
11589124,Oweno Road,residential,False,True,137.219,"LINESTRING (-74.138901 41.085675, -74.138961 41.085662, -74.139081 41.085624, -74.139126 41.085598, -74.139181 41.085548, -74.139215 41.085494, -74.139231 41.085431, -74.139215 41.085211, -74.139186 41.084926, -74.139135 41.084577)",,,
11566724,Oweno Place,residential,False,True,164.842,"LINESTRING (-74.1378633 41.0847889, -74.137916 41.084843, -74.137957 41.084904, -74.137983 41.084976, -74.138012 41.085311, -74.138039 41.085462, -74.138056 41.08552, -74.138096 41.085583, -74.13815 41.085634, -74.138218 41.085674, -74.138302 41.085703, -74.138399 41.085716, -74.138791 41.08569, -74.138901 41.085675)",,,
11579250,Airmount Road,tertiary,False,False,124.573,"LINESTRING (-74.141413 41.08873, -74.139929 41.088794)",,,
11579250,Airmount Road,tertiary,False,True,148.206,"LINESTRING (-74.141413 41.08873, -74.143174 41.088852)",,,
11568248,Maysenger Road,residential,False,False,226.804,"LINESTRING (-74.141413 41.08873, -74.141895 41.090027, -74.142047 41.090422, -74.142173 41.090687)",,,
11568248,Maysenger Road,residential,False,True,412.46399999999994,"LINESTRING (-74.141413 41.08873, -74.1408762 41.0872806, -74.140276 41.08566, -74.1402684 41.0855401, -74.1403851 41.0852735, -74.1404467 41.0851615)",,,
11587910,South Mahwah Road,residential,False,True,141.877,"LINESTRING (-74.142173 41.090687, -74.1436023 41.0900032)",,,
11568248,Maysenger Road,residential,False,True,226.804,"LINESTRING (-74.142173 41.090687, -74.142047 41.090422, -74.141895 41.090027, -74.141413 41.08873)",,,
11587910,South Mahwah Road,residential,False,False,66.461,"LINESTRING (-74.142173 41.090687, -74.141615 41.090956, -74.141563 41.091003, -74.14154 41.091036)",,,
11585490,Breen Place,residential,False,False,119.687,"LINESTRING (-74.148108 41.088429, -74.148741 41.08933, -74.148754 41.089386)",,,
"[11575085, 44627646, 415373663]",West Airmount Road,residential,False,"[False, True]",257.66700000000003,"LINESTRING (-74.148108 41.088429, -74.1480359 41.0884355, -74.147886 41.088449, -74.1457426 41.0886427, -74.1455313 41.0886594, -74.145055 41.0887025)",,yes,1
11575085,West Airmount Road,residential,False,False,123.087,"LINESTRING (-74.144634 41.088745, -74.1444641 41.0887628, -74.144243 41.088785, -74.1436208 41.0888412, -74.1434002 41.088854, -74.143174 41.088852)",,,
11575085,West Airmount Road,residential,False,True,35.599000000000004,"LINESTRING (-74.144634 41.088745, -74.1447748 41.0887319, -74.145055 41.0887025)",,,
"[11565276, 11579309]","['Gardner Street', 'Wanamaker Avenue']",residential,False,True,456.575,"LINESTRING (-74.144634 41.088745, -74.144038 41.08716, -74.143629 41.086045, -74.143578 41.085857, -74.143364 41.08589, -74.142152 41.086133)",,,
11579250,Airmount Road,tertiary,False,False,148.206,"LINESTRING (-74.143174 41.088852, -74.141413 41.08873)",,,
11575085,West Airmount Road,residential,False,True,123.087,"LINESTRING (-74.143174 41.088852, -74.1434002 41.088854, -74.1436208 41.0888412, -74.144243 41.088785, -74.1444641 41.0887628, -74.144634 41.088745)",,,
439883730,Franklin Turnpike,primary,False,False,132.945,"LINESTRING (-74.143174 41.088852, -74.1435704 41.0899181, -74.1436023 41.0900032)",CR 507,,
439883730,Franklin Turnpike,primary,False,True,314.245,"LINESTRING (-74.143174 41.088852, -74.142494 41.087076, -74.1423113 41.0865721, -74.142152 41.086133)",CR 507,,
11587131,King Street,residential,False,False,116.756,"LINESTRING (-74.14593 41.0923184, -74.1445532 41.0924792)",,,
11587910,South Mahwah Road,residential,False,False,141.877,"LINESTRING (-74.1436023 41.0900032, -74.142173 41.090687)",,,
439883730,Franklin Turnpike,primary,False,False,63.022,"LINESTRING (-74.1436023 41.0900032, -74.1438124 41.0905474)",CR 507,,
439883730,Franklin Turnpike,primary,False,True,132.945,"LINESTRING (-74.1436023 41.0900032, -74.1435704 41.0899181, -74.143174 41.088852)",CR 507,,
