osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,bridge
309075233,False,NC 18,South Sterling Street,primary,45 mph,False,10.274,"LINESTRING (-81.6585971 35.7239362, -81.6586898 35.7239898)",
300396369,False,,East Parker Road,residential,35 mph,True,258.98199999999997,"LINESTRING (-81.6631913 35.7266306, -81.6630874 35.7267312, -81.6629677 35.7268304, -81.6628721 35.7269332, -81.6628176 35.727017, -81.6627885 35.7270906, -81.6627815 35.727161, -81.6627866 35.7272276, -81.662811 35.7273839, -81.662829 35.7275207, -81.6628268 35.7275865, -81.6628201 35.72766, -81.662803 35.7277281, -81.6627812 35.7278022, -81.6627565 35.7278677, -81.6627242 35.7279405, -81.6626868 35.7280089, -81.662639 35.7280829, -81.6625947 35.7281395, -81.6625506 35.7281796, -81.6624876 35.7282228, -81.6624122 35.728257, -81.662329 35.7282824, -81.6622425 35.728303, -81.6621374 35.7283205, -81.6620227 35.7283359, -81.6618365 35.7283446)",
309075233,False,NC 18,South Sterling Street,primary,45 mph,False,255.39000000000001,"LINESTRING (-81.6631913 35.7266306, -81.6634829 35.7267912, -81.6637508 35.7269388, -81.6644214 35.7273081, -81.6646801 35.7274505, -81.6650361 35.7276466, -81.6655326 35.72792)",
309075233,False,NC 18,South Sterling Street,primary,45 mph,True,501.39399999999995,"LINESTRING (-81.6631913 35.7266306, -81.6623919 35.7261854, -81.6623014 35.7261334, -81.6618637 35.7258821, -81.6616358 35.7257456, -81.6614994 35.7256642, -81.6612804 35.7255334, -81.6610819 35.7254149, -81.6606858 35.7251784, -81.6605064 35.7250713, -81.6603677 35.7249885, -81.6602404 35.724911, -81.6600053 35.7247703, -81.6597478 35.7246175, -81.6595873 35.7245223, -81.659538 35.7244928, -81.6593474 35.7243796, -81.659169 35.7242735, -81.6590046 35.7241757, -81.6589312 35.724132, -81.6588641 35.7240921, -81.6586898 35.7239898)",
"[817757825, 16441574]",False,,West Parker Road,residential,35 mph,True,362.196,"LINESTRING (-81.6631913 35.7266306, -81.6632686 35.7265062, -81.6632753 35.7264028, -81.6632714 35.7263569, -81.6632485 35.7260849, -81.6631841 35.7257038, -81.6631398 35.7255177, -81.6631078 35.7253998, -81.6630877 35.7253259, -81.6630151 35.7251224, -81.662936 35.7249178, -81.6627744 35.7245582, -81.6626475 35.7242667, -81.6625175 35.7240226, -81.6623601 35.7237651, -81.6622382 35.7235317)",
"[300396369, 817757826, 817757827, 300396363]",False,,East Parker Road,residential,35 mph,False,332.094,"LINESTRING (-81.6582004 35.7281487, -81.6584126 35.7281117, -81.6586469 35.7280839, -81.6588274 35.7280726, -81.659158 35.7280701, -81.659675 35.7280737, -81.6599116 35.7280823, -81.6602284 35.7280982, -81.6604512 35.7281118, -81.6604996 35.7281148, -81.6605518 35.7281238, -81.6608607 35.7281769, -81.6612565 35.7282685, -81.6614407 35.7283058, -81.6616133 35.7283331, -81.6617222 35.7283431, -81.6618365 35.7283446)",yes
16435967,False,,Moose Street,residential,,False,179.135,"LINESTRING (-81.6679645 35.7274363, -81.6663427 35.7283647)",
16440518,False,,Shady Rest Road,residential,,True,108.49799999999999,"LINESTRING (-81.6679645 35.7274363, -81.667667 35.7272682, -81.6674426 35.7271413, -81.6671958 35.7269982, -81.6669752 35.7268824)",
16435967,False,,Moose Street,residential,,True,179.135,"LINESTRING (-81.6663427 35.7283647, -81.6679645 35.7274363)",
309075233,False,NC 18,South Sterling Street,primary,45 mph,True,88.276,"LINESTRING (-81.6663427 35.7283647, -81.6658278 35.728082, -81.6655326 35.72792)",
309075233,False,NC 18,South Sterling Street,primary,45 mph,True,10.274,"LINESTRING (-81.6586898 35.7239898, -81.6585971 35.7239362)",
309075233,False,NC 18,South Sterling Street,primary,45 mph,False,501.394,"LINESTRING (-81.6586898 35.7239898, -81.6588641 35.7240921, -81.6589312 35.724132, -81.6590046 35.7241757, -81.659169 35.7242735, -81.6593474 35.7243796, -81.659538 35.7244928, -81.6595873 35.7245223, -81.6597478 35.7246175, -81.6600053 35.7247703, -81.6602404 35.724911, -81.6603677 35.7249885, -81.6605064 35.7250713, -81.6606858 35.7251784, -81.6610819 35.7254149, -81.6612804 35.7255334, -81.6614994 35.7256642, -81.6616358 35.7257456, -81.6618637 35.7258821, -81.6623014 35.7261334, -81.6623919 35.7261854, -81.6631913 35.7266306)",
16440407,False,,Hoyle Street,residential,35 mph,False,297.4150000000001,"LINESTRING (-81.6618365 35.7283446, -81.6618425 35.7283924, -81.661853 35.7284516, -81.6618929 35.7286007, -81.661955 35.7288084, -81.6620278 35.729102, -81.6621405 35.7294773, -81.6622463 35.7298331, -81.6623318 35.7301359, -81.6624053 35.7304054, -81.6624984 35.7306974, -81.6625719 35.7309509)",
300396369,False,,East Parker Road,residential,35 mph,False,258.982,"LINESTRING (-81.6618365 35.7283446, -81.6620227 35.7283359, -81.6621374 35.7283205, -81.6622425 35.728303, -81.662329 35.7282824, -81.6624122 35.728257, -81.6624876 35.7282228, -81.6625506 35.7281796, -81.6625947 35.7281395, -81.662639 35.7280829, -81.6626868 35.7280089, -81.6627242 35.7279405, -81.6627565 35.7278677, -81.6627812 35.7278022, -81.662803 35.7277281, -81.6628201 35.72766, -81.6628268 35.7275865, -81.662829 35.7275207, -81.662811 35.7273839, -81.6627866 35.7272276, -81.6627815 35.727161, -81.6627885 35.7270906, -81.6628176 35.727017, -81.6628721 35.7269332, -81.6629677 35.7268304, -81.6630874 35.7267312, -81.6631913 35.7266306)",
"[300396369, 817757826, 300396363, 817757827]",False,,East Parker Road,residential,35 mph,True,332.094,"LINESTRING (-81.6618365 35.7283446, -81.6617222 35.7283431, -81.6616133 35.7283331, -81.6614407 35.7283058, -81.6612565 35.7282685, -81.6608607 35.7281769, -81.6605518 35.7281238, -81.6604996 35.7281148, -81.6604512 35.7281118, -81.6602284 35.7280982, -81.6599116 35.7280823, -81.659675 35.7280737, -81.659158 35.7280701, -81.6588274 35.7280726, -81.6586469 35.7280839, -81.6584126 35.7281117, -81.6582004 35.7281487)",yes
16440407,False,,Hoyle Street,residential,35 mph,True,297.415,"LINESTRING (-81.6625719 35.7309509, -81.6624984 35.7306974, -81.6624053 35.7304054, -81.6623318 35.7301359, -81.6622463 35.7298331, -81.6621405 35.7294773, -81.6620278 35.729102, -81.661955 35.7288084, -81.6618929 35.7286007, -81.661853 35.7284516, -81.6618425 35.7283924, -81.6618365 35.7283446)",
16440518,False,,Shady Rest Road,residential,,False,56.937000000000005,"LINESTRING (-81.6664547 35.7265936, -81.6667051 35.726726, -81.6668897 35.7268375, -81.6669752 35.7268824)",
16440518,False,,Shady Rest Road,residential,,False,108.49799999999999,"LINESTRING (-81.6669752 35.7268824, -81.6671958 35.7269982, -81.6674426 35.7271413, -81.667667 35.7272682, -81.6679645 35.7274363)",
16440518,False,,Shady Rest Road,residential,,True,56.937,"LINESTRING (-81.6669752 35.7268824, -81.6668897 35.7268375, -81.6667051 35.726726, -81.6664547 35.7265936)",
327853658,False,,Rockett Street,residential,,False,175.342,"LINESTRING (-81.6669752 35.7268824, -81.6667774 35.7270041, -81.6667458 35.7270235, -81.666703 35.7270499, -81.6664898 35.7271811, -81.6663671 35.7272566, -81.6662473 35.7273303, -81.6658864 35.7275524, -81.6657793 35.7276437, -81.6657104 35.7277093, -81.6656174 35.727814, -81.6655326 35.72792)",
309075233,False,NC 18,South Sterling Street,primary,45 mph,False,88.276,"LINESTRING (-81.6655326 35.72792, -81.6658278 35.728082, -81.6663427 35.7283647)",
309075233,False,NC 18,South Sterling Street,primary,45 mph,True,255.39,"LINESTRING (-81.6655326 35.72792, -81.6650361 35.7276466, -81.6646801 35.7274505, -81.6644214 35.7273081, -81.6637508 35.7269388, -81.6634829 35.7267912, -81.6631913 35.7266306)",
327853658,False,,Rockett Street,residential,,True,175.34199999999998,"LINESTRING (-81.6655326 35.72792, -81.6656174 35.727814, -81.6657104 35.7277093, -81.6657793 35.7276437, -81.6658864 35.7275524, -81.6662473 35.7273303, -81.6663671 35.7272566, -81.6664898 35.7271811, -81.666703 35.7270499, -81.6667458 35.7270235, -81.6667774 35.7270041, -81.6669752 35.7268824)",
"[817757825, 16441574]",False,,West Parker Road,residential,35 mph,False,362.19599999999997,"LINESTRING (-81.6622382 35.7235317, -81.6623601 35.7237651, -81.6625175 35.7240226, -81.6626475 35.7242667, -81.6627744 35.7245582, -81.662936 35.7249178, -81.6630151 35.7251224, -81.6630877 35.7253259, -81.6631078 35.7253998, -81.6631398 35.7255177, -81.6631841 35.7257038, -81.6632485 35.7260849, -81.6632714 35.7263569, -81.6632753 35.7264028, -81.6632686 35.7265062, -81.6631913 35.7266306)",
339559799,False,,,residential,,False,112.139,"LINESTRING (-81.6622382 35.7235317, -81.6620047 35.7235173, -81.6619295 35.7235201, -81.6618565 35.7235229, -81.6616933 35.7235598, -81.6614749 35.723624, -81.661374 35.7236545, -81.6612554 35.7236826, -81.6611378 35.7236898, -81.661029 35.7236866)",
339559799,False,,,residential,,True,112.139,"LINESTRING (-81.661029 35.7236866, -81.6611378 35.7236898, -81.6612554 35.7236826, -81.661374 35.7236545, -81.6614749 35.723624, -81.6616933 35.7235598, -81.6618565 35.7235229, -81.6619295 35.7235201, -81.6620047 35.7235173, -81.6622382 35.7235317)",
