osmid,lanes,name,highway,width,oneway,reversed,length,geometry,maxspeed
9616825,2,Pearson Street,residential,14.9,False,False,74.436,"LINESTRING (-71.008399 42.463706, -71.007494 42.463755)",
9616825,2,Pearson Street,residential,14.9,False,True,109.474,"LINESTRING (-71.008399 42.463706, -71.0093696 42.4636535, -71.00973 42.463634)",
9617314,2,Foster Street,residential,15.2,False,False,149.76500000000001,"LINESTRING (-71.008399 42.463706, -71.0085396 42.4649387, -71.0085345 42.4649951, -71.0085248 42.4650479)",
9617265,1,Pleasant View Place,residential,4.9,False,False,26.452,"LINESTRING (-71.0090077 42.4673142, -71.0087 42.467243)",
9617256,2,Emory Street,residential,12.2,False,False,60.926,"LINESTRING (-71.0104067 42.4632838, -71.009673 42.463369)",
9617256,2,Emory Street,residential,12.2,False,True,61.19,"LINESTRING (-71.0104067 42.4632838, -71.0111428 42.4631947)",
9617289,2,Emory Court,residential,7.3,False,True,51.981,"LINESTRING (-71.0104067 42.4632838, -71.0103 42.462823)",
316141210,2,Central Street,tertiary,15.2,False,True,77.57,"LINESTRING (-71.0092922 42.4662162, -71.0095925 42.4655547)",30 mph
9616913,2,Parker Street,residential,15.2,False,True,282.965,"LINESTRING (-71.0092922 42.4662162, -71.0093682 42.4662378, -71.0093909 42.4662431, -71.0094142 42.4662461, -71.0094379 42.4662468, -71.0099591 42.4662386, -71.012732 42.466146)",
316141210,2,Central Street,tertiary,15.2,False,False,93.42,"LINESTRING (-71.0092922 42.4662162, -71.009027 42.466721, -71.0089368 42.466886, -71.0089 42.466948, -71.008869 42.466996)",30 mph
9616791,2,Summer Street,residential,15.2,False,True,42.061,"LINESTRING (-71.01311 42.468608, -71.013166 42.468984)",
9616441,2,Wilson Street,residential,12.2,False,False,121.05,"LINESTRING (-71.01311 42.468608, -71.012039 42.468693, -71.011992 42.468401)",
9616791,2,Summer Street,residential,15.2,False,False,75.512,"LINESTRING (-71.01311 42.468608, -71.013097 42.468522, -71.013009 42.467933)",
9616249,2,Central Street,tertiary,15.2,False,False,52.336,"LINESTRING (-71.009467 42.468841, -71.009495 42.469014, -71.009507 42.469108, -71.009508 42.469156, -71.009509 42.469193, -71.0095 42.469227, -71.00948 42.469257, -71.009431 42.46929)",30 mph
9616249,2,Central Street,tertiary,15.2,False,True,97.979,"LINESTRING (-71.009467 42.468841, -71.009459 42.468794, -71.009438 42.46871, -71.009414 42.468631, -71.009391 42.468567, -71.009357 42.468501, -71.009323 42.46843, -71.009277 42.468349, -71.009219 42.468267, -71.00915 42.468182, -71.009089 42.468115, -71.009015 42.468037)",30 mph
9616877,2,Greystone Road,residential,15.2,False,True,216.434,"LINESTRING (-71.009467 42.468841, -71.009669 42.468818, -71.009737 42.468802, -71.009784 42.468786, -71.009835 42.46876, -71.009899 42.468726, -71.010059 42.468642, -71.010158 42.468599, -71.010233 42.468578, -71.010322 42.468558, -71.010408 42.468536, -71.010533 42.46852, -71.011992 42.468401)",
591934088,2,Main Street,secondary,15.2,False,True,84.226,"LINESTRING (-71.011487 42.4647829, -71.0119117 42.4647604, -71.0122206 42.4647426, -71.0125108 42.4647252)",
646590748,2,Main Street,secondary,15.2,False,False,51.498000000000005,"LINESTRING (-71.011487 42.4647829, -71.0111365 42.4647894, -71.0108593 42.4647888)",
9616494,2,Willow Court,residential,9.1,False,True,46.148,"LINESTRING (-71.0111428 42.4631947, -71.0110355 42.4627873)",
9617256,2,Emory Street,residential,12.2,False,False,61.19,"LINESTRING (-71.0111428 42.4631947, -71.0104067 42.4632838)",
