osmid,name,highway,oneway,reversed,length,maxspeed,geometry,ref,lanes,bridge
160675152,The Rookery,residential,False,False,34.367,,"LINESTRING (-1.2017661 53.147934, -1.2019087 53.147637)",,,
"[160675153, 160675150]",Westfield Lane,tertiary,False,False,77.247,30 mph,"LINESTRING (-1.2017661 53.147934, -1.2012922 53.1478538, -1.2011401 53.1478179, -1.2009939 53.1477833, -1.2006968 53.1476778)",,,
160675150,Westfield Lane,tertiary,False,True,107.17,30 mph,"LINESTRING (-1.2017661 53.147934, -1.2027728 53.1480917, -1.2033263 53.1481642)",,,
"[43557066, 864710994]",Woodhouse Road,trunk,False,False,33.002,30 mph,"LINESTRING (-1.1944287 53.1485807, -1.1944386 53.148408, -1.1944271 53.1482842)",A60,3,
864711022,St Peter's Way,trunk,True,False,7.58,30 mph,"LINESTRING (-1.1944646 53.1469169, -1.1943552 53.1468984)",A6009,3,
593763797,Woodhouse Road,trunk,True,False,22.011000000000003,30 mph,"LINESTRING (-1.1944646 53.1469169, -1.1944695 53.147006, -1.1944694 53.1471148)",A60,2,
"[864711009, 422024689, 864711021]",St Peter's Way,trunk,True,False,58.252,30 mph,"LINESTRING (-1.1935473 53.1465556, -1.1938016 53.1465982, -1.1940967 53.146673, -1.1941344 53.1466818, -1.1942305 53.1467043, -1.1943645 53.1467382)",A6009,2,
"[864711049, 864711025]",,trunk_link,True,False,66.542,30 mph,"LINESTRING (-1.1935473 53.1465556, -1.1937574 53.1466617, -1.1940511 53.1467357, -1.1940953 53.1467454, -1.1942738 53.1467902, -1.1943535 53.1468118, -1.1944181 53.1468364)",,2,
864650651,Stockwell Gate,trunk,True,False,11.91,30 mph,"LINESTRING (-1.2012295 53.1435697, -1.2010733 53.1436216)",A38,2,
864650650,Rosemary Street,trunk,True,False,17.41,30 mph,"LINESTRING (-1.2012295 53.1435697, -1.2012878 53.1436195, -1.2013767 53.143699)",A6009,2,
27583978,Rosemary Street,trunk,True,False,40.088,30 mph,"LINESTRING (-1.203455 53.1452234, -1.203852 53.1454941)",A6009,2,
29506583,Dallas Street,unclassified,False,False,80.467,,"LINESTRING (-1.2028466 53.1431081, -1.2025889 53.1428734, -1.2021645 53.1425113)",,,
"[864650648, 864650649, 866648932]",Stockwell Gate,trunk,False,False,84.19999999999999,30 mph,"LINESTRING (-1.2028466 53.1431081, -1.2024812 53.1432101, -1.2021044 53.1433075, -1.2019678 53.1433399, -1.2016868 53.1434066)",A38,"['2', '3', '4']",
"[28292209, 864181162]",,trunk,True,False,28.098,40 mph,"LINESTRING (-1.1992828 53.1403336, -1.1992114 53.1402386, -1.1991942 53.140218, -1.1991745 53.1402061, -1.1991381 53.1401925, -1.1990045 53.1401711)",A6009,1,
864181176,Rosemary Street,trunk,True,False,24.221,40 mph,"LINESTRING (-1.1992828 53.1403336, -1.199286 53.1402155, -1.1992857 53.1401832, -1.1992869 53.1401158)",A60,3,
27207894,Chesterfield Road South,trunk,True,False,137.998,30 mph,"LINESTRING (-1.1968459 53.1464285, -1.1969926 53.1464084, -1.1972879 53.1463871, -1.1975101 53.1463971, -1.1977649 53.1464274, -1.198087 53.1465051, -1.1983924 53.1466301, -1.1986318 53.1467645, -1.1986954 53.1468059)",A6009,2,
27369306,,unclassified,True,False,41.099000000000004,,"LINESTRING (-1.1968459 53.1464285, -1.1968528 53.1463844, -1.1968583 53.1463443, -1.1968784 53.1463085, -1.1969211 53.1462514, -1.1969231 53.1461835, -1.1968989 53.146121, -1.1968426 53.1460806)",,,
"[448501089, 864181160, 512753257, 864650638, 864650639, 864650640, 1104946491, 245391967]","['Portland Street', 'Rosemary Street']",trunk,True,False,307.6530000000001,"['40 mph', '30 mph']","LINESTRING (-1.1995322 53.1399881, -1.1995157 53.1401105, -1.1995014 53.140235, -1.1994869 53.1403529, -1.1994457 53.1407651, -1.1994547 53.1408836, -1.1994524 53.1411872, -1.1994543 53.141303, -1.1994559 53.141405, -1.1995206 53.1418345, -1.1995583 53.1419242, -1.1996535 53.1421278, -1.1997186 53.1422427, -1.1998185 53.1423643, -1.1999351 53.1424785, -1.1999724 53.1425184, -1.2000156 53.1425581, -1.2000984 53.1426288, -1.2001365 53.1426645)",A6009,"['2', '3']",
"[864650654, 245391967]",Rosemary Street,trunk,True,False,60.083,30 mph,"LINESTRING (-1.2003532 53.1428576, -1.2006748 53.1431426, -1.2008725 53.1432989)",A6009,"['2', '3']",
113818917,Crow Hill Drive,residential,False,False,80.71,,"LINESTRING (-1.2003992 53.1486517, -1.1992183 53.1488106)",,,
864711001,Crow Hill Drive,residential,False,True,10.307,,"LINESTRING (-1.2003992 53.1486517, -1.2005477 53.148626)",,,
864711074,Chesterfield Road South,trunk,True,False,79.802,30 mph,"LINESTRING (-1.2003992 53.1486517, -1.2002694 53.1483925, -1.2000961 53.1480491, -1.2000548 53.1479644)",A6009,1,
