osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,junction,ref,bridge
58534851,Baxter Row,tertiary,30 mph,False,False,90.106,"LINESTRING (0.940954 52.6776762, 0.9410061 52.6781302, 0.9410232 52.678279, 0.9410665 52.678368, 0.9411208 52.6784071, 0.9411993 52.6784471)",,,,
112825321,Baxter Row,residential,30 mph,False,True,95.14,"LINESTRING (0.940954 52.6776762, 0.9409376 52.6774853, 0.9409373 52.6773375, 0.9409477 52.6772121, 0.9409802 52.6768215)",,,,
113814531,Mary Unwin Road,residential,30 mph,False,True,73.95100000000001,"LINESTRING (0.940954 52.6776762, 0.9405397 52.6776797, 0.9400723 52.6776797, 0.9399369 52.6776847, 0.9398634 52.6777031)",,,,
158454558,St Withburga Lane,residential,20 mph,True,False,47.839,"LINESTRING (0.9387414 52.6808883, 0.9386482 52.6808029, 0.9386053 52.680738, 0.9385645 52.6806378, 0.9384944 52.6805488, 0.9384246 52.680512)",,,,
"[375803329, 158454554]",Church Street,residential,"['20 mph', '30 mph']",False,True,83.173,"LINESTRING (0.9387414 52.6808883, 0.9388394 52.6809013, 0.938977 52.6809092, 0.9394575 52.6809208, 0.9399708 52.6809411)",,,,
13957407,Quebec Street,unclassified,30 mph,True,False,67.936,"LINESTRING (0.9399708 52.6809411, 0.9400029 52.6812811, 0.9400007 52.6815515)",,,,
"[375803329, 158454554]",Church Street,residential,"['20 mph', '30 mph']",False,False,83.173,"LINESTRING (0.9399708 52.6809411, 0.9394575 52.6809208, 0.938977 52.6809092, 0.9388394 52.6809013, 0.9387414 52.6808883)",,,,
26745074,Market Place,tertiary,30 mph,True,False,12.365,"LINESTRING (0.9402964 52.6822117, 0.9402791 52.6822233, 0.9402307 52.6822697, 0.9401998 52.6823058)",2,circular,,
32527154,Wellington Road,tertiary,30 mph,False,True,45.729,"LINESTRING (0.9438636 52.6823026, 0.9431858 52.6823195)",,,,
122552985,Neatherd Road,tertiary,30 mph,False,False,46.953,"LINESTRING (0.9438636 52.6823026, 0.9445601 52.6822992)",,,,
