osmid,oneway,name,highway,maxspeed,reversed,length,ref,geometry,lanes,bridge,junction
877790546,True,Strand Road,unclassified,40 mph,False,15.638,,"LINESTRING (-3.0022743 53.450115, -3.0020441 53.4500836)",,,
1055236251,False,Strand Road,unclassified,40 mph,True,7.229,,"LINESTRING (-3.0022743 53.450115, -3.0023812 53.4501018)",,,
154278887,True,Rimrose Road,trunk,40 mph,False,13.29,A565,"LINESTRING (-3.0022743 53.450115, -3.002337 53.4501807, -3.0023763 53.4502179)",,,
33757031,False,Berry Street,unclassified,20 mph,False,115.021,,"LINESTRING (-2.9968347 53.4485168, -2.9967763 53.4479763, -2.9967605 53.4474836)",,,
"[155361440, 803660773, 155361439]",False,Merton Road,primary,"['20 mph', '30 mph']",False,89.993,A5057,"LINESTRING (-2.9968347 53.4485168, -2.9970152 53.4485196, -2.9972074 53.4485455, -2.9973654 53.4485932, -2.9975096 53.4486546, -2.9978895 53.4488345, -2.9980004 53.4488869)",2,yes,
"[1103348845, 1103348844, 803660773]",False,Merton Road,primary,30 mph,True,107.828,A5057,"LINESTRING (-2.9968347 53.4485168, -2.9966261 53.4485387, -2.9961116 53.4486005, -2.9958129 53.4486414, -2.9955706 53.4486703, -2.9954195 53.4486833, -2.9952345 53.44869)",2,,
83144580,False,Atlantic Road,unclassified,20 mph,True,55.633,,"LINESTRING (-3.0001576 53.4515393, -3.0009445 53.451364)",,,
537170584,False,Irlam Road,tertiary,20 mph,True,15.843,,"LINESTRING (-3.0001576 53.4515393, -3.0000811 53.4514043)",2,,
537170584,False,Irlam Road,tertiary,20 mph,False,128.292,,"LINESTRING (-3.0001576 53.4515393, -3.0002108 53.45163, -3.0003138 53.4518061, -3.0006384 53.4523607, -3.0006926 53.4524532, -3.0007363 53.4525372, -3.0007628 53.4526339)",2,,
30604652,False,,residential,20 mph,False,42.123999999999995,,"LINESTRING (-2.9959843 53.4530434, -2.9958212 53.4530741, -2.995701 53.4532274, -2.9957182 53.4533347)",,,
30604652,False,,residential,20 mph,True,42.123999999999995,,"LINESTRING (-2.9957182 53.4533347, -2.995701 53.4532274, -2.9958212 53.4530741, -2.9959843 53.4530434)",,,
30604657,False,Gemini Close,residential,20 mph,False,51.12499999999999,,"LINESTRING (-2.9957182 53.4533347, -2.9959585 53.4533961, -2.9962675 53.4534574, -2.9964392 53.4534983)",,,
30604657,False,Gemini Close,residential,20 mph,True,41.384,,"LINESTRING (-2.9957182 53.4533347, -2.9956152 53.4533654, -2.9955122 53.4534523, -2.995495 53.4535392, -2.9955808 53.4536363)",,,
30604657,False,Gemini Close,residential,20 mph,False,41.384,,"LINESTRING (-2.9955808 53.4536363, -2.995495 53.4535392, -2.9955122 53.4534523, -2.9956152 53.4533654, -2.9957182 53.4533347)",,,
30604657,False,Gemini Close,residential,20 mph,True,51.125,,"LINESTRING (-2.9964392 53.4534983, -2.9962675 53.4534574, -2.9959585 53.4533961, -2.9957182 53.4533347)",,,
30604681,False,Capricorn Way,residential,20 mph,False,70.632,,"LINESTRING (-2.9964392 53.4534983, -2.996354 53.4536385, -2.9960762 53.4540956)",,,
30604681,False,Capricorn Way,residential,20 mph,True,120.185,,"LINESTRING (-2.9964392 53.4534983, -2.9966064 53.453354, -2.9966003 53.4532606, -2.9970404 53.4531138, -2.997081 53.4530714, -2.9971451 53.4529399, -2.99721 53.4528232, -2.9972261 53.4527698, -2.9972669 53.4526857, -2.9972977 53.4526273)",,,
30604681,False,Capricorn Way,residential,20 mph,False,120.185,,"LINESTRING (-2.9972977 53.4526273, -2.9972669 53.4526857, -2.9972261 53.4527698, -2.99721 53.4528232, -2.9971451 53.4529399, -2.997081 53.4530714, -2.9970404 53.4531138, -2.9966003 53.4532606, -2.9966064 53.453354, -2.9964392 53.4534983)",,,
30604681,False,Capricorn Way,residential,20 mph,True,70.632,,"LINESTRING (-2.9960762 53.4540956, -2.996354 53.4536385, -2.9964392 53.4534983)",,,
"[1258071664, 553765162, 1103349762]",False,Marsh Lane,primary,30 mph,False,115.58999999999999,A5098,"LINESTRING (-2.9960762 53.4540956, -2.995366 53.4539611, -2.9952015 53.45393, -2.9950535 53.4539079, -2.9948906 53.453888, -2.9947322 53.4538674, -2.9945665 53.4538583, -2.9943862 53.4538538)",2,,
553765162,False,Marsh Lane,primary,30 mph,True,151.88600000000002,A5098,"LINESTRING (-2.9960762 53.4540956, -2.9967265 53.4542431, -2.9967758 53.4542543, -2.9968578 53.4542744, -2.9975033 53.4544009, -2.9978611 53.4544711, -2.9982226 53.4545735)",2,,
30620252,False,St Catherine's Road,residential,20 mph,True,189.062,,"LINESTRING (-2.9952084 53.4477261, -2.9923536 53.447743)",,,
33824812,False,Oriel Road,secondary,20 mph,False,104.83800000000002,B5190,"LINESTRING (-2.9952084 53.4477261, -2.9952107 53.4475847, -2.9951961 53.4474388, -2.9951376 53.4470472, -2.9951086 53.4468437, -2.9950975 53.4467862)",,,
33824812,False,Oriel Road,secondary,20 mph,True,107.19500000000001,B5190,"LINESTRING (-2.9952084 53.4477261, -2.9952242 53.4483096, -2.9952345 53.44869)",,,
30620256,True,St Edmond's Road,residential,20 mph,False,197.241,,"LINESTRING (-2.9950975 53.4467862, -2.99212 53.4468293)",,,
33824812,False,Oriel Road,secondary,20 mph,True,104.838,B5190,"LINESTRING (-2.9950975 53.4467862, -2.9951086 53.4468437, -2.9951376 53.4470472, -2.9951961 53.4474388, -2.9952107 53.4475847, -2.9952084 53.4477261)",,,
30620258,False,Clairville Close,residential,20 mph,False,6.875,,"LINESTRING (-2.9937542 53.449465, -2.9937512 53.4494032)",,,
30620258,False,Clairville Close,residential,20 mph,True,77.43,,"LINESTRING (-2.9937385 53.4487069, -2.9937458 53.4491098, -2.9937512 53.4494032)",,,
1072363162,False,Merton Road,primary,30 mph,False,99.08500000000001,A5057,"LINESTRING (-2.9937385 53.4487069, -2.9944701 53.4486992, -2.9952345 53.44869)",2,,
1072363162,False,Merton Road,primary,30 mph,True,69.987,A5057,"LINESTRING (-2.9937385 53.4487069, -2.9931927 53.4487126, -2.9931144 53.4487134, -2.9926818 53.4487179)",2,,
30620259,False,Clairville Close,residential,20 mph,False,9.431,,"LINESTRING (-2.9936088 53.4494043, -2.9937512 53.4494032)",,,
30620258,False,Clairville Close,residential,20 mph,True,6.875,,"LINESTRING (-2.9937512 53.4494032, -2.9937542 53.449465)",,,
30620259,False,Clairville Close,residential,20 mph,True,9.431,,"LINESTRING (-2.9937512 53.4494032, -2.9936088 53.4494043)",,,
30620258,False,Clairville Close,residential,20 mph,False,77.43,,"LINESTRING (-2.9937512 53.4494032, -2.9937458 53.4491098, -2.9937385 53.4487069)",,,
30620290,False,Church View,residential,20 mph,False,8.569,,"LINESTRING (-2.9984229 53.4485941, -2.9983154 53.4485512)",,,
30620290,False,Church View,residential,20 mph,True,5.025,,"LINESTRING (-2.9982523 53.4485261, -2.9983154 53.4485512)",,,
30620291,False,Church View,residential,20 mph,False,51.033,,"LINESTRING (-2.9987665 53.4481791, -2.9983154 53.4485512)",,,
84893228,False,,residential,20 mph,False,61.893,,"LINESTRING (-2.9987665 53.4481791, -2.9996731 53.4480438)",,,
84893231,False,Church Walk,residential,20 mph,False,87.368,,"LINESTRING (-2.9987665 53.4481791, -2.99891 53.4482153, -2.9993499 53.4483878, -2.9996111 53.4485077, -2.9997959 53.4486537)",,,
191104368,False,Church View,unclassified,20 mph,True,51.185,,"LINESTRING (-2.9987665 53.4481791, -2.9987887 53.4479203, -2.9988464 53.4478339, -2.9989553 53.4477473)",,,
30620290,False,Church View,residential,20 mph,False,5.025,,"LINESTRING (-2.9983154 53.4485512, -2.9982523 53.4485261)",,,
30620290,False,Church View,residential,20 mph,True,8.569,,"LINESTRING (-2.9983154 53.4485512, -2.9984229 53.4485941)",,,
30620291,False,Church View,residential,20 mph,True,51.033,,"LINESTRING (-2.9983154 53.4485512, -2.9987665 53.4481791)",,,
33757031,False,Berry Street,unclassified,20 mph,False,157.95600000000002,,"LINESTRING (-2.9967605 53.4474836, -2.9967351 53.4471991, -2.9966992 53.4467472, -2.9966587 53.4465542, -2.9966456 53.4464916, -2.9973537 53.4464341)",,,
