osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,bridge,tunnel,junction,access
7989246,False,2,High Street,unclassified,30 mph,True,59.629,"LINESTRING (-0.3925785 51.6534008, -0.3921212 51.6531259, -0.3920508 51.6530947, -0.3919317 51.6530478)",,,,,
"[751778113, 88693877, 224148023]",True,1,"['High Street', 'King Street']",unclassified,20 mph,False,192.089,"LINESTRING (-0.3925785 51.6534008, -0.3926232 51.6534364, -0.3927278 51.6535309, -0.3928293 51.6535974, -0.3930777 51.6537424, -0.3932646 51.6538433, -0.3934853 51.6539384, -0.3936562 51.6540058, -0.3938932 51.6540947, -0.3939556 51.6540924, -0.3940105 51.6540753, -0.3943052 51.6538305, -0.3945737 51.6536254)",,,,,
"[785651008, 3186918, 45115534, 72101429, 72101437]",True,2,Beechen Grove,primary,40 mph,False,236.274,"LINESTRING (-0.3916917 51.6551129, -0.3914329 51.6549238, -0.3911885 51.6547592, -0.391066 51.654686, -0.3908732 51.6545971, -0.3907073 51.654548, -0.3905267 51.6545148, -0.3903334 51.654493, -0.3901555 51.6544739, -0.3898923 51.654454, -0.3897164 51.6544477, -0.3895362 51.6544523, -0.3893443 51.6544685, -0.3891782 51.654491, -0.3890629 51.654512, -0.3888846 51.6545551, -0.3887045 51.6546197)",A411,yes,,,
"[251996858, 251996860, 224148021]",True,"['2', '3']",Beechen Grove,primary_link,30 mph,False,110.667,"LINESTRING (-0.3916917 51.6551129, -0.391625 51.655029, -0.3915275 51.6549064, -0.3914419 51.6547568, -0.3914037 51.6546329, -0.3913737 51.6544114, -0.3913748 51.6543576, -0.3913956 51.654154)",A411,,,,
735017871,True,3,Beechen Grove,primary,30 mph,False,18.872,"LINESTRING (-0.3913956 51.654154, -0.3913997 51.6539843)",A411,,,,
7989246,False,2,High Street,unclassified,30 mph,False,59.629,"LINESTRING (-0.3919317 51.6530478, -0.3920508 51.6530947, -0.3921212 51.6531259, -0.3925785 51.6534008)",,,,,
23276569,True,3,Exchange Road,primary,30 mph,False,35.397999999999996,"LINESTRING (-0.3919317 51.6530478, -0.3920105 51.6529876, -0.3922717 51.6528095)",A411,,,,
52301428,True,3,Exchange Road,primary,30 mph,False,130.422,"LINESTRING (-0.3969026 51.6536612, -0.3970146 51.6537717, -0.3971678 51.6539229, -0.3972079 51.6539603, -0.3972245 51.6539772, -0.397635 51.6543489, -0.397839 51.6545382, -0.3978985 51.6545934, -0.3979484 51.6546381)",A411,,,,
82805190,False,2,Vicarage Road,primary,30 mph,True,41.857,"LINESTRING (-0.3969026 51.6536612, -0.3969742 51.6536274, -0.3970741 51.6535869, -0.3973855 51.6534337)",A4145,,,,
52301428,True,3,Exchange Road,primary,30 mph,False,31.084999999999997,"LINESTRING (-0.3979484 51.6546381, -0.3981112 51.6547732, -0.3981465 51.6548025, -0.3982182 51.654862)",A411,,,,
"[44180320, 491327489, 44180319, 1241360023]",True,2,Exchange Road,primary,30 mph,False,157.274,"LINESTRING (-0.3998618 51.656783, -0.3998199 51.6568124, -0.3996843 51.6569078, -0.3996015 51.6569698, -0.3995892 51.656979, -0.3991946 51.6572543, -0.3989812 51.6574675, -0.3986718 51.6579681)",A411,yes,,,
"[251996856, 3186926]",True,"['1', '2']",Beechen Grove,primary,30 mph,False,217.558,"LINESTRING (-0.3986718 51.6579681, -0.39865 51.6580819, -0.3985648 51.6583033, -0.3985567 51.6584707, -0.3985989 51.6586157, -0.3987303 51.6589935, -0.3988326 51.6592869, -0.3988923 51.6594292, -0.3989603 51.6595484, -0.3990636 51.6596612, -0.3991865 51.6597631, -0.3992737 51.6598252)",A411,,,,
"[224148025, 251996857]",True,"['1', '2']",Exchange Road,primary_link,30 mph,False,47.487,"LINESTRING (-0.3986718 51.6579681, -0.3985613 51.6580042, -0.3984621 51.6580334, -0.3982394 51.6580426, -0.3980126 51.658017)",A411,,,,
23276569,True,3,Exchange Road,primary,30 mph,False,4.097,"LINESTRING (-0.394891 51.6521064, -0.3949448 51.652122)",A411,,,,
871627296,True,1,Vicarage Road,primary,30 mph,False,18.17,"LINESTRING (-0.3993343 51.6525143, -0.3991173 51.6526069)",A4145,,,,
752866989,True,2,Merton Road,primary,30 mph,False,24.041,"LINESTRING (-0.3993343 51.6525143, -0.3992566 51.6524777, -0.3990567 51.6523836)",A4145,,,,
4863876,False,2,Vicarage Road,primary,30 mph,False,132.678,"LINESTRING (-0.4014738 51.6511536, -0.4006871 51.6516683, -0.400168 51.6520294)",A4145,,,,
7914904,True,,Oxford Street,residential,30 mph,False,48.482,"LINESTRING (-0.4014738 51.6511536, -0.4016043 51.6511708, -0.4021544 51.6512618)",,,,,
"[1241360025, 4863834]",True,2,"['The Hornets', 'Fearnley Street']",primary,30 mph,False,49.769999999999996,"LINESTRING (-0.400168 51.6520294, -0.4004849 51.6522708, -0.4004973 51.6522967, -0.4005018 51.6523534, -0.4004724 51.6524026)",A4145,,,,
4863876,False,2,Vicarage Road,primary,30 mph,True,132.678,"LINESTRING (-0.400168 51.6520294, -0.4006871 51.6516683, -0.4014738 51.6511536)",A4145,,,,
"[4700283, 752870780]",False,2,Cassio Road,primary,30 mph,False,197.885,"LINESTRING (-0.4007204 51.6536507, -0.4008791 51.6538138, -0.4009547 51.6538815, -0.4010427 51.6539879, -0.4014646 51.6545813, -0.4018381 51.6552826)",A4178,,,,
207797240,False,2,Merton Road,primary,30 mph,True,82.038,"LINESTRING (-0.4007204 51.6536507, -0.4005038 51.6534585, -0.4003402 51.6533134, -0.4002691 51.6532539, -0.400043 51.6530444)",A4178,,,,
10592367,False,,Upton Road,residential,30 mph,False,95.419,"LINESTRING (-0.4028556 51.6563384, -0.4026552 51.6563633, -0.4014992 51.6565066)",,,,,
487852487,False,,Cassio Road,primary,30 mph,True,116.83099999999999,"LINESTRING (-0.4028556 51.6563384, -0.4024646 51.6559902, -0.4023469 51.6558782, -0.402332 51.655864, -0.4020471 51.6555652, -0.4019416 51.6554546)",A4178,,,,
207797240,False,2,Merton Road,primary,30 mph,True,24.783,"LINESTRING (-0.400043 51.6530444, -0.3998473 51.6528575)",A4178,,,,
4863830,False,,St. Mary's Road,residential,30 mph,False,210.742,"LINESTRING (-0.400043 51.6530444, -0.3981839 51.6538822, -0.3981095 51.6539148, -0.3980178 51.6539327, -0.3975429 51.6539471, -0.3974679 51.6539826)",,,,,
207797240,False,2,Merton Road,primary,30 mph,False,82.038,"LINESTRING (-0.400043 51.6530444, -0.4002691 51.6532539, -0.4003402 51.6533134, -0.4005038 51.6534585, -0.4007204 51.6536507)",A4178,,,,
4863836,True,2,Farraline Road,primary,30 mph,False,29.612,"LINESTRING (-0.3982434 51.6518875, -0.398668 51.6519265)",A4145,,,,
"[752866994, 224148019]",True,1,Market Street,unclassified,30 mph,False,134.78,"LINESTRING (-0.396717 51.655631, -0.3971671 51.655347, -0.3978725 51.6550168, -0.3979028 51.6549944, -0.3979523 51.6549736, -0.3979986 51.6549542, -0.3980328 51.6549373, -0.3982182 51.654862)",,,,,
224148016,True,3,Exchange Road,primary,30 mph,False,79.506,"LINESTRING (-0.3982182 51.654862, -0.3988811 51.6554469)",A411,,,,
44180302,True,,Market Street,unclassified,20 mph,False,47.279,"LINESTRING (-0.3982182 51.654862, -0.3984421 51.6547543, -0.3987639 51.6546048)",,,,,
672732607,False,,Francis Road,residential,20 mph,False,64.644,"LINESTRING (-0.4007562 51.6549892, -0.401121 51.6555247)",,,,,
4863818,True,,Percy Road,unclassified,20 mph,False,155.953,"LINESTRING (-0.4007562 51.6549892, -0.3990969 51.654912, -0.3987639 51.6546048)",,,,,
44180302,True,,Market Street,unclassified,20 mph,False,107.223,"LINESTRING (-0.3987639 51.6546048, -0.400004 51.6540235)",,,,,
4863821,True,,Francis Road,residential,20 mph,False,119.932,"LINESTRING (-0.400004 51.6540235, -0.4002535 51.654237, -0.4007259 51.6549215, -0.4007562 51.6549892)",,,,,
44180302,True,,Market Street,unclassified,20 mph,False,64.809,"LINESTRING (-0.400004 51.6540235, -0.4006241 51.6537282, -0.4007204 51.6536507)",,,,,
487852486,False,,Marlborough Road,tertiary,30 mph,False,122.518,"LINESTRING (-0.401121 51.6555247, -0.3993499 51.6554427)",,,,,
672732607,False,,Francis Road,residential,20 mph,True,64.644,"LINESTRING (-0.401121 51.6555247, -0.4007562 51.6549892)",,,,,
487852486,False,,Marlborough Road,tertiary,30 mph,True,59.007999999999996,"LINESTRING (-0.401121 51.6555247, -0.4015912 51.6555454, -0.4017946 51.6555118, -0.4019416 51.6554546)",,,,,
752866998,False,,St. Mary's Road,residential,30 mph,False,5.329,"LINESTRING (-0.3974679 51.6539826, -0.3974186 51.6539457)",,,,,
752866998,False,,St. Mary's Road,residential,30 mph,True,4.759,"LINESTRING (-0.3974679 51.6539826, -0.397499 51.6540208)",,,,,
4863830,False,,St. Mary's Road,residential,30 mph,True,210.742,"LINESTRING (-0.3974679 51.6539826, -0.3975429 51.6539471, -0.3980178 51.6539327, -0.3981095 51.6539148, -0.3981839 51.6538822, -0.400043 51.6530444)",,,,,
4863837,True,2,Merton Road,primary,30 mph,False,19.717,"LINESTRING (-0.3995468 51.6526296, -0.3994601 51.6525642, -0.3993343 51.6525143)",A4145,,,,
24274544,False,,Ebury Road,residential,20 mph,False,6.675,"LINESTRING (-0.3905983 51.6588389, -0.3905511 51.6587865)",,,,,
