osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,lanes,bridge,access
115640999,True,B1107,Thetford Road,secondary,30 mph,False,4.243,"LINESTRING (0.6246364 52.4477934, 0.6246988 52.4477965)",,,
126427406,False,B1107,Thetford Road,secondary,30 mph,False,63.839000000000006,"LINESTRING (0.6246364 52.4477934, 0.6243153 52.4477618, 0.6238957 52.4477193, 0.6238416 52.4477116, 0.6237935 52.4477024, 0.6237612 52.4476951, 0.6237145 52.4476827)",,,
521076953,False,B1106,Bury Road,secondary,30 mph,False,78.759,"LINESTRING (0.6246364 52.4477934, 0.6246483 52.4477481, 0.6246584 52.4476856, 0.6246689 52.4475644, 0.6246837 52.447471, 0.6246964 52.4474269, 0.6247092 52.4473821, 0.624753 52.4472752, 0.6248409 52.4470992)",,,
91413195,False,,Towlers Court,residential,,True,141.621,"LINESTRING (0.6204284 52.446291, 0.6204665 52.4462584, 0.6209098 52.4458789, 0.6210363 52.445786, 0.6213161 52.445584, 0.6214668 52.4455638, 0.6218298 52.4457491)",,,
521060919,False,A1065,London Road,trunk,30 mph,False,172.25199999999998,"LINESTRING (0.6204284 52.446291, 0.6200866 52.446066, 0.6196087 52.4457614, 0.6194536 52.4456626, 0.6188619 52.4452609, 0.6187059 52.4451522)",2,,
521060919,False,A1065,London Road,trunk,30 mph,True,131.66,"LINESTRING (0.6204284 52.446291, 0.6210239 52.4466752, 0.6214015 52.4468994, 0.6215496 52.4469671, 0.6218633 52.4470787)",2,,
"[53141666, 53141665, 103528898, 127169973]",False,A1065,High Street,trunk,30 mph,False,295.7989999999999,"LINESTRING (0.6230116 52.4516681, 0.6231297 52.4513741, 0.6232626 52.4510281, 0.6232833 52.4509886, 0.6233183 52.4508908, 0.6233557 52.450756, 0.6233839 52.4506545, 0.6234327 52.4504221, 0.6234689 52.450201, 0.6234724 52.4501475, 0.6234802 52.4501091, 0.6235162 52.4498057, 0.6235402 52.4494981, 0.6235412 52.4494007, 0.6235407 52.4493316, 0.6235414 52.4492051, 0.6235431 52.4491231, 0.6235469 52.4490381)",2,yes,
"[103528904, 3999535]",False,A1065,High Street,trunk,30 mph,True,101.33800000000001,"LINESTRING (0.6230116 52.4516681, 0.623001 52.4517017, 0.6227906 52.452304, 0.6227758 52.4523523, 0.6227359 52.4525631)",2,,
"[103528905, 91413925]",False,,Riverside Way,residential,,True,84.16999999999999,"LINESTRING (0.6230116 52.4516681, 0.6230544 52.4516753, 0.6231049 52.4516839, 0.6231969 52.4516994, 0.6236096 52.4517501, 0.6237544 52.4518026, 0.6239257 52.4518883, 0.6240284 52.4520196)",,,
127071291,False,B1107,Thetford Road,secondary,30 mph,True,145.203,"LINESTRING (0.6270323 52.4473311, 0.6289284 52.4467231)",2,,
5118037,True,B1106,George Street,secondary,30 mph,False,21.686,"LINESTRING (0.6270323 52.4473311, 0.6269784 52.4473345, 0.6269436 52.4473214, 0.626781 52.4472267)",,,
4233463,False,B1106,Bury Road,secondary,30 mph,False,66.165,"LINESTRING (0.6248409 52.4470992, 0.624924 52.4469491, 0.6249884 52.4468192, 0.6250048 52.4467364, 0.625004 52.4466383, 0.6249922 52.4465191)",,,
521076953,False,B1106,Bury Road,secondary,30 mph,True,78.759,"LINESTRING (0.6248409 52.4470992, 0.624753 52.4472752, 0.6247092 52.4473821, 0.6246964 52.4474269, 0.6246837 52.447471, 0.6246689 52.4475644, 0.6246584 52.4476856, 0.6246483 52.4477481, 0.6246364 52.4477934)",,,
42768947,False,,Rattlers Road,unclassified,30 mph,False,92.494,"LINESTRING (0.6187059 52.4451522, 0.6188261 52.4450913, 0.6192529 52.4448748, 0.6197617 52.4446252)",,,
521060919,False,A1065,London Road,trunk,30 mph,True,172.252,"LINESTRING (0.6187059 52.4451522, 0.6188619 52.4452609, 0.6194536 52.4456626, 0.6196087 52.4457614, 0.6200866 52.446066, 0.6204284 52.446291)",2,,
126421274,False,,St Benedicts Road,residential,,False,104.113,"LINESTRING (0.6311299 52.4470383, 0.6309676 52.4467573, 0.6308905 52.4463822, 0.6308484 52.4462786, 0.6307796 52.446196, 0.6307343 52.4461416)",,,
127071291,False,B1107,Thetford Road,secondary,30 mph,False,33.195,"LINESTRING (0.6307343 52.4461416, 0.6303005 52.4462802)",2,,
126421274,False,,St Benedicts Road,residential,,True,104.113,"LINESTRING (0.6307343 52.4461416, 0.6307796 52.446196, 0.6308484 52.4462786, 0.6308905 52.4463822, 0.6309676 52.4467573, 0.6311299 52.4470383)",,,
127071291,False,B1107,Thetford Road,secondary,30 mph,False,145.203,"LINESTRING (0.6289284 52.4467231, 0.6270323 52.4473311)",2,,
127071291,False,B1107,Thetford Road,secondary,30 mph,True,105.245,"LINESTRING (0.6289284 52.4467231, 0.6292838 52.4466103, 0.6293819 52.44658, 0.6295281 52.4465374, 0.6303005 52.4462802)",2,,
491913071,False,,Knappers Way,residential,,True,182.03400000000002,"LINESTRING (0.6289284 52.4467231, 0.6289027 52.446689, 0.6288292 52.4465915, 0.6288157 52.4465261, 0.6287943 52.4462302, 0.6287675 52.4461394, 0.6287107 52.446038, 0.6286938 52.4460065, 0.6285028 52.4456496, 0.6284443 52.4455403, 0.6282763 52.4452097, 0.6282555 52.4451499)",,,
91413165,False,,Warren Close,residential,,False,129.977,"LINESTRING (0.6259455 52.4450084, 0.6259464 52.4449577, 0.6259256 52.4448546, 0.625921 52.4448187, 0.6259183 52.444797, 0.6259274 52.4447469, 0.6261679 52.4442628, 0.6263451 52.4438773)",,,
"[671305160, 91413165]",False,,Warren Close,residential,,"[False, True]",95.32000000000001,"LINESTRING (0.6259455 52.4450084, 0.6259414 52.4450534, 0.6258665 52.4452185, 0.625735 52.4455088, 0.6257021 52.4455429, 0.6256539 52.4455565, 0.6254855 52.4455475, 0.6252256 52.4455023)",,,
675865334,False,,Warren Close,residential,,False,29.979,"LINESTRING (0.6259455 52.4450084, 0.6257513 52.4449705, 0.6255233 52.444928)",,,
91413165,False,,Warren Close,residential,,True,129.977,"LINESTRING (0.6263451 52.4438773, 0.6261679 52.4442628, 0.6259274 52.4447469, 0.6259183 52.444797, 0.625921 52.4448187, 0.6259256 52.4448546, 0.6259464 52.4449577, 0.6259455 52.4450084)",,,
91413169,False,,Heath Road,residential,,False,45.819,"LINESTRING (0.6263451 52.4438773, 0.6259065 52.4437971, 0.6256956 52.4437632)",,,
91413169,False,,Heath Road,residential,,True,111.311,"LINESTRING (0.6263451 52.4438773, 0.6265755 52.4439048, 0.6266864 52.4439346, 0.6272085 52.4440707, 0.6276493 52.4441856, 0.6278742 52.444235)",,,
91413169,False,,Heath Road,residential,,False,111.31099999999999,"LINESTRING (0.6278742 52.444235, 0.6276493 52.4441856, 0.6272085 52.4440707, 0.6266864 52.4439346, 0.6265755 52.4439048, 0.6263451 52.4438773)",,,
4233463,False,B1106,Bury Road,secondary,30 mph,True,275.778,"LINESTRING (0.6256956 52.4437632, 0.625556 52.4440709, 0.6255556 52.4440718, 0.6252065 52.444815, 0.6251704 52.4448909, 0.6248414 52.4456297, 0.6247874 52.4457679, 0.6247804 52.4458255, 0.6247851 52.4459232, 0.6247997 52.4460167, 0.6248176 52.4460878, 0.6248487 52.4461644)",,,
91413169,False,,Heath Road,residential,,True,45.819,"LINESTRING (0.6256956 52.4437632, 0.6259065 52.4437971, 0.6263451 52.4438773)",,,
91413180,False,,Coulson Lane,residential,,False,50.486,"LINESTRING (0.6214682 52.4487684, 0.6217455 52.448347)",,,yes
91413180,False,,Coulson Lane,residential,,True,50.486,"LINESTRING (0.6217455 52.448347, 0.6214682 52.4487684)",,,yes
91413180,False,,Coulson Lane,residential,,False,29.264,"LINESTRING (0.6217455 52.448347, 0.6217725 52.4482727, 0.6217966 52.4481722, 0.6217954 52.4480867)",,,yes
91413183,False,,Gentle Court,residential,,True,51.858000000000004,"LINESTRING (0.6217455 52.448347, 0.6222486 52.4484647, 0.6224701 52.448493)",,,
