osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,junction,bridge
154145417,Victoria Road,tertiary,False,False,93.674,"LINESTRING (-1.2168132 54.6853097, -1.2162766 54.6853089, -1.2160516 54.6853081, -1.2159506 54.6853103, -1.2158104 54.6853126, -1.2153562 54.6853202)",,,,,
154145421,York Road,secondary,False,False,52.998000000000005,"LINESTRING (-1.2168132 54.6853097, -1.216793 54.6856959, -1.2167881 54.6857861)",2,B1277,30 mph,,
636625956,York Road,secondary,False,True,274.23800000000006,"LINESTRING (-1.2168132 54.6853097, -1.2168578 54.6848084, -1.2168463 54.6847184, -1.2168187 54.6845772, -1.2167849 54.6843463, -1.2167589 54.683965, -1.216762 54.6837871, -1.2167624 54.6837643, -1.2167632 54.683722, -1.2167702 54.6833264, -1.216759 54.6831832, -1.2167523 54.6829388, -1.2167478 54.6828466)",2,B1277,30 mph,,
4475429,Hucklehoven Way,tertiary,False,False,12.321,"LINESTRING (-1.211132 54.6825994, -1.2109444 54.6825767)",2,,30 mph,,
218873629,Stockton Street,trunk,True,False,322.4549999999999,"LINESTRING (-1.211132 54.6825994, -1.2111408 54.6827686, -1.211164 54.6829387, -1.2112147 54.6832732, -1.2112789 54.6836486, -1.2113131 54.6838535, -1.2113396 54.6841145, -1.2113521 54.6843504, -1.2113541 54.684604, -1.2113486 54.6850248, -1.211358 54.6852295, -1.2113754 54.6852993, -1.2114639 54.6854864)",2,A689,30 mph,,
786299427,Park Road,tertiary,False,True,76.282,"LINESTRING (-1.211132 54.6825994, -1.2112649 54.6825969, -1.212317 54.6825634)",2,,30 mph,,
4475418,,trunk_link,False,False,10.225,"LINESTRING (-1.2114639 54.6854864, -1.2113075 54.6855032)",,,,,
"[4449618, 301418422, 301418423]",Stockton Street,trunk,True,False,114.751,"LINESTRING (-1.2114639 54.6854864, -1.2115061 54.6856087, -1.2115015 54.6857205, -1.2114848 54.6857977, -1.2113915 54.6860109, -1.2113345 54.6861026, -1.2111617 54.6863487, -1.211041 54.6864639)","['2', '3']",A689,30 mph,,
154145416,Victoria Road,tertiary,False,True,95.23700000000001,"LINESTRING (-1.2114639 54.6854864, -1.2116511 54.6854693, -1.2117696 54.6854616, -1.2120114 54.6854459, -1.2125831 54.6854224, -1.2127055 54.6854174, -1.2127253 54.6854165, -1.2129384 54.6854063)",,,,,
636625955,York Road,secondary,False,True,49.114,"LINESTRING (-1.2167135 54.682488, -1.2166708 54.682047)",3,B1277,30 mph,,
