osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,junction
26185281,2,Butts Hill Road,tertiary,30 mph,False,True,80.02600000000001,"LINESTRING (-0.8978462 51.454243, -0.8978175 51.4548109, -0.8978205 51.4549624)",
423951008,2,Headley Road,tertiary,30 mph,True,False,44.812000000000005,"LINESTRING (-0.8978462 51.454243, -0.8977269 51.4542147, -0.8976255 51.454124, -0.8975197 51.4540102, -0.8975211 51.4539288)",roundabout
297777856,2,Headley Road,tertiary,30 mph,True,False,20.332,"LINESTRING (-0.8975211 51.4539288, -0.8975785 51.4538779, -0.8977624 51.4538402)",roundabout
220462454,2,Loddon Bridge Road,tertiary,30 mph,False,True,142.607,"LINESTRING (-0.8977624 51.4538402, -0.8977717 51.453794, -0.8977821 51.4537429, -0.8977403 51.4533457, -0.8976717 51.4525605)",
297777856,2,Headley Road,tertiary,30 mph,True,False,39.392,"LINESTRING (-0.8977624 51.4538402, -0.8978852 51.4538895, -0.8979868 51.4539731, -0.8980393 51.4540243, -0.8980676 51.4541203)",roundabout
8260916,2,Headley Road,tertiary,30 mph,True,False,22.323,"LINESTRING (-0.8980676 51.4541203, -0.898022 51.4541906, -0.8979519 51.4542277, -0.8978462 51.454243)",roundabout
10041669,2,Headley Road,tertiary,30 mph,False,False,235.12800000000001,"LINESTRING (-0.8980676 51.4541203, -0.8984855 51.4542002, -0.8985894 51.454212, -0.8986769 51.4542209, -0.899125 51.4542459, -0.8996886 51.4542468, -0.9000626 51.4542187, -0.9004596 51.4541774, -0.9014157 51.4540781)",
37227831,,Reading Road,tertiary,30 mph,False,False,168.572,"LINESTRING (-0.9115751 51.4575277, -0.9096255 51.4567601, -0.9095138 51.4567227)",
36973103,,,residential,,False,True,68.616,"LINESTRING (-0.9095138 51.4567227, -0.9089073 51.4567008, -0.9087554 51.4567082, -0.9085316 51.4567424)",
37227831,,Reading Road,tertiary,30 mph,False,True,168.572,"LINESTRING (-0.9095138 51.4567227, -0.9096255 51.4567601, -0.9115751 51.4575277)",
86342034,2,Reading Road,tertiary,30 mph,False,False,244.226,"LINESTRING (-0.9095138 51.4567227, -0.909429 51.4566663, -0.9091476 51.4564247, -0.9074549 51.4549408)",
8125848,,Crockhamwell Road,tertiary,30 mph,False,False,74.229,"LINESTRING (-0.9064391 51.4499924, -0.9064447 51.4500733, -0.906426 51.4502743, -0.9063789 51.4504806, -0.9063263 51.4506544)",
8125848,,Crockhamwell Road,tertiary,30 mph,False,True,126.13100000000001,"LINESTRING (-0.9064391 51.4499924, -0.9064203 51.449916, -0.906367 51.4498067, -0.9062888 51.4497137, -0.9061819 51.4496079, -0.9060215 51.4494787, -0.9057286 51.4492434, -0.9054628 51.449054)",
