osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,width,access,bridge
5107487,A674,King Street,primary,30 mph,False,True,22.767,"LINESTRING (-2.4886312 53.74562, -2.4889002 53.7454911)",,,,
294434651,,,primary_link,30 mph,True,False,48.431,"LINESTRING (-2.4886312 53.74562, -2.4886606 53.7457046, -2.4886072 53.7457656, -2.4885745 53.7458424, -2.4885894 53.7460435)",,,,
294435007,A674,King Street,primary,30 mph,False,True,23.750999999999998,"LINESTRING (-2.4886312 53.74562, -2.4885793 53.7456443, -2.4885208 53.7456716, -2.4884623 53.745699, -2.4883518 53.7457553)",,,,
415657327,,St Peter Street,unclassified,30 mph,False,False,22.13,"LINESTRING (-2.4864887 53.7451632, -2.4867395 53.7450305)",,,,
4532593,,Freckleton Street,unclassified,30 mph,True,False,59.012,"LINESTRING (-2.4864887 53.7451632, -2.4866652 53.7453601, -2.4867417 53.7454262, -2.4869486 53.7456183)",,,,
34096318,,Mincing Lane,unclassified,30 mph,True,False,55.838,"LINESTRING (-2.4837994 53.746437, -2.4840251 53.7466649, -2.4842286 53.7468703)",1,,,
34096320,,St Peter Street,unclassified,30 mph,True,False,226.599,"LINESTRING (-2.4837994 53.746437, -2.4850294 53.7458676, -2.4856022 53.7456024, -2.4856994 53.745555, -2.4858724 53.7454685, -2.4858826 53.7454635, -2.4859176 53.7454461, -2.4864887 53.7451632)",,,,
4500259,,Mill Lane,unclassified,30 mph,False,True,73.918,"LINESTRING (-2.483366 53.7459652, -2.4822638 53.7460958)",,,,
34096309,,Mincing Lane,unclassified,30 mph,True,False,59.703,"LINESTRING (-2.483366 53.7459652, -2.4837994 53.746437)",,,,
4532595,,Mill Lane,unclassified,30 mph,False,False,47.663000000000004,"LINESTRING (-2.483366 53.7459652, -2.4834215 53.7459465, -2.4839494 53.7457113)",,,,
4575656,,Freckleton Street,unclassified,30 mph,False,True,72.868,"LINESTRING (-2.4869486 53.7456183, -2.4874546 53.7460594, -2.4875922 53.7461507)",,,,
7975588,,Heaton Street,unclassified,30 mph,False,False,94.181,"LINESTRING (-2.4869486 53.7456183, -2.486146 53.7459278, -2.4861172 53.7459485, -2.4861288 53.7459927, -2.4863545 53.7461533)",,,,
4500259,,Mill Lane,unclassified,30 mph,False,False,73.918,"LINESTRING (-2.4822638 53.7460958, -2.483366 53.7459652)",,,,
4532597,,Jubilee Street,unclassified,20 mph,False,False,33.303,"LINESTRING (-2.4822638 53.7460958, -2.4817657 53.74615)",,,,
"[34095848, 1190366690]",,Darwen Street,unclassified,30 mph,True,False,102.93700000000001,"LINESTRING (-2.4822638 53.7460958, -2.4823085 53.7455707, -2.4823117 53.7455335, -2.4823578 53.7451718)",,8,,
4500257,,Darwen Street,unclassified,30 mph,True,False,64.628,"LINESTRING (-2.4826294 53.7466353, -2.4822638 53.7460958)",,,,
4500252,,St Peter Street,unclassified,30 mph,True,False,80.033,"LINESTRING (-2.4826294 53.7466353, -2.4834919 53.7464891, -2.4837994 53.746437)",2,,,
34851194,,Vernon Street,unclassified,30 mph,False,False,84.11,"LINESTRING (-2.4839494 53.7457113, -2.4833596 53.7450401)",,,,
4532595,,Mill Lane,unclassified,30 mph,False,True,47.663000000000004,"LINESTRING (-2.4839494 53.7457113, -2.4834215 53.7459465, -2.483366 53.7459652)",,,,
888618839,,Mincing Lane,unclassified,30 mph,True,False,18.243,"LINESTRING (-2.4823578 53.7451718, -2.4826352 53.7451739)",1,4,,
1217063656,,Darwen Street,unclassified,30 mph,True,False,30.902,"LINESTRING (-2.4823578 53.7451718, -2.4823937 53.7448947)",1,,,
4565435,,George Street,unclassified,30 mph,True,False,31.751,"LINESTRING (-2.4818758 53.745155, -2.4823578 53.7451718)",,,,
4622288,,Pilkington Street,unclassified,30 mph,False,True,111.13799999999999,"LINESTRING (-2.4818758 53.745155, -2.4817789 53.7457632, -2.4817428 53.7460624, -2.4817657 53.74615)",,,,
4575639,,,unclassified,30 mph,False,False,14.73,"LINESTRING (-2.4776083 53.7486084, -2.4778323 53.7486064)",,,,
234941827,,King Street,unclassified,30 mph,True,False,59.981,"LINESTRING (-2.4875922 53.7461507, -2.4868575 53.7464704)",,,,
294435501,,Prince's Street,unclassified,,True,False,47.623,"LINESTRING (-2.4875922 53.7461507, -2.487976 53.7465139)",,,,
4575654,,King Street,unclassified,30 mph,False,True,55.413,"LINESTRING (-2.4875922 53.7461507, -2.4876785 53.7460982, -2.4877699 53.7460518, -2.4879678 53.7459526, -2.4880169 53.7459279, -2.4880574 53.7459076, -2.4882247 53.7458218)",,,,
4575656,,Freckleton Street,unclassified,30 mph,False,False,72.868,"LINESTRING (-2.4875922 53.7461507, -2.4874546 53.7460594, -2.4869486 53.7456183)",,,,
5216525,A6078,Montague Street,trunk,30 mph,False,False,93.99100000000001,"LINESTRING (-2.4895354 53.7470092, -2.4896774 53.7471572, -2.4897971 53.7472819, -2.4899617 53.7474348, -2.4900116 53.7474801, -2.4902851 53.7477285)",,,,
5216526,,Feilden Street,unclassified,30 mph,False,False,54.905,"LINESTRING (-2.4895354 53.7470092, -2.4893434 53.7470636, -2.4887843 53.7472249)",,,,
294435006,A6078,Montague Street,trunk,30 mph,False,True,124.126,"LINESTRING (-2.4895354 53.7470092, -2.4894227 53.7469013, -2.4893515 53.7468257, -2.4887177 53.7461615, -2.4886748 53.7461225, -2.4885894 53.7460435)",,,,
4532597,,Jubilee Street,unclassified,20 mph,False,True,33.303,"LINESTRING (-2.4817657 53.74615, -2.4822638 53.7460958)",,,,
4532597,,Jubilee Street,unclassified,20 mph,False,False,63.094,"LINESTRING (-2.4817657 53.74615, -2.4812842 53.7462166, -2.4811413 53.7462368, -2.4810693 53.746248, -2.4808305 53.7462766)",,,,
4622288,,Pilkington Street,unclassified,30 mph,False,False,111.138,"LINESTRING (-2.4817657 53.74615, -2.4817428 53.7460624, -2.4817789 53.7457632, -2.4818758 53.745155)",,,,
5216528,,Northgate,unclassified,,False,False,50.146,"LINESTRING (-2.4859396 53.7500033, -2.4860491 53.7504496)",2,,,
5216529,,Duke Street,unclassified,30 mph,False,False,130.14000000000001,"LINESTRING (-2.4859396 53.7500033, -2.4860774 53.7499874, -2.4868769 53.7498952, -2.4869649 53.7498727, -2.4870756 53.7497767, -2.4874936 53.7494214)",2,,,
721871753,A677,Preston New Road,primary,30 mph,False,True,90.768,"LINESTRING (-2.4911807 53.7521615, -2.4901507 53.7520994, -2.4898129 53.7520573)",2,,,
34096135,A6078,Barbara Castle Way,trunk,30 mph,True,False,9.309,"LINESTRING (-2.4777964 53.7508205, -2.4779204 53.7508609)",,,,
1082733810,,Penny Street,unclassified,30 mph,True,False,21.412999999999997,"LINESTRING (-2.4777964 53.7508205, -2.4778321 53.7507737, -2.4778534 53.7507476, -2.4779556 53.750653)",,,,
128228204,,Charlotte Street,residential,,False,False,14.91,"LINESTRING (-2.4823772 53.7519454, -2.4825123 53.7520531)",,,,
1092320468,,Victoria Street,unclassified,20 mph,False,True,30.945,"LINESTRING (-2.4823772 53.7519454, -2.4824483 53.7516703)",,,,
