osmid,lanes,ref,highway,maxspeed,oneway,reversed,length,geometry,bridge,junction,name
33786508,2,B4275,secondary,20 mph,False,False,118.349,"LINESTRING (-3.3244731 51.6456354, -3.3244121 51.6455057, -3.3243971 51.6453934, -3.3244297 51.6452307, -3.3244759 51.6451309, -3.3245569 51.6450329, -3.3247177 51.6448095, -3.3247244 51.6448002, -3.3247662 51.6446969, -3.324776 51.6446199)",,,
"[549590858, 256133245, 256133247]",,B4275,secondary,20 mph,False,True,146.651,"LINESTRING (-3.3244731 51.6456354, -3.3245639 51.6457535, -3.3249474 51.6460177, -3.3251252 51.6461327, -3.3251656 51.6462067, -3.325167 51.6463194, -3.3251867 51.6464318, -3.3252108 51.6465694, -3.3252248 51.6466775, -3.3252778 51.6467953)",yes,,
23862861,2,B4275,secondary,20 mph,False,True,226.119,"LINESTRING (-3.3252104 51.6432999, -3.3258069 51.6424253, -3.3261797 51.6419435, -3.3264077 51.6416969, -3.3266634 51.6414846)",,,
"[68417425, 68417421, 23862863]",2,B4275,secondary,40 mph,False,False,136.703,"LINESTRING (-3.3252104 51.6432999, -3.3250876 51.6432386, -3.3249763 51.6431573, -3.3249231 51.6430827, -3.3248818 51.6429907, -3.3248405 51.6428786, -3.3247939 51.6427783, -3.3247419 51.6426912, -3.3245665 51.6424901, -3.3242803 51.6422398)",yes,,
111294105,2,B4275,secondary,20 mph,False,True,150.85,"LINESTRING (-3.3252104 51.6432999, -3.3250239 51.6436183, -3.3249094 51.6438649, -3.3248362 51.6440788, -3.324806 51.6442611, -3.324776 51.6446199)",,,
"[68417425, 68417421, 23862863]",2,B4275,secondary,40 mph,False,True,136.703,"LINESTRING (-3.3242803 51.6422398, -3.3245665 51.6424901, -3.3247419 51.6426912, -3.3247939 51.6427783, -3.3248405 51.6428786, -3.3248818 51.6429907, -3.3249231 51.6430827, -3.3249763 51.6431573, -3.3250876 51.6432386, -3.3252104 51.6432999)",yes,,
"[139160888, 948638627, 948638628]","['2', '3']",A4054,primary,40 mph,False,True,140.555,"LINESTRING (-3.3242803 51.6422398, -3.3232116 51.6429241, -3.3231067 51.6429912, -3.3228627 51.6431475)",,,
23862859,,,secondary,20 mph,True,False,4.943,"LINESTRING (-3.3271443 51.6409851, -3.3272012 51.6410121)",,roundabout,
40127064,,,unclassified,,False,False,183.89899999999997,"LINESTRING (-3.3283272 51.641276, -3.3283364 51.6413046, -3.3283488 51.6413486, -3.3283688 51.6414136, -3.328377 51.6415135, -3.3283526 51.6415916, -3.3283179 51.6416536, -3.3282425 51.6417167, -3.3281408 51.6417817, -3.3279852 51.6418706, -3.3278881 51.6419318, -3.3277502 51.6420048, -3.3275592 51.6421059, -3.3271933 51.6423172, -3.327026 51.6424138, -3.3269508 51.6424649, -3.3269079 51.6425025, -3.3268771 51.6425452)",,,
1236166161,,,unclassified,,False,True,214.00400000000002,"LINESTRING (-3.3283272 51.641276, -3.3284658 51.641254, -3.3285783 51.641209, -3.3286507 51.6411641, -3.3287493 51.6410733, -3.328871 51.640927, -3.3289603 51.6407779, -3.3289989 51.6406108, -3.3290019 51.6405037, -3.3289865 51.640389, -3.3289249 51.640259, -3.3288263 51.6401003, -3.3287918 51.640069, -3.3285275 51.6398288, -3.3284258 51.6397236, -3.328358 51.6396242)",,,
1236166163,,,unclassified,,False,True,41.939,"LINESTRING (-3.3283272 51.641276, -3.3281781 51.6412744, -3.3280405 51.6412526, -3.3277407 51.6411894)",,,
23862861,2,B4275,secondary,20 mph,False,False,226.11899999999997,"LINESTRING (-3.3266634 51.6414846, -3.3264077 51.6416969, -3.3261797 51.6419435, -3.3258069 51.6424253, -3.3252104 51.6432999)",,,
