osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,bridge,tunnel
30727258,Victoria Avenue,residential,40 mph,False,True,9.792,"LINESTRING (1.3426341 51.3803546, 1.3426214 51.3804423)",,,,
30727259,Victoria Avenue,residential,30 mph,False,False,209.55,"LINESTRING (1.3426341 51.3803546, 1.3426251 51.3802614, 1.3425906 51.3799045, 1.3425286 51.3791526, 1.3424824 51.3784725)",,,,
147963752,Canterbury Road,trunk,40 mph,True,False,49.443999999999996,"LINESTRING (1.3426341 51.3803546, 1.342175 51.3803037, 1.3419401 51.3802578)",2,A28,,
4590664,Saxon Road,residential,30 mph,False,True,134.044,"LINESTRING (1.3437103 51.3820165, 1.3435994 51.38322)",,,,
4590649,Station Road,residential,30 mph,False,False,86.08500000000001,"LINESTRING (1.3437103 51.3820165, 1.3431637 51.3819668, 1.3424969 51.3818609)",,,,
4590649,Station Road,residential,30 mph,False,False,48.501,"LINESTRING (1.3424969 51.3818609, 1.3419165 51.3817614, 1.3418206 51.3817525)",,,,
4590649,Station Road,residential,30 mph,False,True,86.08500000000001,"LINESTRING (1.3424969 51.3818609, 1.3431637 51.3819668, 1.3437103 51.3820165)",,,,
4590650,Edith Road,residential,30 mph,False,True,165.35,"LINESTRING (1.3424969 51.3818609, 1.3424092 51.3828781, 1.3423844 51.3833462)",,,,
881170869,St. Mildreds Road,tertiary,30 mph,False,True,12.137,"LINESTRING (1.3371431 51.3815296, 1.3370926 51.3816341)",,,,
"[4592793, 4592794, 607951332]",St. Mildreds Road,tertiary,30 mph,False,False,63.815000000000005,"LINESTRING (1.3371431 51.3815296, 1.3372929 51.381242, 1.3373617 51.3811219, 1.3374382 51.3809861)",2,,yes,
881170868,Station Road,unclassified,30 mph,False,True,18.680999999999997,"LINESTRING (1.3371431 51.3815296, 1.337291 51.3815422, 1.3374029 51.3815153)",2,,,
4590648,Roxburgh Road,residential,30 mph,False,False,182.855,"LINESTRING (1.3417263 51.3833959, 1.3418206 51.3817525)",,,,
607951333,Westgate Bay Avenue,tertiary,30 mph,False,True,6.561,"LINESTRING (1.3417263 51.3833959, 1.3416321 51.3833909)",2,,,
168550808,Westgate Bay Avenue,tertiary,30 mph,False,False,46.004999999999995,"LINESTRING (1.3417263 51.3833959, 1.3420452 51.3833733, 1.3423844 51.3833462)",2,,,
168550808,Westgate Bay Avenue,tertiary,30 mph,False,False,22.591,"LINESTRING (1.3423844 51.3833462, 1.3427071 51.3833195)",2,,,
4590650,Edith Road,residential,30 mph,False,False,165.35,"LINESTRING (1.3423844 51.3833462, 1.3424092 51.3828781, 1.3424969 51.3818609)",,,,
168550808,Westgate Bay Avenue,tertiary,30 mph,False,True,46.004999999999995,"LINESTRING (1.3423844 51.3833462, 1.3420452 51.3833733, 1.3417263 51.3833959)",2,,,
4590653,Sussex Gardens,residential,30 mph,False,False,63.573,"LINESTRING (1.3427071 51.3833195, 1.3427262 51.3838911)",,,,
168550808,Westgate Bay Avenue,tertiary,30 mph,False,False,62.904,"LINESTRING (1.3427071 51.3833195, 1.3435994 51.38322)",2,,,
168550808,Westgate Bay Avenue,tertiary,30 mph,False,True,22.591,"LINESTRING (1.3427071 51.3833195, 1.3423844 51.3833462)",2,,,
4590653,Sussex Gardens,residential,30 mph,False,True,63.573,"LINESTRING (1.3427262 51.3838911, 1.3427071 51.3833195)",,,,
"[4590657, 4590653, 4590654]","[""St Mildred's Gardens"", 'Sussex Gardens', 'Beach Road']",residential,30 mph,False,False,243.757,"LINESTRING (1.3427262 51.3838911, 1.3427257 51.3840406, 1.3427239 51.384617, 1.3434939 51.3846827, 1.3437527 51.384696, 1.3440761 51.3846997, 1.3440803 51.3842563, 1.3440811 51.3840824)",,,,
"[4590656, 147963772]",Waterside Drive,residential,30 mph,False,False,60.61699999999999,"LINESTRING (1.3427262 51.3838911, 1.3431064 51.3839139, 1.3432512 51.3839089, 1.3433684 51.3838994, 1.3435098 51.3838846, 1.343512 51.3838316)",,,,
4590654,Beach Road,residential,30 mph,False,False,100.544,"LINESTRING (1.3440811 51.3840824, 1.3440746 51.3831782)",,,,
