osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,access,tunnel,junction
"[537114033, 26417543]","['2', '3']",A5284,Stricklandgate,trunk,30 mph,False,False,73.79899999999999,"LINESTRING (-2.7493223 54.3319978, -2.7490857 54.3319096, -2.7488983 54.3318167, -2.7485514 54.3316228, -2.7484601 54.3315681)",,,,
"[537114034, 556316173]",2,A5284,Windermere Road,trunk,30 mph,False,True,43.629,"LINESTRING (-2.7493223 54.3319978, -2.7495855 54.332061, -2.7496342 54.3320708, -2.7499525 54.3321349)",,,,
"[537114036, 8117438]",2,,Burneside Road,tertiary,30 mph,False,True,101.148,"LINESTRING (-2.7493223 54.3319978, -2.7493289 54.3321028, -2.7493323 54.3321352, -2.7493664 54.3324056, -2.7493755 54.3325397, -2.7494005 54.3329062)",,,,
556316175,2,A5284,Windermere Road,trunk,30 mph,False,False,5.001,"LINESTRING (-2.7532617 54.3328213, -2.7531876 54.3328088)",,,,
34067537,2,,Queens Road,residential,20 mph,False,False,175.132,"LINESTRING (-2.7532617 54.3328213, -2.7532689 54.3327763, -2.7532661 54.3327511, -2.7532379 54.3326355, -2.7531734 54.3324146, -2.7531309 54.3323186, -2.7530564 54.3321277, -2.7530214 54.3320755, -2.7527071 54.3318387, -2.7526375 54.3317746, -2.7525991 54.3317162, -2.7525777 54.3316555, -2.7525749 54.3316135, -2.7525889 54.3315715, -2.7526632 54.3314416, -2.7526985 54.3313528)",,,,
49565672,,,Greenside,tertiary,30 mph,False,False,7.364,"LINESTRING (-2.7546278 54.3250971, -2.7545148 54.3251037)",,,,
49798739,,,High Tenterfell,residential,20 mph,False,True,96.631,"LINESTRING (-2.7546278 54.3250971, -2.7546393 54.3251302, -2.7546585 54.3252252, -2.7546474 54.3253254, -2.7544446 54.3257332, -2.75432 54.3259351)",,,,
"[5535939, 480453550]","['2', '3']",A6,Sandes Avenue,trunk,30 mph,False,False,68.28,"LINESTRING (-2.7473807 54.3303984, -2.7472817 54.3303878, -2.7470984 54.3304211, -2.7468821 54.3304603, -2.7466101 54.3305131, -2.7463748 54.3305574)",,,,
8117425,,,Maude Street,residential,30 mph,False,True,119.258,"LINESTRING (-2.7473807 54.3303984, -2.7474928 54.3303875, -2.748073 54.3303208, -2.7486335 54.3302623, -2.7487008 54.3302553, -2.7491112 54.3302119, -2.7491877 54.3301995)",,,,
"[8117426, 26417562]",2,,"['Library Road', 'Stricklandgate']",unclassified,20 mph,False,False,282.9899999999999,"LINESTRING (-2.7473807 54.3303984, -2.7474075 54.3303422, -2.7473808 54.3299863, -2.7473714 54.3299061, -2.7473652 54.3298612, -2.7473515 54.3297333, -2.7473252 54.3295252, -2.7473022 54.3293539, -2.7473105 54.3293309, -2.7473355 54.3293183, -2.7477742 54.3293172, -2.7479772 54.3293197, -2.7480985 54.3293204, -2.748224 54.3293217, -2.7484778 54.3293236, -2.7486071 54.3293235, -2.7486579 54.329319, -2.7486931 54.329307, -2.748725 54.3292885, -2.7487477 54.3292672, -2.7487584 54.3292494, -2.7487621 54.3292274, -2.7487698 54.3291414, -2.7487536 54.3289959, -2.748748 54.3289294, -2.7487448 54.3288833, -2.748732 54.3287491, -2.7487237 54.3286623)",,,,
"[537114032, 489538324, 537114031]","['2', '3']",A5284,Stricklandgate,trunk,30 mph,False,True,149.947,"LINESTRING (-2.7473807 54.3303984, -2.7474341 54.3304407, -2.7475344 54.330628, -2.7476235 54.3307727, -2.7476881 54.3308745, -2.7478037 54.331063, -2.7479711 54.3312348, -2.7480159 54.3312715, -2.7481353 54.3313692, -2.7482858 54.3314637, -2.7484601 54.3315681)",,,,
"[10366256, 489826594, 26417752, 10366253]","['2', '3']",A6,Sandes Avenue,trunk,30 mph,False,False,168.13300000000004,"LINESTRING (-2.7457503 54.3306737, -2.7456068 54.3307, -2.745553 54.3307099, -2.7449549 54.3308221, -2.7448372 54.330844, -2.7447067 54.3308642, -2.7439791 54.3309771, -2.7439529 54.3309813, -2.7434138 54.3311395, -2.7433119 54.3311716)",yes,,,
"[549058017, 549058018, 781987265, 785230124, 786598256, 480441588, 480441589, 480441590, 512910009]","['2', '4', '3']",A6,Blackhall Road,trunk,30 mph,False,True,247.39999999999998,"LINESTRING (-2.7457503 54.3306737, -2.7456752 54.3305219, -2.7456635 54.3304924, -2.7456451 54.330454, -2.7455277 54.3302091, -2.7454777 54.3301202, -2.7454438 54.3300598, -2.7453248 54.3298482, -2.7452588 54.3297274, -2.7451935 54.32963, -2.7451797 54.3296094, -2.7451269 54.3295533, -2.745069 54.3294917, -2.74501 54.3294334, -2.7449605 54.3293927, -2.7449284 54.3293675, -2.7448392 54.3292974, -2.744751 54.3292281, -2.7445506 54.329073, -2.7443315 54.3289168, -2.7440897 54.3287444, -2.7440532 54.3287183)",,,,
480453550,3,A6,Sandes Avenue,trunk,30 mph,False,True,42.507000000000005,"LINESTRING (-2.7457503 54.3306737, -2.7457973 54.3306647, -2.7458389 54.3306572, -2.7458739 54.3306507, -2.7463748 54.3305574)",,,,
"[537114009, 49436846]","['2', '3']",,Busher Walk,residential,30 mph,False,False,68.467,"LINESTRING (-2.7484601 54.3315681, -2.7484254 54.331591, -2.7483449 54.3316498, -2.7482831 54.3317001, -2.7481609 54.3318072, -2.7477249 54.3320006)",,,,
"[537114032, 489538324, 537114031]","['2', '3']",A5284,Stricklandgate,trunk,30 mph,False,False,149.947,"LINESTRING (-2.7484601 54.3315681, -2.7482858 54.3314637, -2.7481353 54.3313692, -2.7480159 54.3312715, -2.7479711 54.3312348, -2.7478037 54.331063, -2.7476881 54.3308745, -2.7476235 54.3307727, -2.7475344 54.330628, -2.7474341 54.3304407, -2.7473807 54.3303984)",,,,
"[537114033, 26417543]","['2', '3']",A5284,Stricklandgate,trunk,30 mph,False,True,73.799,"LINESTRING (-2.7484601 54.3315681, -2.7485514 54.3316228, -2.7488983 54.3318167, -2.7490857 54.3319096, -2.7493223 54.3319978)",,,,
49213269,1,A6,Blackhall Road,trunk,30 mph,True,False,8.059,"LINESTRING (-2.7439745 54.3286622, -2.7440532 54.3287183)",,,,
"[8117434, 8117435]","['1', '2']",,"['Stramongate', 'Kent Street']",unclassified,30 mph,True,False,166.134,"LINESTRING (-2.7439745 54.3286622, -2.7440793 54.3285903, -2.7444293 54.3283779, -2.7446666 54.3282588, -2.7448039 54.3282008, -2.7450616 54.3280918, -2.7451836 54.3280399, -2.7451999 54.3280167, -2.7452023 54.3279983, -2.7451988 54.3279799, -2.7451906 54.3279643, -2.7450377 54.3278125, -2.7448057 54.3276422, -2.7447287 54.3275783)",,,,
