osmid,lanes,ref,highway,maxspeed,oneway,reversed,length,bridge,geometry,name,access,tunnel
833531341,2,A346,trunk,30 mph,False,False,22.988,,"LINESTRING (-1.7245733 51.4194216, -1.7246723 51.4192243)",,,
"[1098285192, 833531340, 833531341, 1098285190]",2,A346,trunk,"['20 mph', '30 mph']",False,True,100.39500000000001,yes,"LINESTRING (-1.7245733 51.4194216, -1.7246803 51.4194565, -1.7248026 51.4195315, -1.7249406 51.419653, -1.7250218 51.4197442, -1.7251386 51.4198754, -1.7251745 51.4199157, -1.725284 51.4200315, -1.7254166 51.4201405)",,,
1222024427,2,A4,primary,30 mph,False,False,287.871,,"LINESTRING (-1.7245733 51.4194216, -1.7244058 51.41942, -1.7239684 51.419439, -1.7235733 51.4194915, -1.7227907 51.4196459, -1.7225769 51.4196891, -1.722559 51.4196928, -1.7213652 51.4199383, -1.7212881 51.4199568, -1.721026 51.420008, -1.7207383 51.4200612, -1.7205823 51.42009)",London Road,,
5006087,2,A346,trunk,20 mph,False,True,99.58099999999999,,"LINESTRING (-1.7274 51.4212458, -1.7273659 51.42129, -1.7273482 51.4213196, -1.7273365 51.4213649, -1.7273403 51.4214207, -1.7273597 51.4214696, -1.7273663 51.4214811, -1.7274088 51.4215551, -1.7274543 51.4216298, -1.7275199 51.4217298, -1.7275914 51.4218305, -1.7277727 51.42208)",Barn Street,,
156348594,2,A4,primary,20 mph,False,False,114.90099999999998,,"LINESTRING (-1.7274 51.4212458, -1.7276158 51.4212763, -1.7278303 51.4213335, -1.7278852 51.421351, -1.7283273 51.4214918, -1.7286649 51.4215283, -1.7289667 51.421529)",New Road,,
1098282467,2,A346,trunk,20 mph,False,False,26.203,,"LINESTRING (-1.7274 51.4212458, -1.7273545 51.4211991, -1.7272038 51.4210444)",,,
22932213,,,residential,20 mph,False,True,39.736,,"LINESTRING (-1.7277727 51.42208, -1.728244 51.4218767)",Oxford Street,,
5006087,2,A346,trunk,20 mph,False,False,99.581,,"LINESTRING (-1.7277727 51.42208, -1.7275914 51.4218305, -1.7275199 51.4217298, -1.7274543 51.4216298, -1.7274088 51.4215551, -1.7273663 51.4214811, -1.7273597 51.4214696, -1.7273403 51.4214207, -1.7273365 51.4213649, -1.7273482 51.4213196, -1.7273659 51.42129, -1.7274 51.4212458)",Barn Street,,
18809366,,,residential,20 mph,False,False,37.524,,"LINESTRING (-1.7277727 51.42208, -1.7276429 51.4220958, -1.7274622 51.4221539, -1.7274135 51.4222057, -1.7273978 51.4222565, -1.7273945 51.4222728)",The Green,,
142389693,2,A346,trunk,20 mph,False,True,56.901,,"LINESTRING (-1.7277727 51.42208, -1.7279036 51.4222532, -1.727983 51.4223522, -1.7280654 51.4224455, -1.7281547 51.4225322)",,,
833531341,2,A346,trunk,30 mph,False,True,22.988,,"LINESTRING (-1.7246723 51.4192243, -1.7245733 51.4194216)",,,
4064154,2,B3052,secondary,30 mph,False,False,110.05700000000002,,"LINESTRING (-1.7246723 51.4192243, -1.7247665 51.4192176, -1.7252247 51.4191215, -1.7258033 51.4190038, -1.7261466 51.4189148, -1.7261706 51.4189052)",George Lane,,
"[23104693, 1098285191]",2,A346,trunk,30 mph,False,False,48.076,,"LINESTRING (-1.7246723 51.4192243, -1.7246422 51.4191663, -1.7245776 51.4190297, -1.7244643 51.4188119)",Salisbury Road,,
5006086,2,A346,trunk,20 mph,False,False,7.2509999999999994,,"LINESTRING (-1.7272038 51.4210444, -1.7271719 51.4210226, -1.7271284 51.4209994)",,,
"[28592696, 28592697]",,,residential,20 mph,False,True,90.315,,"LINESTRING (-1.7272038 51.4210444, -1.7269156 51.4211289, -1.7266621 51.4212154, -1.7266414 51.4212225, -1.7265328 51.4212635, -1.7264618 51.4212857, -1.7264213 51.4212898, -1.7263957 51.4212915, -1.7263751 51.4212831, -1.7262644 51.4211649, -1.7261422 51.4212235)","['Wye Lane', 'Orchard Close']",,
1098282467,2,A346,trunk,20 mph,False,True,26.203,,"LINESTRING (-1.7272038 51.4210444, -1.7273545 51.4211991, -1.7274 51.4212458)",,,
5006086,2,A346,trunk,20 mph,False,True,55.391000000000005,,"LINESTRING (-1.7254166 51.4201405, -1.7256199 51.4203195, -1.7258205 51.4204486, -1.7259406 51.4205134)",,,
