osmid,name,highway,maxspeed,oneway,reversed,length,lanes,ref,geometry,junction,bridge
1101819583,Dodds Lane,residential,40 mph,False,False,18.464,,,"LINESTRING (-2.9386665 53.5190623, -2.9389426 53.5190373)",,
271724858,Northway,trunk,40 mph,True,False,311.91299999999995,2,A59,"LINESTRING (-2.9386665 53.5190623, -2.9392681 53.5182928, -2.9400706 53.517277, -2.9404487 53.5168215, -2.9406936 53.5165295)",,
1101819583,Dodds Lane,residential,40 mph,False,True,14.091999999999999,,,"LINESTRING (-2.9386665 53.5190623, -2.9385838 53.5190717, -2.9384571 53.519086)",,
551694317,Westway,primary,40 mph,False,True,15.818,,A5147,"LINESTRING (-2.9409587 53.5162132, -2.9411851 53.5162592)",,
27871976,Eastway,tertiary,30 mph,False,False,84.144,,,"LINESTRING (-2.9409587 53.5162132, -2.9407942 53.5161831, -2.940523 53.5161336, -2.9401978 53.5160858, -2.9397252 53.5160298)",,
551694317,Westway,primary,40 mph,False,False,15.818,,A5147,"LINESTRING (-2.9411851 53.5162592, -2.9409587 53.5162132)",,
138432922,Northway,trunk,40 mph,True,False,266.63300000000004,3,A59,"LINESTRING (-2.9411851 53.5162592, -2.9399045 53.5178351, -2.9394402 53.518421)",,
"[664202492, 551694317, 156338143]",Westway,primary,"['40 mph', '30 mph']",False,True,94.72500000000001,,A5147,"LINESTRING (-2.9411851 53.5162592, -2.941392 53.5163056, -2.941655 53.5163627, -2.9418188 53.516384, -2.9420171 53.5163882, -2.9422099 53.5163802, -2.9423749 53.5163629, -2.9425709 53.5163278)",,
1101819583,Dodds Lane,residential,40 mph,False,True,18.464,,,"LINESTRING (-2.9389426 53.5190373, -2.9386665 53.5190623)",,
1101819583,Dodds Lane,residential,40 mph,False,False,19.369,,,"LINESTRING (-2.9389426 53.5190373, -2.9390485 53.5190197, -2.939223 53.5189869)",,
156338143,Westway,primary,30 mph,False,True,20.316,,A5147,"LINESTRING (-2.9425709 53.5163278, -2.942852 53.516254)",,
26323219,Leighton Avenue,residential,,False,False,51.82,,,"LINESTRING (-2.9425709 53.5163278, -2.9426339 53.5164491, -2.9428588 53.5167607)",,
"[664202492, 551694317, 156338143]",Westway,primary,"['40 mph', '30 mph']",False,False,94.72500000000001,,A5147,"LINESTRING (-2.9425709 53.5163278, -2.9423749 53.5163629, -2.9422099 53.5163802, -2.9420171 53.5163882, -2.9418188 53.516384, -2.941655 53.5163627, -2.941392 53.5163056, -2.9411851 53.5162592)",,
156338144,,primary_link,30 mph,True,False,58.858,,,"LINESTRING (-2.9454551 53.5159602, -2.9453898 53.5159021, -2.9453172 53.5158549, -2.945258 53.5158267, -2.9452098 53.5158091, -2.94514 53.5157915, -2.9450478 53.515775, -2.9449196 53.5157578, -2.9446943 53.5157328)",,
168542476,Liverpool Road North,primary,30 mph,False,False,37.527,,A5147,"LINESTRING (-2.9454551 53.5159602, -2.9454387 53.5158317, -2.945435 53.5156231)",,
168542476,Liverpool Road North,primary,30 mph,False,True,282.702,,A5147,"LINESTRING (-2.9454551 53.5159602, -2.9455959 53.5165456, -2.9456479 53.516757, -2.9456702 53.516838, -2.945732 53.5170619, -2.9458252 53.5173629, -2.9459769 53.5177541, -2.946115 53.5180263, -2.9462332 53.518235, -2.9463591 53.518438)",,
