osmid,highway,maxspeed,width,junction,oneway,reversed,length,geometry,lanes,name
4085979,tertiary,30 mph,3,roundabout,True,False,16.017,"LINESTRING (-1.0719265 54.0160222, -1.0719741 54.0160291, -1.0720095 54.0160422, -1.0720404 54.0160646, -1.0720565 54.0160918, -1.0720541 54.0161248)",,
25744663,tertiary,30 mph,,,False,False,53.379999999999995,"LINESTRING (-1.0719265 54.0160222, -1.0719674 54.0158611, -1.0720319 54.0155462)",2,York Road
"[1124518746, 25744627]",residential,30 mph,4,,False,False,75.494,"LINESTRING (-1.0725315 54.0140713, -1.0719519 54.013993, -1.0718261 54.013976, -1.0717427 54.0139647, -1.0714054 54.0139192)",,Calf Close
25744663,tertiary,30 mph,,,False,True,167.221,"LINESTRING (-1.0725315 54.0140713, -1.072216 54.0149882, -1.072044 54.0155114, -1.0720319 54.0155462)",2,York Road
185545724,tertiary,20 mph,,,False,False,162.12499999999997,"LINESTRING (-1.0774211 54.0166629, -1.0768419 54.0166199, -1.0765671 54.0166107, -1.0761155 54.0166147, -1.0760696 54.0166145, -1.0758954 54.0166117, -1.0754518 54.0166119, -1.0750417 54.0166088, -1.0749448 54.0166081)",2,The Village
"[25723049, 185545724]",tertiary,"['20 mph', '30 mph']",,,False,"[False, True]",132.966,"LINESTRING (-1.0774211 54.0166629, -1.0778242 54.0167246, -1.0778397 54.0167281, -1.0780581 54.016777, -1.0782116 54.0168204, -1.0787356 54.0169896, -1.0791966 54.0171711, -1.0792326 54.0171871)",2,The Village
"[25722548, 424405165]",residential,"['20 mph', '30 mph']",4,,False,True,81.92600000000002,"LINESTRING (-1.0774211 54.0166629, -1.077423 54.0165293, -1.0774241 54.0165019, -1.0774373 54.0161842, -1.0774392 54.016053, -1.077422 54.0159996, -1.0773992 54.0159671, -1.07736 54.0159378)",2,South Lane
25722546,residential,30 mph,,,False,True,88.86699999999999,"LINESTRING (-1.07736 54.0159378, -1.0775358 54.0158938, -1.0776926 54.015875, -1.0779078 54.0158835, -1.0780433 54.01584, -1.0780717 54.0158313, -1.0782078 54.015788, -1.0782262 54.0157821, -1.0782621 54.0157726, -1.0783212 54.0157569, -1.0784231 54.0157443, -1.0784611 54.0157437, -1.0785331 54.0157427, -1.0786458 54.0157396)",,Headland Close
"[25722548, 424405165]",residential,"['20 mph', '30 mph']",4,,False,False,81.926,"LINESTRING (-1.07736 54.0159378, -1.0773992 54.0159671, -1.077422 54.0159996, -1.0774392 54.016053, -1.0774373 54.0161842, -1.0774241 54.0165019, -1.077423 54.0165293, -1.0774211 54.0166629)",2,South Lane
25722548,residential,30 mph,,,False,True,9.513,"LINESTRING (-1.07736 54.0159378, -1.0773109 54.0159275, -1.0772176 54.0159241)",2,South Lane
25722548,residential,30 mph,,,False,False,9.513,"LINESTRING (-1.0772176 54.0159241, -1.0773109 54.0159275, -1.07736 54.0159378)",2,South Lane
25722548,residential,30 mph,,,False,True,105.424,"LINESTRING (-1.0772176 54.0159241, -1.0770135 54.0159173, -1.0767075 54.0159074, -1.0764428 54.0158941, -1.0758798 54.0158693, -1.0756084 54.015855)",2,South Lane
