osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,width
"[33117350, 1264611167]",2,Oxnam Road,tertiary,20 mph,False,False,284.969,"LINESTRING (-2.5541075 55.4750099, -2.5540511 55.4750019, -2.553842 55.4749724, -2.5534547 55.4749175, -2.5532417 55.4749057, -2.5531689 55.474911, -2.553153 55.4749121, -2.5530481 55.4749349, -2.5528529 55.4749951, -2.5525305 55.4751009, -2.5521044 55.4752547, -2.5518621 55.4753479, -2.551564 55.4754758, -2.5512482 55.4756372, -2.5508927 55.4758412, -2.5505854 55.4760361, -2.5504149 55.4761578)",,,
234806939,2,Newcastle Road,trunk,30 mph,False,False,33.52,"LINESTRING (-2.5541075 55.4750099, -2.5540247 55.4751725, -2.5539378 55.4752952)",A68,,
"[103397321, 211849573, 103397255]",2,,trunk,"['20 mph', '30 mph']",False,False,86.794,"LINESTRING (-2.5514883 55.4797335, -2.5513661 55.4799234, -2.5513202 55.4799758, -2.5512653 55.4800394, -2.5509905 55.4803594, -2.5509152 55.4804423)",A68,yes,
386757695,2,High Street,tertiary,20 mph,False,True,53.224,"LINESTRING (-2.5514883 55.4797335, -2.5515664 55.4797516, -2.5516895 55.4797784, -2.5518655 55.4797946, -2.5519969 55.479796, -2.5520138 55.4797962, -2.5521583 55.4797935, -2.5523108 55.4797719)",,,
"[1064954866, 103397308]",2,,trunk,"['20 mph', '30 mph']",False,True,239.539,"LINESTRING (-2.5514883 55.4797335, -2.5515258 55.4796632, -2.5515619 55.4795924, -2.5515789 55.4795582, -2.5516028 55.4794595, -2.5516611 55.479262, -2.5517302 55.4787086, -2.5517701 55.478399, -2.5517927 55.4781863, -2.5518385 55.4778632, -2.5518673 55.4776463, -2.551874 55.4775947)",A68,,
"[32847204, 130469383, 238011057, 238011058, 1058532856, 32847198]",2,"['Abbey Bridge End', 'Abbey Place']",tertiary,20 mph,False,False,302.35699999999997,"LINESTRING (-2.5539378 55.4752952, -2.5540195 55.4753184, -2.5540457 55.4753299, -2.5541124 55.4753591, -2.554135 55.4753858, -2.5541522 55.4754327, -2.5541124 55.4757582, -2.5541016 55.4759202, -2.5540962 55.4759999, -2.5540923 55.4760591, -2.5540884 55.4761173, -2.5540918 55.4762465, -2.5540904 55.4763516, -2.5540872 55.4764724, -2.5540849 55.4765901, -2.5540977 55.4766606, -2.554112 55.4766906, -2.5541204 55.4767081, -2.5541281 55.4767195, -2.5541739 55.4767848, -2.5542012 55.4768231, -2.5543354 55.4769135, -2.5546089 55.4770928, -2.5547584 55.4771772, -2.5548623 55.4772276, -2.5550047 55.4772961, -2.5553189 55.4774427, -2.5556058 55.4775791, -2.5556336 55.4775914)",,yes,
"[1100647265, 1100647266, 103397317, 103397286, 125618203]",2,The Silk Road,trunk,"['20 mph', '30 mph']",False,False,261.12600000000003,"LINESTRING (-2.5539378 55.4752952, -2.5538489 55.4754266, -2.5535367 55.4757202, -2.5534727 55.4757756, -2.5533959 55.4758245, -2.5532939 55.47589, -2.5532354 55.4759288, -2.5530984 55.4760218, -2.5529308 55.4761295, -2.5527548 55.4762538, -2.5525015 55.4764539, -2.5523775 55.4765648, -2.5522379 55.4767261, -2.5521535 55.4768447, -2.5520757 55.4769542, -2.5520446 55.4770168, -2.5519811 55.4771411, -2.551933 55.477312)",A68,yes,
234806939,2,Newcastle Road,trunk,30 mph,False,True,33.52,"LINESTRING (-2.5539378 55.4752952, -2.5540247 55.4751725, -2.5541075 55.4750099)",A68,,
32847201,2,Market Place,secondary,20 mph,False,False,21.408,"LINESTRING (-2.5556336 55.4775914, -2.5556038 55.4776176, -2.5555387 55.4776686, -2.5554192 55.47774)",B6358,,
"[32847204, 130469383, 238011057, 238011058, 1058532856, 32847198]",2,"['Abbey Place', 'Abbey Bridge End']",tertiary,20 mph,False,True,302.35699999999997,"LINESTRING (-2.5556336 55.4775914, -2.5556058 55.4775791, -2.5553189 55.4774427, -2.5550047 55.4772961, -2.5548623 55.4772276, -2.5547584 55.4771772, -2.5546089 55.4770928, -2.5543354 55.4769135, -2.5542012 55.4768231, -2.5541739 55.4767848, -2.5541281 55.4767195, -2.5541204 55.4767081, -2.554112 55.4766906, -2.5540977 55.4766606, -2.5540849 55.4765901, -2.5540872 55.4764724, -2.5540904 55.4763516, -2.5540918 55.4762465, -2.5540884 55.4761173, -2.5540923 55.4760591, -2.5540962 55.4759999, -2.5541016 55.4759202, -2.5541124 55.4757582, -2.5541522 55.4754327, -2.554135 55.4753858, -2.5541124 55.4753591, -2.5540457 55.4753299, -2.5540195 55.4753184, -2.5539378 55.4752952)",,yes,
33291263,2,Castle Gate,secondary,20 mph,False,False,98.289,"LINESTRING (-2.5556336 55.4775914, -2.5557037 55.4775318, -2.555814 55.4774219, -2.5559093 55.4773343, -2.555976 55.4772719, -2.5560748 55.4771839, -2.5561829 55.4770846, -2.5563037 55.4769749, -2.5564551 55.4768402)",B6358,,
1104155385,2,High Street,tertiary,20 mph,False,False,16.849,"LINESTRING (-2.5528018 55.4795327, -2.5526279 55.4796478)",,,
103401955,,Boundaries,tertiary,20 mph,True,False,242.488,"LINESTRING (-2.5504149 55.4761578, -2.5504806 55.4762003, -2.5504995 55.4763829, -2.5504711 55.4766567, -2.5504287 55.4769144, -2.5504223 55.4769533, -2.5503561 55.4772595, -2.5503121 55.4774956, -2.550247 55.4777271, -2.5501679 55.4779669, -2.5501495 55.4780254, -2.5501473 55.4780815, -2.5501557 55.4781232, -2.5501762 55.4781625, -2.5502774 55.4782972)",,,
"[33117351, 1064562567]",,Allerton Court,residential,20 mph,False,False,92.256,"LINESTRING (-2.5504149 55.4761578, -2.5503774 55.4761405, -2.5502038 55.4760327, -2.5501304 55.4759871, -2.5500078 55.4759082, -2.5497607 55.4758492, -2.5496319 55.4757971, -2.5495696 55.4757573, -2.5495215 55.4757095, -2.5494773 55.4756323, -2.5494743 55.4755739)",,,
1264611167,2,Oxnam Road,tertiary,20 mph,False,False,128.549,"LINESTRING (-2.5504149 55.4761578, -2.5500762 55.4763782, -2.5497475 55.476613, -2.5495493 55.4767685, -2.5493977 55.476892, -2.5492959 55.4769501, -2.5492002 55.4770081, -2.5491251 55.4770511)",,,
"[33117350, 1264611167]",2,Oxnam Road,tertiary,20 mph,False,True,284.96899999999994,"LINESTRING (-2.5504149 55.4761578, -2.5505854 55.4760361, -2.5508927 55.4758412, -2.5512482 55.4756372, -2.551564 55.4754758, -2.5518621 55.4753479, -2.5521044 55.4752547, -2.5525305 55.4751009, -2.5528529 55.4749951, -2.5530481 55.4749349, -2.553153 55.4749121, -2.5531689 55.474911, -2.5532417 55.4749057, -2.5534547 55.4749175, -2.553842 55.4749724, -2.5540511 55.4750019, -2.5541075 55.4750099)",,,
1100647266,2,The Silk Road,trunk,30 mph,False,True,31.654,"LINESTRING (-2.551874 55.4775947, -2.551933 55.477312)",A68,,
33117352,2,Canongate,secondary,20 mph,False,False,35.195,"LINESTRING (-2.551874 55.4775947, -2.5519372 55.4775967, -2.5520578 55.4776006, -2.5524322 55.4776021)",B6358,,
"[1064954866, 103397308]",2,,trunk,"['20 mph', '30 mph']",False,False,239.539,"LINESTRING (-2.551874 55.4775947, -2.5518673 55.4776463, -2.5518385 55.4778632, -2.5517927 55.4781863, -2.5517701 55.478399, -2.5517302 55.4787086, -2.5516611 55.479262, -2.5516028 55.4794595, -2.5515789 55.4795582, -2.5515619 55.4795924, -2.5515258 55.4796632, -2.5514883 55.4797335)",A68,,
33117353,2,Exchange Street,tertiary,20 mph,False,True,21.822,"LINESTRING (-2.5565865 55.4782681, -2.5563222 55.4781413)",,,
"[1077525753, 432543970, 979848422, 1077416574]",2,Lanton Road,tertiary,20 mph,False,False,148.11300000000003,"LINESTRING (-2.5565865 55.4782681, -2.5566818 55.4783102, -2.5567902 55.4783524, -2.5568411 55.4783622, -2.5568597 55.4783648, -2.5569276 55.4783714, -2.556995 55.47837, -2.5570888 55.4783652, -2.5572892 55.4783498, -2.5577393 55.4783034, -2.5581512 55.4782571, -2.5584583 55.4782274, -2.5586918 55.4782045, -2.5588037 55.4781841, -2.5588472 55.4781714)",,,
432543971,,William's Court,residential,20 mph,False,True,59.498,"LINESTRING (-2.5565865 55.4782681, -2.5564316 55.4783883, -2.5563781 55.478445, -2.5563318 55.4785059, -2.5563253 55.4785348, -2.5563978 55.4785835, -2.5564299 55.4786052, -2.5564361 55.4786325, -2.5563758 55.4787338)",,,
"[979848421, 979848422]",2,Lanton Road,tertiary,20 mph,False,False,71.709,"LINESTRING (-2.5588472 55.4781714, -2.5589785 55.4781052, -2.5590687 55.478049, -2.5591227 55.4780184, -2.5591912 55.4779924, -2.5593086 55.477972, -2.5596611 55.4779368, -2.5597358 55.4779289, -2.5598465 55.4779172)",,,
"[1077525753, 1077416574, 432543970, 979848422]",2,Lanton Road,tertiary,20 mph,False,True,148.11300000000003,"LINESTRING (-2.5588472 55.4781714, -2.5588037 55.4781841, -2.5586918 55.4782045, -2.5584583 55.4782274, -2.5581512 55.4782571, -2.5577393 55.4783034, -2.5572892 55.4783498, -2.5570888 55.4783652, -2.556995 55.47837, -2.5569276 55.4783714, -2.5568597 55.4783648, -2.5568411 55.4783622, -2.5567902 55.4783524, -2.5566818 55.4783102, -2.5565865 55.4782681)",,,
"[1077416373, 65728271]",,Cairnmount,residential,20 mph,False,False,311.98300000000006,"LINESTRING (-2.5588472 55.4781714, -2.5588709 55.4782124, -2.5588798 55.4782277, -2.5588899 55.4782451, -2.5588809 55.4782757, -2.5588551 55.4782925, -2.558807 55.4783103, -2.5584957 55.4783458, -2.5582154 55.4783981, -2.5581192 55.4784149, -2.5580461 55.4784327, -2.5580117 55.4784528, -2.5579922 55.4784813, -2.557978 55.4785353, -2.55797 55.4785893, -2.5577645 55.4798414, -2.5577495 55.4799412, -2.5577224 55.4801578, -2.5576312 55.4801791, -2.5575726 55.4801826, -2.5575078 55.4801791, -2.5574453 55.4801658, -2.5573952 55.4801456, -2.5573523 55.4800939, -2.5573362 55.4800331, -2.5573422 55.4799777, -2.5573507 55.4799)",,,
65728264,,Wildcat Cleuch,residential,20 mph,False,False,24.872,"LINESTRING (-2.5598465 55.4779172, -2.5598621 55.4778809, -2.5598967 55.4778006, -2.5599468 55.4777009)",,,
"[979848421, 979848422]",2,Lanton Road,tertiary,20 mph,False,True,71.709,"LINESTRING (-2.5598465 55.4779172, -2.5597358 55.4779289, -2.5596611 55.4779368, -2.5593086 55.477972, -2.5591912 55.4779924, -2.5591227 55.4780184, -2.5590687 55.478049, -2.5589785 55.4781052, -2.5588472 55.4781714)",,,
