osmid,name,highway,oneway,reversed,length,lanes,ref,maxspeed,geometry,junction,bridge
25382500,Herbert Street,residential,False,False,22.39,,,,"LINESTRING (-3.8534627 51.7202668, -3.8531721 51.7201766)",,
59652362,,primary,False,False,40.022,2,A474,20 mph,"LINESTRING (-3.8534627 51.7202668, -3.8536379 51.7201171, -3.8538001 51.7199738)",,
74034477,High Street,secondary,False,True,95.194,2,B4603,20 mph,"LINESTRING (-3.8534627 51.7202668, -3.8526617 51.7208022, -3.8525216 51.7208937)",,
219545690,James Street,primary,False,True,90.244,2,A474,30 mph,"LINESTRING (-3.8534627 51.7202668, -3.8536717 51.720805, -3.8537426 51.7209337, -3.8538279 51.7210437)",,
37720197,,primary,True,False,19.089000000000002,2,A474,20 mph,"LINESTRING (-3.8547878 51.7184366, -3.8547195 51.7184373, -3.8546452 51.7184199, -3.8545947 51.7183913, -3.8545654 51.7183582)",roundabout,
59652362,,primary,False,True,88.119,2,A474,20 mph,"LINESTRING (-3.8547878 51.7184366, -3.8548036 51.7185433, -3.8547845 51.7186118, -3.854394 51.7191781)",,
37720197,,primary,True,False,24.692,2,A474,20 mph,"LINESTRING (-3.8545654 51.7183582, -3.8545538 51.7183165, -3.8545788 51.7182576, -3.8546219 51.7182248, -3.8546805 51.7182031, -3.8547343 51.7181952)",roundabout,
37720198,,primary,False,False,224.811,2,A474,30 mph,"LINESTRING (-3.8545654 51.7183582, -3.8544189 51.7183577, -3.8542481 51.7183767, -3.8534115 51.7187566, -3.8533025 51.7188061, -3.8528723 51.7189664, -3.8524681 51.7190702, -3.8523068 51.7190971, -3.8522074 51.719103, -3.852108 51.7191023, -3.8518686 51.7190891, -3.8516439 51.7190924)",,
"[560734996, 560734997, 37720199]",,primary,False,False,214.461,2,A474,30 mph,"LINESTRING (-3.8513191 51.7191395, -3.851202 51.7191648, -3.8510734 51.7191772, -3.8509341 51.7191797, -3.8507935 51.7191753, -3.8506502 51.7191643, -3.8506032 51.7191581, -3.8504263 51.7191346, -3.8501501 51.7190825, -3.8500108 51.7190513, -3.8496631 51.7189835, -3.8493986 51.7188944, -3.8491952 51.7188267, -3.8490079 51.7187548, -3.8486564 51.7186062, -3.8484657 51.7185307)",,yes
37720200,,primary,True,False,19.19,1,A474,30 mph,"LINESTRING (-3.8513191 51.7191395, -3.8513144 51.719085, -3.8513364 51.7190517, -3.8513754 51.7190251, -3.8514428 51.7190056)",roundabout,
"[16391464, 150333691]",,unclassified,False,False,72.86699999999999,,,,"LINESTRING (-3.8481967 51.718577, -3.8481761 51.7186723, -3.8481171 51.7187513, -3.8479797 51.7188139, -3.8479315 51.7188371, -3.8475057 51.7190331)",,
28003957,,primary,True,False,22.855,,A474,30 mph,"LINESTRING (-3.8481967 51.718577, -3.8481247 51.7185515, -3.8480708 51.7185125, -3.8480415 51.7184644, -3.8480401 51.718413)",roundabout,
28003957,,primary,True,False,16.053,,A474,30 mph,"LINESTRING (-3.8481547 51.718308, -3.848208 51.7182933, -3.8482653 51.718287, -3.8483234 51.7182894, -3.8483789 51.7183004)",roundabout,
37720197,,primary,True,False,40.833,2,A474,20 mph,"LINESTRING (-3.8547343 51.7181952, -3.8548177 51.7182025, -3.8548768 51.7182236, -3.8549207 51.718256, -3.8549464 51.7183069, -3.8549401 51.718349, -3.854911 51.7183873, -3.8548625 51.7184171, -3.8547878 51.7184366)",roundabout,
65336698,Herbert Street,residential,False,False,98.994,,,,"LINESTRING (-3.8519931 51.7200053, -3.8515248 51.7200117, -3.8512234 51.7199892, -3.8511208 51.7199815, -3.8507514 51.719881, -3.8505936 51.7198887)",,
"[65336698, 25382500, 1087327991]",Herbert Street,residential,False,True,84.55699999999999,,,,"LINESTRING (-3.8519931 51.7200053, -3.852146 51.7199987, -3.852421 51.7200126, -3.8524457 51.7200167, -3.8525575 51.7200352, -3.8527575 51.7200684, -3.8531365 51.7201658, -3.8531721 51.7201766)",,yes
"[118923809, 118923804]","['Fuller Street', 'Orchard Street']",residential,True,False,184.469,,,,"LINESTRING (-3.8519931 51.7200053, -3.8516231 51.7204619, -3.8514627 51.7204865, -3.8512007 51.7205267, -3.8508399 51.7205683, -3.8503083 51.7200066)",,
74034470,Holly Street,residential,False,False,23.624,,,,"LINESTRING (-3.8505936 51.7198887, -3.8503083 51.7200066)",,
