osmid,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,ref,bridge
4996287,Baymead Lane,residential,False,False,13.029,"LINESTRING (-3.0139971 51.0885108, -3.0139359 51.0885616, -3.013877 51.0886002)",,,,
333175443,Newton Road,residential,False,False,156.11399999999998,"LINESTRING (-3.0139971 51.0885108, -3.0141431 51.088561, -3.0141949 51.0885723, -3.014291 51.0885932, -3.0151252 51.0887454, -3.0153486 51.0887813, -3.0161362 51.0889078)",30 mph,,,
333175443,Newton Road,residential,False,True,27.769,"LINESTRING (-3.0139971 51.0885108, -3.0139154 51.0884508, -3.0138062 51.0882944)",30 mph,,,
103297966,The Beeches,residential,False,False,14.312999999999999,"LINESTRING (-3.0161362 51.0889078, -3.0161279 51.0889345, -3.0161163 51.0889652, -3.0160876 51.0890328)",,,,
333175443,Newton Road,residential,False,False,61.736000000000004,"LINESTRING (-3.0161362 51.0889078, -3.0161465 51.0889099, -3.0162879 51.088939, -3.0164102 51.088972, -3.0165369 51.0890184, -3.0166228 51.0890608, -3.0167449 51.0891189, -3.0168629 51.0891501, -3.0169153 51.0891585)",30 mph,,,
333175443,Newton Road,residential,False,True,156.114,"LINESTRING (-3.0161362 51.0889078, -3.0153486 51.0887813, -3.0151252 51.0887454, -3.014291 51.0885932, -3.0141949 51.0885723, -3.0141431 51.088561, -3.0139971 51.0885108)",30 mph,,,
29976852,Fore Street,primary,False,True,28.006,"LINESTRING (-3.0169153 51.0891585, -3.0168609 51.089314, -3.0168331 51.089405)",30 mph,2,A38,
333175443,Newton Road,residential,False,True,61.73599999999999,"LINESTRING (-3.0169153 51.0891585, -3.0168629 51.0891501, -3.0167449 51.0891189, -3.0166228 51.0890608, -3.0165369 51.0890184, -3.0164102 51.088972, -3.0162879 51.088939, -3.0161465 51.0889099, -3.0161362 51.0889078)",30 mph,,,
8598601,Tappers Lane,residential,False,False,60.07,"LINESTRING (-3.0170763 51.0910953, -3.0171371 51.0910959, -3.0171655 51.0910969, -3.0177681 51.0910736, -3.0179349 51.0910672)",,2,,
29976852,Fore Street,primary,False,False,58.995000000000005,"LINESTRING (-3.0170763 51.0910953, -3.0170242 51.0907498, -3.0169822 51.0905682)",30 mph,2,A38,
29976852,Fore Street,primary,False,True,37.391000000000005,"LINESTRING (-3.0170763 51.0910953, -3.0170725 51.0912614, -3.0170249 51.0914289)",30 mph,2,A38,
8598601,Tappers Lane,residential,False,True,106.794,"LINESTRING (-3.0194534 51.0909701, -3.019419 51.0909637, -3.0187337 51.0910092, -3.0184323 51.0910311, -3.0179349 51.0910672)",,2,,
8598857,High Street,unclassified,False,False,74.13,"LINESTRING (-3.0194534 51.0909701, -3.0194204 51.0911027, -3.0194078 51.0911674, -3.0193841 51.0912897, -3.0193613 51.0914969, -3.0193545 51.0916332)",30 mph,2,,
103293455,High Street,residential,False,True,16.34,"LINESTRING (-3.0194534 51.0909701, -3.019466 51.0909131, -3.019466 51.0908237)",30 mph,2,,
8598853,,unclassified,False,False,31.173,"LINESTRING (-3.0184012 51.0937696, -3.0184262 51.0939067, -3.0184215 51.093975, -3.0184098 51.0940163, -3.0183881 51.0940453)",30 mph,2,,
8598857,High Street,unclassified,False,True,132.097,"LINESTRING (-3.0184012 51.0937696, -3.0184413 51.0936658, -3.0185539 51.0935103, -3.018779 51.0932685, -3.0189526 51.0929792, -3.0190797 51.0926682)",30 mph,2,,
10110727,North Street,residential,False,False,160.304,"LINESTRING (-3.0179658 51.0939143, -3.0173688 51.0938381, -3.0171092 51.0938285, -3.0168442 51.0938278, -3.0165553 51.0938659, -3.0163611 51.0938901, -3.0160726 51.0939758, -3.0159053 51.093994, -3.0157265 51.0939879)",30 mph,2,,
10110727,North Street,residential,False,True,32.94,"LINESTRING (-3.0179658 51.0939143, -3.0179864 51.0939217, -3.0181741 51.0939712, -3.0183881 51.0940453)",30 mph,2,,
127394526,High Street,unclassified,True,False,34.698,"LINESTRING (-3.0179658 51.0939143, -3.0180427 51.0938718, -3.0182208 51.0938241, -3.0183706 51.0937749, -3.0184012 51.0937696)",30 mph,1,,
10110727,North Street,residential,False,False,54.749,"LINESTRING (-3.014713 51.0940483, -3.0139739 51.0942125)",30 mph,2,,
8598865,Clarence Drive,residential,False,False,62.495999999999995,"LINESTRING (-3.014713 51.0940483, -3.0146914 51.0940244, -3.014616 51.0939412, -3.0145169 51.0938868, -3.0144532 51.0938235, -3.0144446 51.0937583, -3.0144756 51.0937051, -3.0144503 51.0935467)",,,,
10110727,North Street,residential,False,True,71.384,"LINESTRING (-3.014713 51.0940483, -3.0150168 51.0940243, -3.0153226 51.0939855, -3.0153919 51.0939879, -3.0155536 51.0939879, -3.0157265 51.0939879)",30 mph,2,,
8598877,Butts Corner,residential,False,False,76.471,"LINESTRING (-3.0131379 51.0945325, -3.0127205 51.0938967)",,,,
