osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,est_width,tunnel
162271809,2,A5074,Lake Road,primary,30 mph,False,False,48.71,"LINESTRING (-2.9163706 54.3668194, -2.9159487 54.367182)",,
162271809,2,A5074,Lake Road,primary,30 mph,False,True,16.977,"LINESTRING (-2.9163706 54.3668194, -2.91655 54.3667081)",,
71088965,,,North Terrace,residential,,False,True,79.128,"LINESTRING (-2.9163706 54.3668194, -2.916322 54.3667986, -2.9160341 54.366648, -2.9155014 54.366363, -2.9154637 54.366343)",,
162271809,2,A5074,Lake Road,primary,30 mph,False,True,48.71,"LINESTRING (-2.9159487 54.367182, -2.9163706 54.3668194)",,
514838066,2,A5074,Lake Road,primary,30 mph,False,False,73.272,"LINESTRING (-2.9159487 54.367182, -2.9153099 54.3677258)",,
71088960,,,Bank Road,residential,,False,True,127.16699999999999,"LINESTRING (-2.9159487 54.367182, -2.9161159 54.3672715, -2.9162265 54.3673629, -2.916225 54.3674154, -2.9162059 54.3674822, -2.91614 54.3675718, -2.9159087 54.3677706, -2.9157143 54.3678821, -2.9153099 54.3677258)",,
4881104,,,Biskey Howe Road,residential,,False,False,142.432,"LINESTRING (-2.9159487 54.367182, -2.9159071 54.3671597, -2.9151009 54.3667386, -2.9147942 54.3665754, -2.9146492 54.3665293, -2.914502 54.3665215, -2.9141712 54.3665153)",,
4881099,2,,Beresford Road,residential,30 mph,False,False,43.161,"LINESTRING (-2.9147007 54.3682626, -2.9146551 54.3682434, -2.9146095 54.3682243, -2.9141804 54.3680203)",,
514838066,2,A5074,Lake Road,primary,30 mph,False,False,168.182,"LINESTRING (-2.9147007 54.3682626, -2.9146283 54.3683321, -2.9144075 54.368544, -2.9142807 54.3686349, -2.9141305 54.3687121, -2.9139611 54.36877, -2.9136579 54.3688736, -2.913007 54.3691006, -2.9127387 54.3692057)",,
514838066,2,A5074,Lake Road,primary,30 mph,False,True,71.564,"LINESTRING (-2.9147007 54.3682626, -2.9148048 54.3681676, -2.9148756 54.3681015, -2.915049 54.3679484, -2.9153099 54.3677258)",,
4881096,,,South Craig,residential,,False,False,95.689,"LINESTRING (-2.9141804 54.3680203, -2.9141344 54.3680493, -2.9137639 54.3682708, -2.9137145 54.3682865, -2.913665 54.3682669, -2.9132936 54.368092, -2.9132339 54.3680642, -2.9131525 54.3681201, -2.9130941 54.3681541)",,
4881099,2,,Beresford Road,residential,30 mph,False,False,112.567,"LINESTRING (-2.9141804 54.3680203, -2.9132085 54.3675414, -2.9130923 54.3674657, -2.9129716 54.3673118)",,
4881099,2,,Beresford Road,residential,30 mph,False,True,43.161,"LINESTRING (-2.9141804 54.3680203, -2.9146095 54.3682243, -2.9146551 54.3682434, -2.9147007 54.3682626)",,
4881099,2,,Beresford Road,residential,30 mph,False,False,30.453,"LINESTRING (-2.9129716 54.3673118, -2.9128007 54.3670968, -2.912774 54.3670633)",,
4881099,2,,Beresford Road,residential,30 mph,False,True,112.567,"LINESTRING (-2.9129716 54.3673118, -2.9130923 54.3674657, -2.9132085 54.3675414, -2.9141804 54.3680203)",,
4881100,,,Lady Holme Walk,residential,,False,True,28.689,"LINESTRING (-2.9129716 54.3673118, -2.9130254 54.3672971, -2.9133722 54.3672018)",,
4881099,2,,Beresford Road,residential,30 mph,False,True,30.453,"LINESTRING (-2.912774 54.3670633, -2.9128007 54.3670968, -2.9129716 54.3673118)",,
577780904,2,,Craig Walk,residential,30 mph,False,True,109.236,"LINESTRING (-2.912774 54.3670633, -2.9128881 54.3670224, -2.9136023 54.3667662, -2.9140548 54.3665666, -2.9141231 54.3665365, -2.9141712 54.3665153)",,
4881101,,,Lady Holme Walk,residential,,False,True,13.404,"LINESTRING (-2.9133722 54.3672018, -2.9134794 54.3673049)",,
4881100,,,Lady Holme Walk,residential,,False,False,28.689,"LINESTRING (-2.9133722 54.3672018, -2.9130254 54.3672971, -2.9129716 54.3673118)",,
4881100,,,Lady Holme Walk,residential,,False,True,53.34,"LINESTRING (-2.9133722 54.3672018, -2.9136658 54.3670878, -2.913914 54.3673207)",,
4881101,,,Lady Holme Walk,residential,,False,False,13.404,"LINESTRING (-2.9134794 54.3673049, -2.9133722 54.3672018)",,
4881100,,,Lady Holme Walk,residential,,False,False,53.34,"LINESTRING (-2.913914 54.3673207, -2.9136658 54.3670878, -2.9133722 54.3672018)",,
4881102,,,Elim Grove,residential,,False,True,115.63,"LINESTRING (-2.9141314 54.3671312, -2.9145906 54.3669409, -2.9149686 54.3672267, -2.9150615 54.3673703, -2.9149952 54.3675638)",,
4881102,,,Elim Grove,residential,,False,False,115.63,"LINESTRING (-2.9149952 54.3675638, -2.9150615 54.3673703, -2.9149686 54.3672267, -2.9145906 54.3669409, -2.9141314 54.3671312)",,
4881102,,,Elim Grove,residential,,False,True,27.293999999999997,"LINESTRING (-2.9149952 54.3675638, -2.9151237 54.3676431, -2.9153099 54.3677258)",,
