osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,name,junction,width
1156162042,True,1,A85,trunk,30 mph,False,46.261,"LINESTRING (-5.4745711 56.4190107, -5.4746527 56.4189248, -5.4748353 56.4188626, -5.4749547 56.4188204, -5.4750574 56.4187805, -5.475121 56.4187414)",,,
"[1227346674, 4320607]",True,1,A85,trunk,30 mph,False,176.83800000000002,"LINESTRING (-5.4745711 56.4190107, -5.4743892 56.4189134, -5.4742557 56.4187149, -5.4737569 56.418086, -5.4735605 56.4178395, -5.4733679 56.4175779)",Dunollie Road,,
26224100,True,,A85,trunk,30 mph,False,91.87299999999999,"LINESTRING (-5.4731742 56.4173308, -5.4732937 56.4169307, -5.4732405 56.4167227, -5.4731946 56.4165136)",George Street,,
26224100,True,,A85,trunk,30 mph,False,9.104,"LINESTRING (-5.4726835 56.4149811, -5.4726596 56.4149003)",George Street,,
354130658,False,,,unclassified,,False,51.004000000000005,"LINESTRING (-5.4726835 56.4149811, -5.4725304 56.4149901, -5.4723775 56.4150376, -5.471885 56.4150849)",Stafford Street,,
40976010,False,2,A85,trunk,30 mph,True,58.77,"LINESTRING (-5.4726002 56.4146544, -5.472474 56.4143568, -5.4724193 56.4142277, -5.4723873 56.4141392)",George Street,,
1149953592,True,1,A85,trunk,30 mph,False,24.253000000000004,"LINESTRING (-5.4726002 56.4146544, -5.4727329 56.4147141, -5.4728134 56.4147483, -5.4728634 56.4147579, -5.4729284 56.4147704)",Corran Esplanade,,
120533464,False,2,A85,trunk,30 mph,False,44.07,"LINESTRING (-5.4718793 56.4126699, -5.4720201 56.4130585)",George Street,,
4321099,False,2,A85,trunk,30 mph,True,43.671,"LINESTRING (-5.4718793 56.4126699, -5.4719222 56.4125914, -5.4719719 56.412538, -5.471984 56.412525, -5.4722384 56.4123355)",Aird's Place,,
"[26223138, 1227346675]",True,,,unclassified,30 mph,False,142.335,"LINESTRING (-5.4718793 56.4126699, -5.4715628 56.4126663, -5.4713882 56.4126485, -5.4712143 56.4126069, -5.4711113 56.4125493, -5.4710068 56.4124627, -5.4709818 56.4124307, -5.4709512 56.4123915, -5.4709497 56.4122962, -5.4709973 56.4121711, -5.4710826 56.4119809, -5.4711753 56.4117866, -5.4711841 56.4117681)",Aird's Crescent,,
"[1149953592, 4320606]",True,1,A85,trunk,30 mph,False,213.23000000000002,"LINESTRING (-5.4729284 56.4147704, -5.4730056 56.4147841, -5.4730147 56.4147854, -5.4732174 56.4148152, -5.4733197 56.4148302, -5.4734709 56.4148636, -5.4735264 56.4148916, -5.4735874 56.4149297, -5.4736229 56.4149775, -5.4736657 56.4151403, -5.4737326 56.4153739, -5.4737585 56.4154558, -5.4737818 56.4155388, -5.4738666 56.4157623, -5.4738827 56.4158178, -5.4740658 56.4163801, -5.4740732 56.4164146)",Corran Esplanade,,
4320610,True,,A85,trunk,30 mph,False,11.609,"LINESTRING (-5.4756992 56.4182494, -5.4757355 56.4182507, -5.4757905 56.4182618, -5.475826 56.4182769, -5.4758552 56.4182987)",,roundabout,
4320610,True,,A85,trunk,30 mph,False,15.613999999999997,"LINESTRING (-5.4756883 56.4184363, -5.4756422 56.4184339, -5.4756054 56.4184186, -5.4755689 56.4183983, -5.4755483 56.4183776, -5.4755364 56.4183411)",,roundabout,
"[1112760552, 4320609]",True,1,A85,trunk,30 mph,False,95.048,"LINESTRING (-5.4756883 56.4184363, -5.4753373 56.4186892, -5.4752038 56.4187706, -5.4751017 56.4188164, -5.4750125 56.4188543, -5.4747138 56.4189744, -5.4745711 56.4190107)",,,
