osmid,lanes,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,ref,tunnel,junction,est_width,access
"[9565074, 74819508, 97449562]",2,Durngate Place,tertiary,20 mph,False,"[False, True]",59.114,yes,"LINESTRING (-1.3071632 51.0641913, -1.3071904 51.0641971, -1.3072548 51.0642131, -1.3073623 51.0642483, -1.3075094 51.0643105, -1.30766 51.0643738, -1.3077187 51.064397, -1.3077995 51.0644224, -1.3078403 51.064432, -1.307903 51.0644428)",,,,,
"[405743168, 227723273, 1229280412]",1,Water Lane,residential,20 mph,False,True,90.78899999999999,,"LINESTRING (-1.3071632 51.0641913, -1.307174 51.0641708, -1.3071965 51.0641504, -1.3072322 51.064124, -1.3072677 51.0641052, -1.3072994 51.0640863, -1.3073259 51.0640661, -1.3073522 51.0640415, -1.3073861 51.0640008, -1.3074321 51.0639193, -1.3074692 51.0638482, -1.3074872 51.0638038, -1.3074942 51.0637604, -1.3074923 51.0637302, -1.3074867 51.0636941, -1.3074575 51.0635868, -1.3074306 51.0634368)",,,,,
2950847,,Upper High Street,secondary,20 mph,True,False,54.009,,"LINESTRING (-1.3195321 51.0636699, -1.3196053 51.0637263, -1.319659 51.0637788, -1.3197794 51.0639209, -1.3198956 51.0640958)",B3420,,,,
157399406,2,High Street,secondary,20 mph,False,True,39.037,,"LINESTRING (-1.3195321 51.0636699, -1.3193598 51.0636665, -1.3189918 51.0635928)",B3040,,,,
2786006,2,Saint George's Street,secondary,20 mph,True,False,81.551,,"LINESTRING (-1.3131698 51.0627397, -1.3132578 51.062743, -1.3133378 51.0627642, -1.3141138 51.0629888, -1.3141701 51.063005, -1.3142389 51.0630249)",B3331,,,,
"[779414436, 779414437, 9347326]",1,,unclassified,20 mph,False,True,44.379999999999995,,"LINESTRING (-1.3158775 51.0655636, -1.316041 51.0655727, -1.3161029 51.0655776, -1.3163921 51.0656089, -1.3165072 51.0656076)",,,,,
2786022,1,Jewry Street,secondary,20 mph,True,False,26.116,,"LINESTRING (-1.3162422 51.0633531, -1.3162673 51.0633786, -1.3162848 51.0634004, -1.3162913 51.0634181, -1.316299 51.0634523, -1.3163052 51.06358)",B3040,,,,
"[4261480, 227656385, 4261481]",2,"['Jewry Street', 'High Street']",secondary,20 mph,True,False,62.62500000000001,,"LINESTRING (-1.3162422 51.0633531, -1.316278 51.0633446, -1.3163131 51.063331, -1.3163338 51.0633223, -1.3163642 51.063298, -1.3163822 51.0632717, -1.3164162 51.063199, -1.3164562 51.0631091, -1.3164858 51.0630653, -1.3164988 51.0630463, -1.3165189 51.0630333, -1.3165493 51.0630226, -1.3165918 51.0630155, -1.3166345 51.0630106, -1.3166842 51.0630144, -1.3167457 51.0630259, -1.3167938 51.0630413)",B3040,,,,
24974830,2,Bridge Street,secondary,20 mph,False,True,34.835,,"LINESTRING (-1.3072157 51.0608827, -1.3071194 51.0608937, -1.3070492 51.0609059, -1.3069517 51.0609291, -1.3067394 51.060973)",B3404,,,,
"[31132102, 448703207, 213484649, 261572624, 88313299]",2,"['Bridge Street', 'High Street']",secondary,20 mph,False,False,73.293,yes,"LINESTRING (-1.3072157 51.0608827, -1.3073365 51.0609002, -1.3074103 51.0609105, -1.3077362 51.0609457, -1.3079058 51.0609629, -1.3079145 51.060964, -1.3081066 51.0609977, -1.3082333 51.0610327)",B3330,,,,
"[9544644, 374193172]",2,Chesil Street,secondary,"['20 mph', '30 mph']",False,True,182.61600000000004,,"LINESTRING (-1.3072157 51.0608827, -1.3071901 51.0607991, -1.3071216 51.060683, -1.3071082 51.0606512, -1.3070931 51.0606152, -1.3070886 51.0606041, -1.306987 51.0604029, -1.3069353 51.0603319, -1.3068581 51.0602629, -1.3068153 51.0602143, -1.3067801 51.0601185, -1.3067729 51.0600239, -1.3067647 51.0599817, -1.306636 51.0597795, -1.3065791 51.0596615, -1.3065524 51.0595861, -1.3065382 51.0595277, -1.3065297 51.0594569, -1.3065263 51.0593854, -1.306528 51.0593182)",B3330,,,,
31736166,2,Bar End Road,secondary,30 mph,False,False,4.319,,"LINESTRING (-1.3067051 51.0578853, -1.306689 51.0578478)",B3330,,,,
9544644,2,Chesil Street,secondary,30 mph,False,False,161.132,,"LINESTRING (-1.3067051 51.0578853, -1.306729 51.0579334, -1.3067397 51.0579838, -1.3067417 51.0580207, -1.3067398 51.0581052, -1.3067383 51.0581407, -1.3067376 51.0581872, -1.3067482 51.0584578, -1.3067508 51.0585247, -1.3067406 51.0586156, -1.3066983 51.058765, -1.3066381 51.0589394, -1.306559 51.0591639, -1.306528 51.0593182)",B3330,,,,
37677565,2,Wharf Hill,unclassified,30 mph,False,True,113.94099999999999,,"LINESTRING (-1.3067051 51.0578853, -1.3070237 51.0578742, -1.3072784 51.0578657, -1.3073476 51.0578573, -1.3074188 51.0578386, -1.3075046 51.0578145, -1.307591 51.0577796, -1.3077046 51.0577237, -1.3079515 51.057596, -1.3080456 51.0575323, -1.3081065 51.0574751)",,,,,
"[1204274388, 8186397]",,Water Lane,residential,20 mph,False,False,61.172,,"LINESTRING (-1.3073986 51.0609621, -1.3073546 51.0612104, -1.3073397 51.0612474, -1.3073108 51.0615089)",,,,,
70247082,,Kingsgate Street,residential,30 mph,False,True,18.967,,"LINESTRING (-1.3145369 51.0589652, -1.3144374 51.0591239)",,,,,
70247080,,Kingsgate Street,residential,30 mph,False,False,22.228,,"LINESTRING (-1.3145369 51.0589652, -1.3145689 51.0589661, -1.3145993 51.0589511, -1.3146941 51.0588075)",,,,,
