osmid,oneway,name,highway,maxspeed,reversed,length,geometry,bridge,ref,junction,lanes,access
25986393,True,Demesne Road,residential,20 mph,False,62.662,"LINESTRING (-4.4853412 54.1531433, -4.4849015 54.1532488, -4.4845093 54.1533367, -4.4844926 54.1533405, -4.4844466 54.1533508)",,,,,
"[165557648, 25988077, 25986126, 165557647]",False,"['Douglas Harbour Lifting Bridge', 'Red Pier']",primary,30 mph,True,84.983,"LINESTRING (-4.4767562 54.1475982, -4.4767457 54.1475522, -4.4767551 54.1474506, -4.4768027 54.1473628, -4.476894 54.1472166, -4.4769709 54.1471001, -4.476994 54.1470653, -4.4770604 54.146965, -4.4771252 54.1468741)","['yes', 'movable']",,,,
372961587,True,Double Corner,primary,30 mph,False,18.673000000000002,"LINESTRING (-4.4767562 54.1475982, -4.4768014 54.1476065, -4.4768343 54.1476204, -4.476858 54.1476387, -4.476875 54.1476766, -4.476867 54.1477042, -4.476845 54.1477271)",,A8,roundabout,,
25989514,False,Saint Barnabas Hill,unclassified,30 mph,True,26.47,"LINESTRING (-4.4816332 54.1532054, -4.4820386 54.1532228)",,,,,
28616194,False,Mona Terrace Lane,residential,30 mph,False,99.548,"LINESTRING (-4.4816332 54.1532054, -4.4811003 54.1540445)",,,,,
25989514,False,Saint Barnabas Hill,unclassified,30 mph,False,56.605999999999995,"LINESTRING (-4.4816332 54.1532054, -4.4813308 54.1531597, -4.4808874 54.1529623)",,,,,
25987788,False,Christian Road,unclassified,30 mph,True,14.138,"LINESTRING (-4.4812306 54.1526831, -4.4810137 54.1526776)",,,,,
25987788,False,Christian Road,unclassified,30 mph,False,22.5,"LINESTRING (-4.4812306 54.1526831, -4.4813236 54.1526961, -4.4815343 54.1527748)",,,,,
"[372961593, 436480084]",True,,primary,30 mph,False,40.338,"LINESTRING (-4.4747858 54.1490168, -4.4747399 54.1490277, -4.4746894 54.1490327, -4.4746389 54.1490279, -4.4745966 54.1490162, -4.4745727 54.1490028, -4.4745508 54.1489872, -4.4745347 54.1489681, -4.4745264 54.1489474, -4.4745202 54.1489265, -4.4745211 54.1489053, -4.474529 54.1488846, -4.4745436 54.1488652, -4.4745585 54.1488519, -4.4745766 54.1488401, -4.4745975 54.14883, -4.4746206 54.1488217, -4.4746456 54.1488155)",,,roundabout,2,
25987770,True,Bath Place,primary,30 mph,False,13.374,"LINESTRING (-4.4758699 54.1482195, -4.475767 54.1482359, -4.4756694 54.1482272)",,A8,,2,
204910616,True,Tynwald Street,residential,30 mph,False,105.53599999999999,"LINESTRING (-4.484875 54.1516153, -4.4841697 54.1519614, -4.4836976 54.1521799, -4.4836681 54.1521936, -4.4836154 54.1522117)",,,,,
25987246,False,Loch Promenade,primary,20 mph,False,123.84300000000002,"LINESTRING (-4.4774058 54.1502384, -4.4774841 54.1503341, -4.4775942 54.1504925, -4.4777568 54.1507965, -4.47783 54.1509733, -4.4779283 54.1512103, -4.4779689 54.1512994)",,,,2,
"[436480090, 25987246]",False,Loch Promenade,primary,"['20 mph', '30 mph']",True,131.746,"LINESTRING (-4.4774058 54.1502384, -4.4773121 54.1501475, -4.4772035 54.15005, -4.4771557 54.1500106, -4.4771234 54.1499833, -4.4770844 54.1499537, -4.4767258 54.1496994, -4.4764605 54.1495237, -4.476381 54.1494847, -4.4760954 54.1493446)",,,,2,
"[25988305, 282881660, 282881661]",False,Regent Street,unclassified,30 mph,False,41.375,"LINESTRING (-4.4774058 54.1502384, -4.4774905 54.1502104, -4.4775121 54.1502068, -4.4775946 54.1501929, -4.4778999 54.1501741, -4.4780221 54.1501672)",,B70,,,
267303631,False,Lord Street,primary,30 mph,False,25.506,"LINESTRING (-4.4804878 54.1484571, -4.4800998 54.1484883)",,A1,,3,
25985968,True,Ridgeway Street,unclassified,20 mph,False,39.284,"LINESTRING (-4.4804878 54.1484571, -4.4804847 54.1483907, -4.4804636 54.1481041)",,A44,,,
25987174,False,Lord Street,primary,30 mph,True,111.12799999999999,"LINESTRING (-4.4804878 54.1484571, -4.480567 54.1484434, -4.4806375 54.1484328, -4.4807015 54.1484213, -4.4807876 54.1484092, -4.4809188 54.1483885, -4.481255 54.1483344, -4.4814465 54.1483091, -4.4821543 54.1482512)",,A1,,,
