osmid,lanes,highway,oneway,reversed,length,geometry,name,ref
"[148018173, 148018198]",2,residential,False,False,81.40700000000001,"LINESTRING (-53.2157402 47.6416068, -53.2156612 47.6416263, -53.2156498 47.6416715, -53.2156859 47.6418958, -53.2157863 47.6420991, -53.2158752 47.6422791)",,
148018044,2,residential,False,False,212.096,"LINESTRING (-53.2158752 47.6422791, -53.2153206 47.6423888, -53.214847 47.6425239, -53.2136568 47.6427178, -53.213471 47.6427304, -53.2133368 47.642706, -53.2131999 47.6426187)",Flings Road,
"[148018173, 148018198]",2,residential,False,True,81.407,"LINESTRING (-53.2158752 47.6422791, -53.2157863 47.6420991, -53.2156859 47.6418958, -53.2156498 47.6416715, -53.2156612 47.6416263, -53.2157402 47.6416068)",,
148017951,2,secondary,False,False,86.398,"LINESTRING (-53.2131999 47.6426187, -53.2126564 47.643304)",Bishop's Cove Road,70-16
148018044,2,residential,False,True,212.096,"LINESTRING (-53.2131999 47.6426187, -53.2133368 47.642706, -53.213471 47.6427304, -53.2136568 47.6427178, -53.214847 47.6425239, -53.2153206 47.6423888, -53.2158752 47.6422791)",Flings Road,
148017931,2,secondary,False,False,29.521,"LINESTRING (-53.2126564 47.643304, -53.21248 47.6435414)",Back Road,70-16
148017951,2,secondary,False,True,86.398,"LINESTRING (-53.2126564 47.643304, -53.2131999 47.6426187)",Bishop's Cove Road,70-16
148018139,2,tertiary,False,False,40.069,"LINESTRING (-53.2126564 47.643304, -53.2121557 47.6434307)",Spoon Cove Road,
148018138,2,tertiary,False,False,27.236,"LINESTRING (-53.2121557 47.6434307, -53.21248 47.6435414)",Spoon Cove Road,
148018139,2,tertiary,False,True,40.069,"LINESTRING (-53.2121557 47.6434307, -53.2126564 47.643304)",Spoon Cove Road,
148018139,2,tertiary,False,False,256.848,"LINESTRING (-53.2121557 47.6434307, -53.2117323 47.6434928, -53.2108557 47.6435457, -53.2105915 47.6435958, -53.2096876 47.6439462, -53.209225 47.6440271, -53.208906 47.6440422)",Spoon Cove Road,
148017931,2,secondary,False,True,29.521,"LINESTRING (-53.21248 47.6435414, -53.2126564 47.643304)",Back Road,70-16
148017932,2,secondary,False,False,19.693,"LINESTRING (-53.21248 47.6435414, -53.2123804 47.6437053)",Back Road,70-16
148018138,2,tertiary,False,True,27.236,"LINESTRING (-53.21248 47.6435414, -53.2121557 47.6434307)",Spoon Cove Road,
148017932,2,secondary,False,False,150.008,"LINESTRING (-53.2123804 47.6437053, -53.2114319 47.6448934)",Back Road,70-16
148017932,2,secondary,False,True,19.693,"LINESTRING (-53.2123804 47.6437053, -53.21248 47.6435414)",Back Road,70-16
148018139,2,tertiary,False,False,415.134,"LINESTRING (-53.208906 47.6440422, -53.2082294 47.6441002, -53.2077284 47.6442179, -53.2070992 47.6445783, -53.2070783 47.6445903, -53.2069694 47.6446352, -53.2066202 47.6447791, -53.2064142 47.644945, -53.2058283 47.6452623, -53.2057261 47.6453632, -53.2056276 47.6455541, -53.2056176 47.6459502, -53.2055469 47.6461675, -53.2053727 47.6464588)",Spoon Cove Road,
148018139,2,tertiary,False,True,256.848,"LINESTRING (-53.208906 47.6440422, -53.209225 47.6440271, -53.2096876 47.6439462, -53.2105915 47.6435958, -53.2108557 47.6435457, -53.2117323 47.6434928, -53.2121557 47.6434307)",Spoon Cove Road,
148018140,1,residential,False,False,228.54200000000003,"LINESTRING (-53.208906 47.6440422, -53.2090489 47.6442734, -53.2091322 47.6443528, -53.2093222 47.6444391, -53.2096849 47.6445131, -53.2103649 47.644536, -53.2109534 47.6445967, -53.2114319 47.6448934)",Spring Path Lane,
148017932,2,secondary,False,False,104.21,"LINESTRING (-53.2114319 47.6448934, -53.2106796 47.6456817)",Back Road,70-16
148017932,2,secondary,False,True,150.008,"LINESTRING (-53.2114319 47.6448934, -53.2123804 47.6437053)",Back Road,70-16
148018140,1,residential,False,True,228.54199999999997,"LINESTRING (-53.2114319 47.6448934, -53.2109534 47.6445967, -53.2103649 47.644536, -53.2096849 47.6445131, -53.2093222 47.6444391, -53.2091322 47.6443528, -53.2090489 47.6442734, -53.208906 47.6440422)",Spring Path Lane,
148018137,1,residential,False,False,135.301,"LINESTRING (-53.2073651 47.645499, -53.2077088 47.645649, -53.2080228 47.6458319, -53.2086306 47.6463511)",Spoon Cove Lane,
148018033,1,residential,False,False,64.944,"LINESTRING (-53.2099053 47.6456337, -53.2099706 47.6456054, -53.210461 47.645551, -53.2106796 47.6456817)",Dobbins Lane,
