osmid,name,highway,junction,oneway,reversed,length,bridge,geometry,maxspeed,lanes
"[191966034, 191966038, 517758631]",Via Cesenatico,secondary,roundabout,True,False,39.965,yes,"LINESTRING (12.3917873 44.1967417, 12.3918511 44.1967007, 12.3920966 44.1965499, 12.3921667 44.1965068)",,
517758632,Via Cesenatico,secondary,roundabout,True,False,25.727,,"LINESTRING (12.391404 44.1970057, 12.3916367 44.1968454)",,
191966038,Via Cesenatico,secondary,roundabout,True,False,28.377,,"LINESTRING (12.3921667 44.1965068, 12.392226 44.1964893, 12.3922585 44.1964868, 12.3923131 44.1964947, 12.3923367 44.1965131, 12.3923776 44.1965443, 12.3923945 44.1965769, 12.392377 44.1966183)",,
694573860,Via Cesenatico,secondary,roundabout,True,False,5.032,,"LINESTRING (12.392377 44.1966183, 12.3923321 44.1966501)",,
517758632,Via Cesenatico,secondary,roundabout,True,False,39.529999999999994,,"LINESTRING (12.3916691 44.1971542, 12.3915659 44.1971803, 12.3915117 44.1971867, 12.391435 44.1971582, 12.3913726 44.1971106, 12.3913694 44.1970594, 12.391404 44.1970057)",,
23053248,Via Cesenatico,tertiary,,False,False,91.326,,"LINESTRING (12.3919542 44.1969212, 12.3927553 44.1975083)",,
694573861,Via Cesenatico,secondary,roundabout,True,False,34.465,,"LINESTRING (12.3919542 44.1969212, 12.3916691 44.1971542)",,
37018180,Viale Gino Cecchini,tertiary,,True,False,48.467,,"LINESTRING (12.393497 44.1979448, 12.393434 44.1980106, 12.3930805 44.1982607)",,
"[214861896, 60688245, 60688254]",Viale Gino Cecchini,tertiary,,False,True,186.361,yes,"LINESTRING (12.393497 44.1979448, 12.3935064 44.1979396, 12.393724 44.1977806, 12.3937717 44.1977465, 12.3951296 44.1967454)",30,
214861947,Viale Gino Cecchini,tertiary,,True,False,26.808,,"LINESTRING (12.3951296 44.1967454, 12.3953544 44.1965661)",,
"[214861896, 60688245, 60688254]",Viale Gino Cecchini,tertiary,,False,False,186.36100000000002,yes,"LINESTRING (12.3951296 44.1967454, 12.3937717 44.1977465, 12.393724 44.1977806, 12.3935064 44.1979396, 12.393497 44.1979448)",30,
214861931,Viale Gino Cecchini,tertiary,,True,False,26.212,,"LINESTRING (12.3959151 44.1966574, 12.3955863 44.1966572)",,
