osmid,oneway,name,highway,reversed,length,lanes,geometry,est_width,maxspeed
91651902,True,Namık Kemal Caddesi,tertiary,False,21.799,,"LINESTRING (28.7204238 40.9832306, 28.7201694 40.98327)",,
97226042,True,Fırın Sokağı,residential,False,105.393,1,"LINESTRING (28.7204238 40.9832306, 28.7201032 40.9823142)",,
97226075,True,Merkez Camii Sokağı,tertiary,False,110.142,,"LINESTRING (28.7215851 40.9830274, 28.7212577 40.9820682)",,
"[1190703468, 1063692535]",True,Namık Kemal Caddesi,tertiary,False,100.075,,"LINESTRING (28.7215851 40.9830274, 28.7210835 40.9831199, 28.7209736 40.9831402, 28.7209297 40.9831483, 28.7204238 40.9832306)",,
97226044,True,Özarı Sokağı,residential,False,105.676,,"LINESTRING (28.726027 40.9821301, 28.7256325 40.9812276)",,
227740183,True,Namık Kemal Caddesi,tertiary,False,35.719,,"LINESTRING (28.726027 40.9821301, 28.7256124 40.9822024)",,
667947125,False,Reşit Paşa Caddesi,secondary,True,10.332,1,"LINESTRING (28.7266055 40.9790018, 28.7264892 40.9790322)",,
667947125,False,Reşit Paşa Caddesi,secondary,False,44.647,1,"LINESTRING (28.7266055 40.9790018, 28.7269721 40.9789372, 28.7271263 40.9789227)",,
667947125,False,Reşit Paşa Caddesi,secondary,True,9.444,1,"LINESTRING (28.7272388 40.9789232, 28.7271263 40.9789227)",,
312559319,False,İlkem Sokağı,residential,False,99.053,,"LINESTRING (28.7265794 40.9770265, 28.7262684 40.9761672)",,
1190928483,False,Denizköşkler Caddesi,tertiary,False,48.372,,"LINESTRING (28.7265794 40.9770265, 28.7271403 40.9769269)",,
1190928483,False,Denizköşkler Caddesi,tertiary,True,51.17,,"LINESTRING (28.7265794 40.9770265, 28.7259892 40.9771415)",,
97208888,False,Değer Sokağı,residential,True,54.782,,"LINESTRING (28.7261322 40.9757927, 28.7254979 40.9759084)",,
312559319,False,İlkem Sokağı,residential,True,43.184,,"LINESTRING (28.7261322 40.9757927, 28.7262684 40.9761672)",,
97208888,False,Değer Sokağı,residential,False,54.782,,"LINESTRING (28.7254979 40.9759084, 28.7261322 40.9757927)",,
97208930,True,Sülün Sokağı,residential,False,43.616,,"LINESTRING (28.7254979 40.9759084, 28.7256566 40.9762819)",,
97208923,True,Talimhane Sokağı,residential,False,52.993,,"LINESTRING (28.7233935 40.9781094, 28.7235458 40.9785719)",,
97208912,False,Berat Sokağı,residential,False,107.755,,"LINESTRING (28.7233935 40.9781094, 28.7242551 40.977937, 28.7246341 40.9778607)",,
97208912,False,Berat Sokağı,residential,True,107.755,,"LINESTRING (28.7246341 40.9778607, 28.7242551 40.977937, 28.7233935 40.9781094)",,
97208931,True,Çayır Sokağı,residential,False,49.085,,"LINESTRING (28.7246341 40.9778607, 28.7245865 40.9777081, 28.7244848 40.977434)",,
97208915,False,Yazgan Sokağı,residential,False,77.54,,"LINESTRING (28.7237095 40.9790645, 28.724608 40.9789028)",,
97208923,True,Talimhane Sokağı,residential,False,48.93,,"LINESTRING (28.7237095 40.9790645, 28.7238581 40.97949)",,
97208915,False,Yazgan Sokağı,residential,False,28.697,,"LINESTRING (28.724608 40.9789028, 28.7249437 40.9788541)",,
97208915,False,Yazgan Sokağı,residential,True,77.54,,"LINESTRING (28.724608 40.9789028, 28.7237095 40.9790645)",,
97208916,False,Yaprak Sokağı,residential,False,58.292,,"LINESTRING (28.724608 40.9789028, 28.7244613 40.9783904)",,
97208915,False,Yazgan Sokağı,residential,True,28.697,,"LINESTRING (28.7249437 40.9788541, 28.724608 40.9789028)",,
97208931,True,Çayır Sokağı,residential,False,59.042,,"LINESTRING (28.7249437 40.9788541, 28.724806 40.9783334)",,
97208916,False,Yaprak Sokağı,residential,True,58.292,,"LINESTRING (28.7244613 40.9783904, 28.724608 40.9789028)",,
522891461,False,,residential,False,29.623,,"LINESTRING (28.7244613 40.9783904, 28.724806 40.9783334)",,
522891461,False,,residential,True,79.46,,"LINESTRING (28.7244613 40.9783904, 28.7235458 40.9785719)",,
97208917,False,Pehlivan Sokağı,residential,False,47.511,,"LINESTRING (28.7262577 40.9780761, 28.726801 40.9779564)",,
97208930,True,Sülün Sokağı,residential,False,106.994,,"LINESTRING (28.7262577 40.9780761, 28.7266055 40.9790018)",,
97208917,False,Pehlivan Sokağı,residential,False,51.717,,"LINESTRING (28.726801 40.9779564, 28.7274 40.9778477)",,
97208917,False,Pehlivan Sokağı,residential,True,47.511,,"LINESTRING (28.726801 40.9779564, 28.7262577 40.9780761)",,
97208919,False,Kırkpınar Sokağı,residential,True,110.864,,"LINESTRING (28.726801 40.9779564, 28.7271263 40.9789227)",,
97208919,False,Kırkpınar Sokağı,residential,False,110.864,,"LINESTRING (28.7271263 40.9789227, 28.726801 40.9779564)",,
667947125,False,Reşit Paşa Caddesi,secondary,False,9.444,1,"LINESTRING (28.7271263 40.9789227, 28.7272388 40.9789232)",,
667947125,False,Reşit Paşa Caddesi,secondary,True,44.647,1,"LINESTRING (28.7271263 40.9789227, 28.7269721 40.9789372, 28.7266055 40.9790018)",,
97208920,False,İyibaş Sokağı,residential,False,57.725,,"LINESTRING (28.7246187 40.9773964, 28.7244691 40.9768897)",,
1190928483,False,Denizköşkler Caddesi,tertiary,False,59.284,,"LINESTRING (28.7246187 40.9773964, 28.7253004 40.9772572)",,
1190928484,False,Denizköşkler Caddesi,tertiary,True,11.993,,"LINESTRING (28.7246187 40.9773964, 28.7244848 40.977434)",,
97208920,False,İyibaş Sokağı,residential,False,104.948,,"LINESTRING (28.7243585 40.9765332, 28.7241043 40.9756091)",,
97208920,False,İyibaş Sokağı,residential,True,40.714,,"LINESTRING (28.7243585 40.9765332, 28.7244691 40.9768897)",,
97326651,False,Şehit H. Demiroğlu Sokağı,residential,False,57.526,,"LINESTRING (28.7243585 40.9765332, 28.7250247 40.9764121)",,
97326651,False,Şehit H. Demiroğlu Sokağı,residential,True,73.48400000000001,,"LINESTRING (28.7243585 40.9765332, 28.7242918 40.9765621, 28.7235211 40.9767196)",,
97208920,False,İyibaş Sokağı,residential,True,104.948,,"LINESTRING (28.7241043 40.9756091, 28.7243585 40.9765332)",,
227744241,False,Zafer Caddesi,tertiary,False,38.418,,"LINESTRING (28.7241043 40.9756091, 28.7245468 40.975521)",,
