osmid,oneway,name,highway,reversed,length,geometry,bridge,junction,ref,lanes
290818842,True,Gaziosmanpaşa Caddesi,primary,False,167.426,"LINESTRING (36.0888442 40.3855363, 36.0889167 40.3854604, 36.0889805 40.3853735, 36.0889902 40.3853559, 36.0889995 40.3853391, 36.0890399 40.3852655, 36.0890852 40.3851736, 36.08911 40.3851169, 36.0892331 40.3848317, 36.0892994 40.384705, 36.0894288 40.3844871, 36.0895301 40.3843401, 36.0896493 40.384167)",,,,
290818864,True,,primary,False,20.814,"LINESTRING (36.0888442 40.3855363, 36.0888833 40.3855272, 36.0889243 40.3855274, 36.0889633 40.385537, 36.0889967 40.385555, 36.0890214 40.3855799, 36.0890352 40.3856093)",,,,
290818842,True,Gaziosmanpaşa Caddesi,primary,False,8.39,"LINESTRING (36.0887771 40.3855918, 36.0888442 40.3855363)",,,,
290818864,True,,primary,False,3.527,"LINESTRING (36.0890352 40.3856093, 36.0890367 40.385641)",,,,
290818864,True,,primary,False,19.288,"LINESTRING (36.0888702 40.3857284, 36.088835 40.3857176, 36.0888052 40.3856996, 36.0887832 40.3856761, 36.0887706 40.3856489, 36.0887685 40.38562, 36.0887771 40.3855918)",,,,
"[290818850, 290818887, 675017431]",True,"['Cumhuriyet Caddesi', 'Kesikbaş Köprüsü']",primary,False,90.60400000000001,"LINESTRING (36.0888702 40.3857284, 36.0887603 40.3857442, 36.088732 40.3857523, 36.0886638 40.3857718, 36.0886246 40.3857868, 36.0885962 40.3857976, 36.0880597 40.386101, 36.0879708 40.3861516)",yes,,,
877775177,False,Ganioğlu Sokak,residential,True,4.145,"LINESTRING (36.0891806 40.3858247, 36.0892142 40.3858518)",,,,
290818879,True,Ganioğlu Sokak,residential,False,24.411,"LINESTRING (36.0891806 40.3858247, 36.0891028 40.3857949, 36.0890562 40.3857734, 36.089008 40.3857537, 36.0889212 40.3857306)",,,,
669474626,False,Resüloğlu Sokak,residential,True,5.936,"LINESTRING (36.0822178 40.3824616, 36.0821556 40.3824862)",,,,
876597304,True,Menderes Caddesi,tertiary,False,171.445,"LINESTRING (36.0822178 40.3824616, 36.0829099 40.3835702, 36.0830871 40.383854)",,,,
669474626,False,Resüloğlu Sokak,residential,False,5.936,"LINESTRING (36.0821556 40.3824862, 36.0822178 40.3824616)",,,,
369959710,True,Menderes Caddesi,tertiary,False,46.157000000000004,"LINESTRING (36.0868122 40.3854504, 36.0872246 40.385696, 36.0872415 40.3857061)",,,,
669474572,False,Beyza Sokak,residential,False,205.04199999999997,"LINESTRING (36.0868122 40.3854504, 36.0871531 40.3852398, 36.0871869 40.3852188, 36.0877096 40.3848958, 36.0878707 40.3847949, 36.0879622 40.3847317, 36.0880866 40.3846628, 36.0881915 40.384611, 36.0882761 40.3845724, 36.0884001 40.3845233, 36.0885496 40.3844661, 36.0886207 40.3844314, 36.0886703 40.3843875, 36.0887186 40.3843313)",,,,
876560230,False,,residential,True,33.158,"LINESTRING (36.0856062 40.3854311, 36.0856329 40.3857286)",,,,
675017434,True,Menderes Caddesi,tertiary,False,110.96799999999999,"LINESTRING (36.0856062 40.3854311, 36.0854981 40.38544, 36.0848381 40.3855035, 36.0847106 40.3855182, 36.0846926 40.3855203, 36.0845565 40.3855469, 36.0844526 40.3855765, 36.0843284 40.3856216)",,,,
369959656,True,,tertiary,False,7.359,"LINESTRING (36.0840714 40.385586, 36.0840514 40.3855216)",,roundabout,,
369959656,True,,tertiary,False,22.389000000000003,"LINESTRING (36.0843039 40.3856338, 36.0842768 40.3856428, 36.0842486 40.385648, 36.0842194 40.3856496, 36.0841903 40.3856474, 36.0841621 40.3856415, 36.0841356 40.3856321, 36.0841115 40.3856193, 36.0840907 40.3856037, 36.0840714 40.385586)",,roundabout,,
876597302,True,,tertiary,False,22.848,"LINESTRING (36.0843039 40.3856338, 36.0842655 40.3856692, 36.0842283 40.3857098, 36.0841971 40.3857599, 36.0841683 40.3858099)",,,,
369959695,False,Gültekin Topçam Caddesi,tertiary,False,46.677,"LINESTRING (36.0840611 40.3860335, 36.0839011 40.3864352)",,,,
669472805,False,Yardım Sokak,residential,False,117.545,"LINESTRING (36.0840611 40.3860335, 36.0841768 40.3860821, 36.0843031 40.3861122, 36.0845285 40.3861659, 36.0849123 40.3862574, 36.0853752 40.3863677)",,,,
