osmid,oneway,lanes,ref,name,highway,maxspeed,junction,reversed,length,geometry,bridge,tunnel,access,est_width
200830716,True,3,A5268,The Bars,trunk,30 mph,circular,False,10.119,"LINESTRING (-2.8834064 53.19209, -2.8834493 53.1921773)",,,,
2336258,True,2,A5268,St. Oswalds Way,trunk,30 mph,,False,88.46700000000001,"LINESTRING (-2.8834493 53.1921773, -2.8836384 53.1924472, -2.8837398 53.192575, -2.8838903 53.1927257, -2.884089 53.1928683)",,,,
1818937,False,2,A5268,Love Street,trunk,30 mph,,False,38.897,"LINESTRING (-2.8846467 53.1905199, -2.8847996 53.1908575)",,,,
1818937,False,2,A5268,Love Street,trunk,30 mph,,True,29.319,"LINESTRING (-2.8846467 53.1905199, -2.8845222 53.190267)",,,,
71540626,False,,,Priory Place,residential,,,False,129.23399999999998,"LINESTRING (-2.8846467 53.1905199, -2.8858054 53.1903271, -2.8858962 53.1903624, -2.8860165 53.1907323)",,,,
1818937,False,2,A5268,Love Street,trunk,30 mph,,True,38.897,"LINESTRING (-2.8847996 53.1908575, -2.8846467 53.1905199)",,,,
1818937,False,2,A5268,Love Street,trunk,30 mph,,False,72.047,"LINESTRING (-2.8847996 53.1908575, -2.8849915 53.1912945, -2.8850748 53.1914841)",,,,
1818937,False,2,A5268,Love Street,trunk,30 mph,,True,72.047,"LINESTRING (-2.8850748 53.1914841, -2.8849915 53.1912945, -2.8847996 53.1908575)",,,,
"[962932040, 1822378]",True,2,A5268,Foregate Street,trunk,30 mph,,False,145.422,"LINESTRING (-2.8850748 53.1914841, -2.8846532 53.1915491, -2.8838584 53.1916893, -2.8836708 53.1917288, -2.8835481 53.1917702, -2.8834346 53.1918567, -2.8833964 53.1919272, -2.8834064 53.19209)",,,,
1818937,False,2,A5268,Love Street,trunk,30 mph,,False,29.319,"LINESTRING (-2.8845222 53.190267, -2.8846467 53.1905199)",,,,
"[813969483, 1818941]",False,2,A5268,Vicar's Lane,trunk,30 mph,,False,147.642,"LINESTRING (-2.8845222 53.190267, -2.8847625 53.1901331, -2.8849472 53.1900192, -2.8850093 53.1899799, -2.8851084 53.1899253, -2.8854378 53.189724, -2.8854535 53.1897151, -2.8856731 53.1895877, -2.8858617 53.1894729, -2.8859684 53.1894343, -2.8860619 53.1894204, -2.886172 53.1894169)",,,,
"[1818942, 105610607]",False,2,A5268,"['Pepper Street', 'Little St John Street']",trunk,30 mph,,False,146.448,"LINESTRING (-2.886172 53.1894169, -2.8862122 53.1894166, -2.8863581 53.1894335, -2.8864503 53.1894629, -2.8865795 53.1895228, -2.8867187 53.1895706, -2.88686 53.1896007, -2.886904 53.1896054, -2.8870606 53.1896119, -2.8872217 53.1895973, -2.8873657 53.1895651, -2.8874845 53.1895139, -2.8875331 53.1894769, -2.8875971 53.1894283, -2.8876946 53.1893458, -2.8877175 53.1893281, -2.8877668 53.1892712, -2.88784 53.1892093, -2.8878689 53.1891896, -2.8879334 53.189143)",,,,
"[5844625, 202356236, 202356237]",False,,,Little Saint John Street,unclassified,,,False,89.383,"LINESTRING (-2.886172 53.1894169, -2.8861753 53.18938, -2.8861811 53.1893154, -2.8862016 53.189196, -2.8862145 53.1891643, -2.8862983 53.1890718, -2.8863588 53.1889986, -2.8863609 53.1889553, -2.8863405 53.188921, -2.8862191 53.1888434, -2.886049 53.1886993)",,,,
"[813969483, 1818941]",False,2,A5268,Vicar's Lane,trunk,30 mph,,True,147.642,"LINESTRING (-2.886172 53.1894169, -2.8860619 53.1894204, -2.8859684 53.1894343, -2.8858617 53.1894729, -2.8856731 53.1895877, -2.8854535 53.1897151, -2.8854378 53.189724, -2.8851084 53.1899253, -2.8850093 53.1899799, -2.8849472 53.1900192, -2.8847625 53.1901331, -2.8845222 53.190267)",,,,
1818891,False,2,A5268,Pepper Street,trunk,30 mph,,False,12.727,"LINESTRING (-2.8883175 53.1890018, -2.8884935 53.1889573)",,,,
1818884,False,,,Park Street,residential,,,False,101.355,"LINESTRING (-2.8883175 53.1890018, -2.8882248 53.1888463, -2.8880926 53.1886006, -2.8880735 53.1885651, -2.8879892 53.1883912, -2.8879445 53.188299, -2.8878879 53.1881285)",,,,
"[903007680, 136941326]",False,2,A5268,Pepper Street,trunk,30 mph,,True,30.398,"LINESTRING (-2.8883175 53.1890018, -2.8882736 53.1890131, -2.8882422 53.1890212, -2.8882218 53.1890256, -2.8881705 53.1890367, -2.8881487 53.1890434, -2.8880805 53.1890651, -2.8879764 53.1891195, -2.8879334 53.189143)",,,,
1818885,False,,,Volunteer Street,residential,,,True,91.113,"LINESTRING (-2.8890659 53.1888316, -2.8889461 53.1885518, -2.8889055 53.1884647, -2.888893 53.1884272, -2.8887105 53.1880405)",,,,
1818891,False,2,A5268,Pepper Street,trunk,30 mph,,False,129.28300000000002,"LINESTRING (-2.8890659 53.1888316, -2.889437 53.1887905, -2.8896108 53.1887829, -2.8898796 53.1887594, -2.8900907 53.1887264, -2.8904419 53.1886347, -2.8908003 53.1885417, -2.8909205 53.1885205)",,,,
1818891,False,2,A5268,Pepper Street,trunk,30 mph,,True,40.623,"LINESTRING (-2.8890659 53.1888316, -2.8888983 53.1888679, -2.8886054 53.1889303, -2.8884935 53.1889573)",,,,
2085872,False,2,,Bridge Street,tertiary,,,True,22.652,"LINESTRING (-2.8909205 53.1885205, -2.8910232 53.1887147)",,,,
1818879,False,2,A5268,Grosvenor Street,trunk,30 mph,,False,78.606,"LINESTRING (-2.8909205 53.1885205, -2.8911838 53.1884708, -2.8914035 53.1884234, -2.8914779 53.1883965, -2.8916133 53.18831, -2.8918309 53.1881194)",,,,
1818881,False,2,,Lower Bridge Street,tertiary,20 mph,,False,140.735,"LINESTRING (-2.8909205 53.1885205, -2.8908205 53.1883774, -2.8904777 53.1877599, -2.8902677 53.1873177)",,,,
1818891,False,2,A5268,Pepper Street,trunk,30 mph,,True,129.283,"LINESTRING (-2.8909205 53.1885205, -2.8908003 53.1885417, -2.8904419 53.1886347, -2.8900907 53.1887264, -2.8898796 53.1887594, -2.8896108 53.1887829, -2.889437 53.1887905, -2.8890659 53.1888316)",,,,
1818879,False,2,A5268,Grosvenor Street,trunk,30 mph,,True,71.782,"LINESTRING (-2.8926992 53.1873401, -2.8926645 53.1873641, -2.8924399 53.1875647, -2.8921003 53.1878764)",,,,
6004668,True,2,A5268,Grosvenor Street,trunk,30 mph,,False,33.153999999999996,"LINESTRING (-2.8926992 53.1873401, -2.8928366 53.1872024, -2.8928705 53.1871577, -2.8928995 53.1870708)",,,,
1818879,False,2,A5268,Grosvenor Street,trunk,30 mph,,True,32.439,"LINESTRING (-2.8921003 53.1878764, -2.8918309 53.1881194)",,,,
1818912,False,,,Bunce Street,residential,,,False,24.282,"LINESTRING (-2.8921003 53.1878764, -2.8919434 53.1876793)",,,,
1818879,False,2,A5268,Grosvenor Street,trunk,30 mph,,False,71.78200000000001,"LINESTRING (-2.8921003 53.1878764, -2.8924399 53.1875647, -2.8926645 53.1873641, -2.8926992 53.1873401)",,,,
1065742004,True,2,A5268,,trunk,30 mph,circular,False,12.865,"LINESTRING (-2.8928995 53.1870708, -2.8928612 53.1870177, -2.8928412 53.1869611)",,,,
6004669,True,1,A5268,Grosvenor Street,trunk,30 mph,,False,35.605999999999995,"LINESTRING (-2.8931736 53.1872059, -2.8929686 53.1872338, -2.8928486 53.1872698, -2.8926992 53.1873401)",,,,
1065742005,True,2,A5268,,trunk,30 mph,circular,False,24.149,"LINESTRING (-2.8931736 53.1872059, -2.8930642 53.1871752, -2.8929709 53.1871292, -2.8928995 53.1870708)",,,,
3025229,True,2,A5268,,trunk,30 mph,circular,False,14.001000000000001,"LINESTRING (-2.8933815 53.1872181, -2.8932764 53.1872188, -2.8931736 53.1872059)",,,,
1818879,False,2,A5268,Grosvenor Street,trunk,30 mph,,False,32.439,"LINESTRING (-2.8918309 53.1881194, -2.8921003 53.1878764)",,,,
1818879,False,2,A5268,Grosvenor Street,trunk,30 mph,,True,78.606,"LINESTRING (-2.8918309 53.1881194, -2.8916133 53.18831, -2.8914779 53.1883965, -2.8914035 53.1884234, -2.8911838 53.1884708, -2.8909205 53.1885205)",,,,
71540634,True,,,Cuppin Street,residential,,,False,116.496,"LINESTRING (-2.8918309 53.1881194, -2.8918921 53.1881321, -2.8919482 53.1881495, -2.8919905 53.1881586, -2.8920351 53.1881607, -2.8931402 53.1879934, -2.8934272 53.1879692, -2.8934803 53.1879681, -2.8935282 53.1879706)",,,,
1065742003,True,2,A5268,,trunk,30 mph,circular,False,44.717,"LINESTRING (-2.8931441 53.1866593, -2.8932745 53.1866401, -2.8934086 53.1866431, -2.8935362 53.186668, -2.8936476 53.1867129, -2.8937341 53.1867744)",,,,
2336252,True,2,A5268,Nicholas Street,trunk,30 mph,,False,57.817,"LINESTRING (-2.894393 53.1880242, -2.8946258 53.1885251)",,,,
1818925,False,,,Black Friars,residential,,,True,136.953,"LINESTRING (-2.894393 53.1880242, -2.8949654 53.1879485, -2.8953463 53.1878671, -2.8957706 53.1877221, -2.8962881 53.1875699)",,,,
1818926,False,,,Grey Friars,residential,,,False,58.059,"LINESTRING (-2.8946258 53.1885251, -2.8954587 53.1883716)",,,,
2336252,True,2,A5268,Nicholas Street,trunk,30 mph,,False,133.78099999999998,"LINESTRING (-2.8946258 53.1885251, -2.8948155 53.1889538, -2.8950012 53.1893455, -2.8951143 53.189559, -2.8951866 53.1896799)",,,,
