osmid,oneway,name,highway,width,reversed,length,geometry,lanes,bridge,maxspeed,access
9625996,True,Kent Street,tertiary,15.2,False,43.949999999999996,"LINESTRING (-70.7259055 42.1918951, -70.7258537 42.1919761, -70.7257999 42.1920516, -70.7257757 42.1920768, -70.7257304 42.19211, -70.7256642 42.1921557, -70.7255836 42.1922012)",,,,
1162927213,False,Kent Street,tertiary,15.2,False,170.87099999999998,"LINESTRING (-70.7259055 42.1918951, -70.725873 42.191701, -70.725876 42.191658, -70.7258756 42.1916268, -70.725873 42.191405, -70.7258644 42.1911527, -70.725862 42.191082, -70.7258898 42.1907442, -70.725917 42.1905579, -70.7259453 42.1903629)",2,,,
1162927213,False,Kent Street,tertiary,15.2,True,37.216,"LINESTRING (-70.7259055 42.1918951, -70.725923 42.191965, -70.7259556 42.1920303, -70.725968 42.192055, -70.7259944 42.1920942, -70.726069 42.192205)",2,,,
9625892,False,Hazel Avenue,residential,10.7,True,94.916,"LINESTRING (-70.730518 42.196841, -70.730532 42.196515, -70.730561 42.195988)",2,,,
9627133,False,Appletree Lane,residential,12.2,True,79.85,"LINESTRING (-70.730518 42.196841, -70.730938 42.196847, -70.731487 42.196859)",2,,,
9625769,False,Kent Street,tertiary,15.2,False,188.97900000000004,"LINESTRING (-70.7259453 42.1903629, -70.7259584 42.19024, -70.725984 42.190024, -70.726001 42.189803, -70.726006 42.189566, -70.726007 42.1895183, -70.7260103 42.1893634, -70.726007 42.18889, -70.726009 42.188693, -70.726009 42.188665)",2,,,
1162927213,False,Kent Street,tertiary,15.2,True,170.871,"LINESTRING (-70.7259453 42.1903629, -70.725917 42.1905579, -70.7258898 42.1907442, -70.725862 42.191082, -70.7258644 42.1911527, -70.725873 42.191405, -70.7258756 42.1916268, -70.725876 42.191658, -70.725873 42.191701, -70.7259055 42.1918951)",2,,,
"[1083958735, 283871413, 283871414, 283871415, 283871416]",False,Edward Foster Road,tertiary,10.7,False,411.747,"LINESTRING (-70.7255836 42.1922012, -70.7249972 42.1922031, -70.7245771 42.1922168, -70.7241501 42.1922287, -70.723924 42.192235, -70.723132 42.192254, -70.722277 42.1922828, -70.7215802 42.1923035, -70.7214805 42.1923064, -70.7214218 42.1923083, -70.7213197 42.1923115, -70.7207642 42.1923215, -70.720589 42.1923275)",2,yes,,
"[1083958736, 9625843]",False,Edward Foster Road,tertiary,10.7,True,40.013000000000005,"LINESTRING (-70.7255836 42.1922012, -70.7258172 42.1921972, -70.725913 42.1922, -70.7259515 42.1922012, -70.726069 42.192205)",2,,,
283871412,False,Cole Parkway,unclassified,15.2,True,109.871,"LINESTRING (-70.725722 42.193414, -70.725649 42.1933853, -70.7256352 42.1933799, -70.725536 42.193341, -70.725424 42.193313, -70.725341 42.193317, -70.725234 42.193335, -70.725055 42.193404, -70.7249769 42.1934695, -70.7249148 42.1935216, -70.7248716 42.1935926, -70.724749 42.1937901)",2,,,
