osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,ref,width,access
29992283,True,Marine Parade,tertiary,30 mph,False,161.583,"LINESTRING (1.7374849 52.6099168, 1.7375001 52.6098114, 1.737497 52.6097804, 1.7373961 52.6090758, 1.7373732 52.6088743, 1.7373513 52.6088142, 1.7373084 52.6087094, 1.7372666 52.6086445, 1.7371668 52.608488)",,,,
29992306,False,North Drive,tertiary,30 mph,False,129.65,"LINESTRING (1.7374849 52.6099168, 1.737498 52.6099787, 1.737568 52.6110689, 1.7375693 52.6110814)",,,,
26834137,False,Nottingham Way,residential,30 mph,False,9.607,"LINESTRING (1.728314 52.6028388, 1.728456 52.602844)",,,,
26834137,False,Nottingham Way,residential,30 mph,True,116.015,"LINESTRING (1.728314 52.6028388, 1.7281314 52.6028255, 1.7271439 52.6028188, 1.7265975 52.6028151)",,,,
26834140,False,Tolhouse Street,residential,30 mph,True,65.872,"LINESTRING (1.728314 52.6028388, 1.7283118 52.6028988, 1.7282996 52.603125, 1.7282832 52.6034309)",,,,
26834140,False,Tolhouse Street,residential,30 mph,False,4.519,"LINESTRING (1.728037 52.6039996, 1.7280721 52.603965)",,,,
26834140,False,Tolhouse Street,residential,30 mph,True,88.892,"LINESTRING (1.728037 52.6039996, 1.7277604 52.6043241, 1.7276215 52.6044548, 1.7275934 52.604491, 1.7275635 52.6045296, 1.7275593 52.6045771, 1.7275491 52.6047252)",,,,
26834143,False,Sackville Close,residential,30 mph,False,80.979,"LINESTRING (1.728037 52.6039996, 1.7275258 52.6038985, 1.727458 52.6038682, 1.7274412 52.6038512, 1.7274043 52.603814, 1.7273655 52.6037878, 1.7273459 52.6037745, 1.7272376 52.6037369, 1.7270206 52.6036488)",,,,
26834143,False,Sackville Close,residential,30 mph,True,80.97899999999998,"LINESTRING (1.7270206 52.6036488, 1.7272376 52.6037369, 1.7273459 52.6037745, 1.7273655 52.6037878, 1.7274043 52.603814, 1.7274412 52.6038512, 1.727458 52.6038682, 1.7275258 52.6038985, 1.728037 52.6039996)",,,,
29992307,False,Albemarle Road,residential,30 mph,True,176.223,"LINESTRING (1.7349644 52.6111792, 1.7370492 52.6111052, 1.7375693 52.6110814)",,,,
37576007,False,Wellesley Road,residential,30 mph,False,139.017,"LINESTRING (1.7349644 52.6111792, 1.7348116 52.610216, 1.7348086 52.6101746, 1.7348063 52.6099335)",2,,,
29992306,False,North Drive,tertiary,30 mph,True,129.65,"LINESTRING (1.7375693 52.6110814, 1.737568 52.6110689, 1.737498 52.6099787, 1.7374849 52.6099168)",,,,
29992307,False,Albemarle Road,residential,30 mph,False,176.223,"LINESTRING (1.7375693 52.6110814, 1.7370492 52.6111052, 1.7349644 52.6111792)",,,,
29992303,True,Marine Parade,tertiary,30 mph,False,25.735,"LINESTRING (1.7369733 52.608225, 1.7369244 52.6083262, 1.7368756 52.6084202, 1.736859 52.6084457)",,,,
"[210581524, 44695750]",False,Marine Parade,tertiary,30 mph,True,65.752,"LINESTRING (1.7369733 52.608225, 1.7369725 52.6081962, 1.7369629 52.6081437, 1.7369192 52.6080146, 1.7368967 52.6079264, 1.736835 52.6076402)",2,,,
