osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,tunnel,width
"[236058561, 6021698, 130599685, 452936673]",True,"['3', '2']",West Conway Street,primary,30 mph,False,130.052,"LINESTRING (-76.6189979 39.2836809, -76.6189605 39.283776, -76.6189363 39.2838168, -76.6188865 39.2838589, -76.6188391 39.2838877, -76.6187775 39.2839124, -76.6187305 39.2839281, -76.6186822 39.2839426, -76.6186234 39.2839487, -76.618547 39.2839539, -76.6183686 39.2839632, -76.6181984 39.283969, -76.6177828 39.2839825, -76.6176659 39.2839875)",,,
301595694,True,2,Cal Ripken Way,motorway,30 mph,False,45.534,"LINESTRING (-76.6189979 39.2836809, -76.6190321 39.2838694, -76.6190413 39.2839759, -76.6190431 39.2840883)",I 395,,
"[874034763, 495069084, 6006765]",False,"['4', '3']",West Camden Street,tertiary,25 mph,False,128.218,"LINESTRING (-76.6191717 39.2852644, -76.619336 39.2852596, -76.6193777 39.2852586, -76.6194341 39.2852572, -76.6195664 39.2852519, -76.6205169 39.2852252, -76.6206604 39.2852212)",,,
"[98289514, 130599669]",False,"['5', '6']",South Howard Street,primary,25 mph,True,116.56900000000002,"LINESTRING (-76.6191717 39.2852644, -76.6191748 39.2853496, -76.6191911 39.2857558, -76.6192191 39.2862228, -76.6192244 39.2863119)",,,
"[70990452, 452936674, 452936675, 452936676]",True,3,South Howard Street,primary,25 mph,False,132.553,"LINESTRING (-76.6191717 39.2852644, -76.6192234 39.2851723, -76.6192375 39.2851008, -76.6192563 39.2847701, -76.6192676 39.28458, -76.6192663 39.2843807, -76.6192548 39.284198, -76.6192463 39.2840824)",I 395,,
"[452789384, 452789385, 130591272]",True,"['4', '5']",Light Street,primary,30 mph,False,135.469,"LINESTRING (-76.6127826 39.2809826, -76.6128148 39.2815336, -76.6128365 39.2819057, -76.6128488 39.2821167, -76.6128521 39.2821997)",MD 2,,
6021323,False,2,East Lee Street,secondary,25 mph,True,22.734,"LINESTRING (-76.6131161 39.282193, -76.6128521 39.2821997)",,,
47987513,True,3,East Lee Street,secondary,25 mph,False,139.291,"LINESTRING (-76.6131161 39.282193, -76.6132519 39.2821896, -76.6135854 39.2821811, -76.6138229 39.2821751, -76.614635 39.2821545, -76.6147336 39.282152)",MD 2,,
"[452789344, 47987509]",True,"['4', '3']",Light Street,primary,30 mph,False,64.749,"LINESTRING (-76.6131161 39.282193, -76.6131074 39.2821123, -76.6130933 39.2818919, -76.6130752 39.2816116)",,,
6007176,False,,East Barre Street,unclassified,,True,124.66999999999999,"LINESTRING (-76.613184 39.283305, -76.6133093 39.2833007, -76.6139787 39.2832778, -76.6141642 39.2832714, -76.6145491 39.2832582, -76.6146311 39.2832554)",,,
976863747,True,5,Light Street,primary,30 mph,False,123.787,"LINESTRING (-76.613184 39.283305, -76.6131513 39.2827861, -76.6131491 39.2827357, -76.6131221 39.282293, -76.6131161 39.282193)",MD 2,,
1081932642,True,6,Light Street,primary,30 mph,False,11.543,"LINESTRING (-76.6130393 39.2842107, -76.613057 39.2843136)",MD 2,,
"[98117540, 6003204]",False,,"['South Hanover Street', 'West Barre Street']",residential,25 mph,True,261.464,"LINESTRING (-76.6158932 39.2821104, -76.6158979 39.2821804, -76.6159169 39.2824607, -76.6159309 39.2826686, -76.6159452 39.2828802, -76.6159673 39.2832075, -76.6163593 39.2831931, -76.6163766 39.2831925, -76.616846 39.2831753, -76.6175845 39.2831575)",,,
98117553,False,2,West Lee Street,residential,25 mph,False,140.182,"LINESTRING (-76.6158932 39.2821104, -76.6159779 39.2821067, -76.617427 39.2820431, -76.6175193 39.2820391)",,,
98166076,False,,South Hanover Street,residential,25 mph,False,64.60300000000001,"LINESTRING (-76.6158932 39.2821104, -76.6158894 39.2820548, -76.6158718 39.2817941, -76.615854 39.2815302)",,,
98166076,False,,South Hanover Street,residential,25 mph,True,64.603,"LINESTRING (-76.615854 39.2815302, -76.6158718 39.2817941, -76.6158894 39.2820548, -76.6158932 39.2821104)",,,
6007176,False,,East Barre Street,unclassified,,False,124.67,"LINESTRING (-76.6146311 39.2832554, -76.6145491 39.2832582, -76.6141642 39.2832714, -76.6139787 39.2832778, -76.6133093 39.2833007, -76.613184 39.283305)",,,
46582175,True,3,South Charles Street,tertiary,25 mph,False,97.09,"LINESTRING (-76.6146311 39.2832554, -76.614626 39.2833967, -76.6146331 39.2835734, -76.6146674 39.2840085, -76.6146725 39.2840706, -76.6146762 39.2841274)",,,
"[98117540, 6003204]",False,,"['South Hanover Street', 'West Barre Street']",residential,25 mph,False,261.464,"LINESTRING (-76.6175845 39.2831575, -76.616846 39.2831753, -76.6163766 39.2831925, -76.6163593 39.2831931, -76.6159673 39.2832075, -76.6159452 39.2828802, -76.6159309 39.2826686, -76.6159169 39.2824607, -76.6158979 39.2821804, -76.6158932 39.2821104)",,,
98117545,False,2,South Sharp Street,residential,25 mph,False,124.488,"LINESTRING (-76.6175845 39.2831575, -76.6175675 39.2828354, -76.6175536 39.2826056, -76.6175193 39.2820391)",,,
"[98117545, 452936681]",False,"['3', '2']",South Sharp Street,residential,25 mph,True,92.572,"LINESTRING (-76.6175845 39.2831575, -76.6176116 39.2834428, -76.6176172 39.283556, -76.6176257 39.2836373, -76.6176575 39.283921, -76.6176659 39.2839875)",,,
46582008,False,,West Hill Street,residential,25 mph,False,97.366,"LINESTRING (-76.6174634 39.2809079, -76.6175926 39.2809025, -76.618593 39.280861)",,,
